Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:22:36.099825,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1,1,834017935,2654030002
2024-11-04 17:22:36.099898,66,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654030339,834017935
2024-11-04 17:22:36.125731,602,10.5.1.20,9001,10.5.1.2,38996,TCP,1,537,2654030364,834017935
2024-11-04 17:22:36.125772,66,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834017960,2654030364
2024-11-04 17:22:36.126018,602,10.5.1.2,38996,10.5.1.20,9001,TCP,537,537,834017961,2654030364
2024-11-04 17:22:36.166456,66,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654030405,834017961
2024-11-04 17:22:36.301964,1630,10.5.1.20,9001,10.5.1.2,38996,TCP,537,1073,2654030541,834017961
2024-11-04 17:22:36.302104,66,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,834018137,2654030541
2024-11-04 17:22:36.302302,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1073,2101,834018137,2654030541
2024-11-04 17:22:36.302381,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,1609,2654030541,834018137
2024-11-04 17:22:36.303236,602,10.5.1.2,38996,10.5.1.20,9001,TCP,1609,2101,834018138,2654030541
2024-11-04 17:22:36.303349,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,2145,2654030542,834018138
2024-11-04 17:22:41.695476,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2145,2101,834023530,2654030542
2024-11-04 17:22:41.695563,66,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,2681,2654035934,834023530
2024-11-04 17:22:41.695941,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2101,2681,2654035935,834023530
2024-11-04 17:22:41.697339,602,10.5.1.2,38996,10.5.1.20,9001,TCP,2681,2637,834023532,2654035935
2024-11-04 17:22:41.699955,602,10.5.1.20,9001,10.5.1.2,38996,TCP,2637,3217,2654035939,834023532
