Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:35:56.981752,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140778652,3032685272
2024-11-04 19:35:56.981891,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847338671,3524178818
2024-11-04 19:35:56.982452,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032694889,140778652
2024-11-04 19:35:56.982611,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524189478,1847338671
2024-11-04 19:35:56.982902,74,10.5.1.30,46992,121.229.24.152,80,TCP,0,0,3093286196,0
2024-11-04 19:35:57.225545,74,121.229.24.152,80,10.5.1.30,46992,TCP,0,1,658068488,3093286196
2024-11-04 19:35:57.226300,66,10.5.1.30,46992,121.229.24.152,80,TCP,1,1,3093286439,658068488
2024-11-04 19:35:57.226419,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032695133,140778652
2024-11-04 19:35:57.227004,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140778898,3032695133
2024-11-04 19:35:57.229572,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140778900,3032695133
2024-11-04 19:35:57.229886,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032695137,140778900
2024-11-04 19:35:57.230190,138,10.5.1.30,46992,121.229.24.152,80,TCP,1,1,3093286443,658068488
2024-11-04 19:35:57.304645,74,10.5.1.30,45526,10.5.1.12,80,TCP,0,0,2859723937,0
2024-11-04 19:35:57.305246,74,10.5.1.12,80,10.5.1.30,45526,TCP,0,1,181025718,2859723937
2024-11-04 19:35:57.305492,66,10.5.1.30,45526,10.5.1.12,80,TCP,1,1,2859723938,181025718
2024-11-04 19:35:57.305993,361,10.5.1.30,45526,10.5.1.12,80,TCP,1,1,2859723939,181025718
2024-11-04 19:35:57.306259,66,10.5.1.12,80,10.5.1.30,45526,TCP,1,296,181025719,2859723939
2024-11-04 19:35:57.306305,132,10.5.1.12,80,10.5.1.30,45526,TCP,1,296,181025719,2859723939
2024-11-04 19:35:57.306610,66,10.5.1.30,45526,10.5.1.12,80,TCP,296,67,2859723939,181025719
2024-11-04 19:35:57.306897,66,10.5.1.12,80,10.5.1.30,45526,TCP,67,296,181025720,2859723939
2024-11-04 19:35:57.307195,66,10.5.1.30,45526,10.5.1.12,80,TCP,296,68,2859723940,181025720
2024-11-04 19:35:57.307429,66,10.5.1.12,80,10.5.1.30,45526,TCP,68,297,181025720,2859723940
2024-11-04 19:35:57.366699,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,140779037,3032695137
2024-11-04 19:35:57.367419,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3032695274,140779037
2024-11-04 19:35:57.368242,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3032695275,140779037
2024-11-04 19:35:57.372675,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,140779043,3032695275
2024-11-04 19:35:57.373339,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3032695280,140779043
2024-11-04 19:35:57.379450,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1609,140779050,3032695280
2024-11-04 19:35:57.422280,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2681,3032695329,140779050
2024-11-04 19:35:57.469047,66,121.229.24.152,80,10.5.1.30,46992,TCP,1,73,658068733,3093286443
