Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:23:29.735173,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132831406,3024736881
2024-11-04 17:23:29.735228,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024747642,132831406
2024-11-04 17:23:29.735328,74,10.5.1.30,45570,211.99.98.81,80,TCP,0,0,2362597394,0
2024-11-04 17:23:29.973424,74,211.99.98.81,80,10.5.1.30,45570,TCP,0,1,972732776,2362597394
2024-11-04 17:23:29.973489,66,10.5.1.30,45570,211.99.98.81,80,TCP,1,1,2362597632,972732776
2024-11-04 17:23:29.973595,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024747880,132831406
2024-11-04 17:23:29.975892,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132831647,3024747880
2024-11-04 17:23:29.975942,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024747883,132831647
2024-11-04 17:23:29.976006,136,10.5.1.30,45570,211.99.98.81,80,TCP,1,1,2362597635,972732776
2024-11-04 17:23:30.213504,66,211.99.98.81,80,10.5.1.30,45570,TCP,1,71,972733012,2362597635
2024-11-04 17:23:30.221073,626,211.99.98.81,80,10.5.1.30,45570,TCP,1,71,972733018,2362597635
2024-11-04 17:23:30.221110,66,10.5.1.30,45570,211.99.98.81,80,TCP,71,561,2362597880,972733018
