Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:47:07.248870,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453121813,4095845670
2024-11-04 19:47:07.249558,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095846417,3453121813
2024-11-04 19:47:07.249893,74,10.5.1.30,54798,104.19.143.99,80,TCP,0,0,2319260864,0
2024-11-04 19:47:07.282836,74,104.19.143.99,80,10.5.1.30,54798,TCP,0,1,3366989933,2319260864
2024-11-04 19:47:07.283120,66,10.5.1.30,54798,104.19.143.99,80,TCP,1,1,2319260897,3366989933
2024-11-04 19:47:07.283233,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095846451,3453121813
2024-11-04 19:47:07.286366,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141448957,3033364324
2024-11-04 19:47:07.286442,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227356277,3158416870
2024-11-04 19:47:07.286470,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198103474,2661876306
2024-11-04 19:47:07.286534,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453121850,4095846451
2024-11-04 19:47:07.287016,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661876974,2198103474
2024-11-04 19:47:07.287017,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158417655,2227356277
2024-11-04 19:47:07.287022,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3033365194,141448957
2024-11-04 19:47:07.287423,139,10.5.1.30,54798,104.19.143.99,80,TCP,1,1,2319260901,3366989933
2024-11-04 19:47:07.288171,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,141448959,3033365194
2024-11-04 19:47:07.288568,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3033365195,141448959
2024-11-04 19:47:07.289111,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2227356280,3158417655
2024-11-04 19:47:07.289464,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3158417657,2227356280
2024-11-04 19:47:07.293194,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2227356284,3158417657
2024-11-04 19:47:07.293600,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2123,3158417661,2227356284
2024-11-04 19:47:07.294054,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2123,3158417662,2227356284
2024-11-04 19:47:07.295745,4136,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1,141448966,3033365195
2024-11-04 19:47:07.296505,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,5143,3033365203,141448966
2024-11-04 19:47:07.296843,4136,10.5.1.11,42168,10.5.1.30,9001,TCP,5143,1,141448968,3033365203
2024-11-04 19:47:07.297037,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,5143,3033365204,141448966
2024-11-04 19:47:07.297654,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,9213,3033365204,141448968
2024-11-04 19:47:07.297655,66,10.5.1.11,42168,10.5.1.30,9001,TCP,9213,537,141448968,3033365204
2024-11-04 19:47:07.298007,4136,10.5.1.11,42168,10.5.1.30,9001,TCP,9213,537,141448969,3033365204
2024-11-04 19:47:07.298739,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,13283,3033365205,141448969
2024-11-04 19:47:07.299156,4136,10.5.1.11,42168,10.5.1.30,9001,TCP,13283,537,141448970,3033365205
2024-11-04 19:47:07.299883,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,17353,3033365207,141448970
2024-11-04 19:47:07.300140,344,10.5.1.11,42168,10.5.1.30,9001,TCP,17353,537,141448971,3033365207
2024-11-04 19:47:07.300505,2962,10.5.1.11,42168,10.5.1.30,9001,TCP,17631,537,141448971,3033365207
2024-11-04 19:47:07.301015,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,20527,3033365208,141448971
2024-11-04 19:47:07.301257,984,10.5.1.11,42168,10.5.1.30,9001,TCP,20527,537,141448972,3033365208
2024-11-04 19:47:07.301613,2962,10.5.1.11,42168,10.5.1.30,9001,TCP,21445,537,141448972,3033365208
2024-11-04 19:47:07.302245,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,24341,3033365209,141448972
2024-11-04 19:47:07.302591,1240,10.5.1.11,42168,10.5.1.30,9001,TCP,24341,537,141448973,3033365209
2024-11-04 19:47:07.302658,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2123,537,2227356293,3158417662
2024-11-04 19:47:07.303029,2962,10.5.1.11,42168,10.5.1.30,9001,TCP,25515,537,141448974,3033365209
2024-11-04 19:47:07.303120,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2659,3158417671,2227356293
2024-11-04 19:47:07.303633,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,28411,3033365210,141448973
2024-11-04 19:47:07.303953,146,10.5.1.11,42168,10.5.1.30,9001,TCP,28411,537,141448975,3033365210
2024-11-04 19:47:07.304382,2962,10.5.1.11,42168,10.5.1.30,9001,TCP,28491,537,141448975,3033365210
2024-11-04 19:47:07.304419,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181695717,2860393046
2024-11-04 19:47:07.304839,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860393938,181695717
2024-11-04 19:47:07.305050,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,31387,3033365212,141448975
2024-11-04 19:47:07.305387,1240,10.5.1.11,42168,10.5.1.30,9001,TCP,31387,537,141448976,3033365212
2024-11-04 19:47:07.305400,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860393938,181695717
2024-11-04 19:47:07.305867,2962,10.5.1.11,42168,10.5.1.30,9001,TCP,32561,537,141448977,3033365212
