Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:33:35.248075,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173683661,2852371553
2024-11-04 17:33:35.248184,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852381881,173683661
2024-11-04 17:33:35.248311,74,10.5.1.30,34160,204.155.146.95,80,TCP,0,0,2686161303,0
2024-11-04 17:33:35.396643,74,204.155.146.95,80,10.5.1.30,34160,TCP,0,1,1501466951,2686161303
2024-11-04 17:33:35.396757,66,10.5.1.30,34160,204.155.146.95,80,TCP,1,1,2686161451,1501466951
2024-11-04 17:33:35.396928,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852382030,173683661
2024-11-04 17:33:35.400254,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173683813,2852382030
2024-11-04 17:33:35.400374,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852382033,173683813
2024-11-04 17:33:35.400535,141,10.5.1.30,34160,204.155.146.95,80,TCP,1,1,2686161455,1501466951
2024-11-04 17:33:35.546756,66,204.155.146.95,80,10.5.1.30,34160,TCP,1,76,1501467104,2686161455
2024-11-04 17:33:35.549115,476,204.155.146.95,80,10.5.1.30,34160,TCP,1,76,1501467104,2686161455
2024-11-04 17:33:35.549182,66,10.5.1.30,34160,204.155.146.95,80,TCP,76,411,2686161604,1501467104
2024-11-04 17:33:35.549315,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852382182,173683813
