Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:23:08.767978,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134312002,3961354020
2024-11-04 12:23:08.768194,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961364377,3134312002
2024-11-04 12:23:08.768349,74,10.5.1.30,33194,151.101.130.137,80,TCP,0,0,3610702814,0
2024-11-04 12:23:08.794418,74,151.101.130.137,80,10.5.1.30,33194,TCP,0,1,682142651,3610702814
2024-11-04 12:23:08.794556,66,10.5.1.30,33194,151.101.130.137,80,TCP,1,1,3610702841,682142651
2024-11-04 12:23:08.794719,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961364404,3134312002
2024-11-04 12:23:08.797904,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134312032,3961364404
2024-11-04 12:23:08.798253,139,10.5.1.30,33194,151.101.130.137,80,TCP,1,1,3610702844,682142651
2024-11-04 12:23:08.824567,66,151.101.130.137,80,10.5.1.30,33194,TCP,1,74,682142681,3610702844
2024-11-04 12:23:08.827633,781,151.101.130.137,80,10.5.1.30,33194,TCP,1,74,682142682,3610702844
2024-11-04 12:23:08.827863,66,10.5.1.30,33194,151.101.130.137,80,TCP,74,716,3610702874,682142682
