Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:52:46.273490,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003422875,2442999023
2024-11-04 11:52:46.273638,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443009632,3003422875
2024-11-04 11:52:46.273828,74,10.5.1.30,48358,47.246.173.30,80,TCP,0,0,3892758887,0
2024-11-04 11:52:46.456405,66,47.246.173.30,80,10.5.1.30,48358,TCP,0,1,,
2024-11-04 11:52:46.456563,54,10.5.1.30,48358,47.246.173.30,80,TCP,1,1,,
2024-11-04 11:52:46.456836,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443009815,3003422875
2024-11-04 11:52:46.461374,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003423063,2443009815
2024-11-04 11:52:46.461571,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443009820,3003423063
2024-11-04 11:52:46.461753,132,10.5.1.30,48358,47.246.173.30,80,TCP,1,1,,
2024-11-04 11:52:46.646195,54,47.246.173.30,80,10.5.1.30,48358,TCP,1,79,,
2024-11-04 11:52:46.646286,329,47.246.173.30,80,10.5.1.30,48358,TCP,1,79,,
2024-11-04 11:52:46.646318,54,10.5.1.30,48358,47.246.173.30,80,TCP,79,276,,
2024-11-04 11:52:46.646336,411,47.246.173.30,80,10.5.1.30,48358,TCP,276,79,,
2024-11-04 11:52:46.646361,54,10.5.1.30,48358,47.246.173.30,80,TCP,79,633,,
2024-11-04 11:52:46.646496,1116,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443010004,3003423063
2024-11-04 11:52:46.648681,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1587,3003423251,2443010004
2024-11-04 11:52:46.648775,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1587,1609,2443010007,3003423251
2024-11-04 11:52:46.648863,54,10.5.1.30,48358,47.246.173.30,80,TCP,79,633,,
2024-11-04 11:52:46.831235,54,47.246.173.30,80,10.5.1.30,48358,TCP,633,80,,
