Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:36:30.260629,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452484824,4095198961
2024-11-04 19:36:30.261367,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095209429,3452484824
2024-11-04 19:36:30.261875,74,10.5.1.30,33752,52.17.253.37,80,TCP,0,0,3719047490,0
2024-11-04 19:36:30.336836,74,10.5.1.30,36190,10.5.1.10,80,TCP,0,0,4095209505,0
2024-11-04 19:36:30.337370,74,10.5.1.10,80,10.5.1.30,36190,TCP,0,1,3452484901,4095209505
2024-11-04 19:36:30.337821,66,10.5.1.30,36190,10.5.1.10,80,TCP,1,1,4095209506,3452484901
2024-11-04 19:36:30.338326,371,10.5.1.30,36190,10.5.1.10,80,TCP,1,1,4095209506,3452484901
2024-11-04 19:36:30.338828,66,10.5.1.10,80,10.5.1.30,36190,TCP,1,306,3452484903,4095209506
2024-11-04 19:36:30.339051,1681,10.5.1.10,80,10.5.1.30,36190,TCP,1,306,3452484903,4095209506
2024-11-04 19:36:30.339764,66,10.5.1.30,36190,10.5.1.10,80,TCP,306,1616,4095209507,3452484903
2024-11-04 19:36:30.340243,66,10.5.1.10,80,10.5.1.30,36190,TCP,1616,306,3452484904,4095209507
2024-11-04 19:36:30.342871,66,10.5.1.30,36190,10.5.1.10,80,TCP,306,1617,4095209511,3452484904
2024-11-04 19:36:30.343430,66,10.5.1.10,80,10.5.1.30,36190,TCP,1617,307,3452484907,4095209511
2024-11-04 19:36:30.394345,74,52.17.253.37,80,10.5.1.30,33752,TCP,0,1,2321392317,3719047490
2024-11-04 19:36:30.398308,66,10.5.1.30,33752,52.17.253.37,80,TCP,1,1,3719047626,2321392317
2024-11-04 19:36:30.398703,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095209566,3452484824
2024-11-04 19:36:30.407962,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452484971,4095209566
2024-11-04 19:36:30.413179,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095209581,3452484971
2024-11-04 19:36:30.505270,144,10.5.1.30,33752,52.17.253.37,80,TCP,1,1,3719047733,2321392317
2024-11-04 19:36:30.601664,66,52.17.253.37,80,10.5.1.30,33752,TCP,1,79,2321392559,3719047733
2024-11-04 19:36:30.602181,834,52.17.253.37,80,10.5.1.30,33752,TCP,1,79,2321392560,3719047733
2024-11-04 19:36:30.602495,66,10.5.1.30,33752,52.17.253.37,80,TCP,79,769,3719047830,2321392560
2024-11-04 19:36:30.602817,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095209771,3452484971
2024-11-04 19:36:30.605190,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3452485169,4095209771
2024-11-04 19:36:30.605688,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,1609,4095209773,3452485169
2024-11-04 19:36:30.605960,66,10.5.1.30,33752,52.17.253.37,80,TCP,79,769,3719047834,2321392560
