Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:46:45.727207,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362989272,2478158345
2024-11-04 12:46:45.727576,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478163815,362989272
2024-11-04 12:46:45.727838,74,10.5.1.30,38634,54.239.19.238,80,TCP,0,0,434166011,0
2024-11-04 12:46:45.847644,66,54.239.19.238,80,10.5.1.30,38634,TCP,0,1,,
2024-11-04 12:46:45.848144,54,10.5.1.30,38634,54.239.19.238,80,TCP,1,1,,
2024-11-04 12:46:45.848314,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478163935,362989272
2024-11-04 12:46:45.854036,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362989399,2478163935
2024-11-04 12:46:45.854543,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2478163942,362989399
2024-11-04 12:46:45.855055,127,10.5.1.30,38634,54.239.19.238,80,TCP,1,1,,
2024-11-04 12:46:45.977656,241,54.239.19.238,80,10.5.1.30,38634,TCP,1,74,,
2024-11-04 12:46:45.978092,54,10.5.1.30,38634,54.239.19.238,80,TCP,74,188,,
2024-11-04 12:46:45.978256,217,54.239.19.238,80,10.5.1.30,38634,TCP,188,74,,
2024-11-04 12:46:45.978379,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2478164065,362989399
2024-11-04 12:46:45.978412,54,10.5.1.30,38634,54.239.19.238,80,TCP,74,351,,
2024-11-04 12:46:46.020588,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,362989565,2478164065
