Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:54:32.674997,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003529277,2443105673
2024-11-04 11:54:32.675073,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443116033,3003529277
2024-11-04 11:54:32.675179,74,10.5.1.30,53728,176.32.108.185,80,TCP,0,0,327603020,0
2024-11-04 11:54:32.735316,66,176.32.108.185,80,10.5.1.30,53728,TCP,0,1,,
2024-11-04 11:54:32.735405,54,10.5.1.30,53728,176.32.108.185,80,TCP,1,1,,
2024-11-04 11:54:32.735560,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443116094,3003529277
2024-11-04 11:54:32.738390,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003529340,2443116094
2024-11-04 11:54:32.738465,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443116096,3003529340
2024-11-04 11:54:32.738527,127,10.5.1.30,53728,176.32.108.185,80,TCP,1,1,,
2024-11-04 11:54:32.795486,241,176.32.108.185,80,10.5.1.30,53728,TCP,1,74,,
2024-11-04 11:54:32.795590,54,10.5.1.30,53728,176.32.108.185,80,TCP,74,188,,
2024-11-04 11:54:32.795640,217,176.32.108.185,80,10.5.1.30,53728,TCP,188,74,,
2024-11-04 11:54:32.795668,54,10.5.1.30,53728,176.32.108.185,80,TCP,74,351,,
2024-11-04 11:54:32.795807,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443116154,3003529340
2024-11-04 11:54:32.797808,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3003529400,2443116154
2024-11-04 11:54:32.797851,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2443116156,3003529400
2024-11-04 11:54:32.797984,54,10.5.1.30,53728,176.32.108.185,80,TCP,74,351,,
2024-11-04 11:54:32.857827,54,176.32.108.185,80,10.5.1.30,53728,TCP,351,75,,
2024-11-04 11:54:32.857950,54,10.5.1.30,53728,176.32.108.185,80,TCP,75,352,,
2024-11-04 11:54:39.068639,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132602303,3959643776
2024-11-04 11:54:39.068745,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959654678,3132602303
2024-11-04 11:54:39.069084,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959654678,3132602303
2024-11-04 11:54:39.114213,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3132602348,3959654678
2024-11-04 11:54:39.114310,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3959654723,3132602348
2024-11-04 11:54:39.114377,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1073,3132602348,3959654723
2024-11-04 11:54:39.114792,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1073,3132602349,3959654723
