Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:30:27.969316,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005684571,2445260995
2024-11-04 12:30:27.969563,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445271328,3005684571
2024-11-04 12:30:27.969773,74,10.5.1.30,57024,52.95.120.38,80,TCP,0,0,3733138899,0
2024-11-04 12:30:28.026892,66,52.95.120.38,80,10.5.1.30,57024,TCP,0,1,,
2024-11-04 12:30:28.027338,54,10.5.1.30,57024,52.95.120.38,80,TCP,1,1,,
2024-11-04 12:30:28.027421,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445271385,3005684571
2024-11-04 12:30:28.031466,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005684633,2445271385
2024-11-04 12:30:28.031863,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445271390,3005684633
2024-11-04 12:30:28.032275,127,10.5.1.30,57024,52.95.120.38,80,TCP,1,1,,
2024-11-04 12:30:28.099319,241,52.95.120.38,80,10.5.1.30,57024,TCP,1,74,,
2024-11-04 12:30:28.099766,54,10.5.1.30,57024,52.95.120.38,80,TCP,74,188,,
2024-11-04 12:30:28.099964,217,52.95.120.38,80,10.5.1.30,57024,TCP,188,74,,
2024-11-04 12:30:28.100007,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445271458,3005684633
2024-11-04 12:30:28.100138,54,10.5.1.30,57024,52.95.120.38,80,TCP,74,351,,
2024-11-04 12:30:28.140672,66,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3005684743,2445271458
2024-11-04 12:30:28.141081,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1073,2445271499,3005684743
2024-11-04 12:30:28.141376,66,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1609,3005684743,2445271499
2024-11-04 12:30:28.148819,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1609,3005684751,2445271499
2024-11-04 12:30:28.149178,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,1609,2445271507,3005684751
2024-11-04 12:30:28.149462,54,10.5.1.30,57024,52.95.120.38,80,TCP,74,351,,
2024-11-04 12:30:28.206723,54,52.95.120.38,80,10.5.1.30,57024,TCP,351,75,,
2024-11-04 12:30:28.206992,54,10.5.1.30,57024,52.95.120.38,80,TCP,75,352,,
2024-11-04 12:30:36.072114,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185652205,1186164805
2024-11-04 12:30:36.072212,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362019617,2477166125
2024-11-04 12:30:36.072633,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186192657,1185652205
2024-11-04 12:30:36.072633,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477194160,362019617
2024-11-04 12:30:36.072697,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1609,3005692675,2445271507
2024-11-04 12:30:36.072920,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,2145,2445279431,3005692675
2024-11-04 12:30:36.073053,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,362019618,2477194160
2024-11-04 12:30:36.073356,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2477194160,362019618
2024-11-04 12:30:36.084125,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134759318,3961783770
2024-11-04 12:30:36.084202,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1609,3005692686,2445279431
2024-11-04 12:30:36.084422,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961811693,3134759318
2024-11-04 12:30:36.084544,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,2681,2445279443,3005692686
2024-11-04 12:30:36.085009,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961811694,3134759318
2024-11-04 12:30:36.087521,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,2681,2445279445,3005692686
2024-11-04 12:30:36.097716,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2681,2145,3005692700,2445279445
2024-11-04 12:30:36.097784,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134759332,3961811694
2024-11-04 12:30:36.098179,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,3217,2445279456,3005692700
2024-11-04 12:30:36.100773,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961811710,3134759332
2024-11-04 12:30:36.111520,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3217,2681,3005692713,2445279456
2024-11-04 12:30:36.111606,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1073,3134759346,3961811710
2024-11-04 12:30:36.153950,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,3753,2445279512,3005692713
2024-11-04 12:30:36.154220,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1609,3961811763,3134759346
2024-11-04 12:30:36.567080,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1,362020112,2477194160
2024-11-04 12:30:36.567769,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1609,2477194655,362020112
2024-11-04 12:30:36.581199,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1,362020126,2477194655
2024-11-04 12:30:36.581504,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,2145,2477194668,362020126
2024-11-04 12:30:36.582240,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,2145,2477194669,362020126
2024-11-04 12:30:36.584532,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,1,1185652717,1186192657
2024-11-04 12:30:36.585076,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1073,1186193169,1185652717
2024-11-04 12:30:36.585957,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1073,1186193170,1185652717
2024-11-04 12:30:36.591410,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1073,537,1185652724,1186193170
2024-11-04 12:30:36.591744,602,10.5.1.30,9001,10.5.1.22,52376,TCP,537,1609,1186193176,1185652724
2024-11-04 12:30:36.598046,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,537,362020143,2477194669
2024-11-04 12:30:36.598146,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1609,1073,1185652731,1186193176
2024-11-04 12:30:36.598568,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2681,2477194686,362020143
2024-11-04 12:30:36.611264,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,1073,362020156,2477194686
2024-11-04 12:30:36.640616,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1073,2145,1186193225,1185652731
2024-11-04 12:30:36.653975,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,3217,2477194741,362020156
2024-11-04 12:30:37.074717,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3217,1073,362020620,2477194741
2024-11-04 12:30:37.075297,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,3753,2477195162,362020620
2024-11-04 12:30:37.075981,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,3753,2477195163,362020620
2024-11-04 12:30:37.081497,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3753,2681,3005693683,2445279512
2024-11-04 12:30:37.081555,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3753,1609,362020627,2477195163
2024-11-04 12:30:37.081807,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,4289,2445280440,3005693683
2024-11-04 12:30:37.082275,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,4289,2477195169,362020627
2024-11-04 12:30:37.084803,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,4289,2445280443,3005693683
2024-11-04 12:30:37.087580,602,10.5.1.10,33616,10.5.1.30,9001,TCP,4289,2145,362020633,2477195169
2024-11-04 12:30:37.091512,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4289,3217,3005693693,2445280443
2024-11-04 12:30:37.092080,602,10.5.1.30,9001,10.5.1.12,57406,TCP,3217,4825,2445280450,3005693693
2024-11-04 12:30:37.098422,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4825,3753,3005693700,2445280450
2024-11-04 12:30:37.106963,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4287336057,586452456
2024-11-04 12:30:37.107008,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,1073,3134760341,3961811763
2024-11-04 12:30:37.107394,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586481296,4287336057
2024-11-04 12:30:37.107478,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,2145,3961812716,3134760341
2024-11-04 12:30:37.114384,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2145,1073,3134760348,3961812716
2024-11-04 12:30:37.114710,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,2681,3961812724,3134760348
2024-11-04 12:30:37.115378,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,2681,3961812724,3134760348
2024-11-04 12:30:37.117877,1514,10.5.1.10,33616,10.5.1.30,9001,TCP,4825,2145,362020663,2477195169
2024-11-04 12:30:37.118182,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2145,6273,2477195205,362020633
2024-11-04 12:30:37.118382,182,10.5.1.10,33616,10.5.1.30,9001,TCP,6273,2145,362020663,2477195205
2024-11-04 12:30:37.118955,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,2145,6389,2477195206,362020663
2024-11-04 12:30:37.121603,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4287336072,586481296
2024-11-04 12:30:37.121725,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,2681,1609,3134760356,3961812724
2024-11-04 12:30:37.121880,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,586481311,4287336072
