Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:09:01.503047,66,52.95.116.113,80,10.5.1.30,42818,TCP,0,1,,
2024-11-04 12:09:01.503265,54,10.5.1.30,42818,52.95.116.113,80,TCP,1,1,,
2024-11-04 12:09:01.503386,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1,3960517112,3133464678
2024-11-04 12:09:01.507813,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,537,3133464742,3960517112
2024-11-04 12:09:01.507970,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3960517117,3133464742
2024-11-04 12:09:01.508171,127,10.5.1.30,42818,52.95.116.113,80,TCP,1,1,,
2024-11-04 12:09:01.567874,54,52.95.116.113,80,10.5.1.30,42818,TCP,1,74,,
2024-11-04 12:09:01.570397,241,52.95.116.113,80,10.5.1.30,42818,TCP,1,74,,
2024-11-04 12:09:01.570563,54,10.5.1.30,42818,52.95.116.113,80,TCP,74,188,,
2024-11-04 12:09:01.570646,217,52.95.116.113,80,10.5.1.30,42818,TCP,188,74,,
2024-11-04 12:09:01.570714,54,10.5.1.30,42818,52.95.116.113,80,TCP,74,351,,
2024-11-04 12:09:01.570765,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3960517180,3133464742
2024-11-04 12:09:01.617444,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1073,3133464851,3960517180
2024-11-04 12:09:01.617646,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,537,3960517227,3133464851
2024-11-04 12:09:01.617751,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1609,3133464852,3960517227
