Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:52:25.038354,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359728583,2474903115
2024-11-04 11:52:25.038520,74,10.5.1.30,37784,17.253.144.10,80,TCP,0,0,898007737,0
2024-11-04 11:52:25.070860,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1,3959520680,3132468262
2024-11-04 11:52:25.071032,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132468305,3959520680
2024-11-04 11:52:25.071063,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959520680,3132468305
2024-11-04 11:52:25.071208,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959520680,3132468305
2024-11-04 11:52:25.071214,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1,3132468305,3959520680
2024-11-04 11:52:25.073506,74,17.253.144.10,80,10.5.1.30,37784,TCP,0,1,4196058127,898007737
2024-11-04 11:52:25.073549,66,10.5.1.30,37784,17.253.144.10,80,TCP,1,1,898007773,4196058127
2024-11-04 11:52:25.073606,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474903161,359728583
2024-11-04 11:52:25.078661,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359728624,2474903161
2024-11-04 11:52:25.078810,139,10.5.1.30,37784,17.253.144.10,80,TCP,1,1,898007778,4196058127
2024-11-04 11:52:25.114214,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1587,3959520723,3132468305
2024-11-04 11:52:25.114432,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1587,537,3132468348,3959520680
2024-11-04 11:52:25.114466,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1587,3959520723,3132468348
2024-11-04 11:52:25.114533,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1587,1587,3132468349,3959520723
2024-11-04 11:52:25.115991,66,17.253.144.10,80,10.5.1.30,37784,TCP,1,74,4196058169,898007778
2024-11-04 11:52:25.116166,715,17.253.144.10,80,10.5.1.30,37784,TCP,1,74,4196058170,898007778
2024-11-04 11:52:25.116222,66,10.5.1.30,37784,17.253.144.10,80,TCP,74,650,898007815,4196058170
2024-11-04 11:52:25.116249,66,17.253.144.10,80,10.5.1.30,37784,TCP,650,74,4196058170,898007778
2024-11-04 11:52:25.116319,66,10.5.1.30,37784,17.253.144.10,80,TCP,74,651,898007815,4196058170
2024-11-04 11:52:25.116455,1630,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474903203,359728624
2024-11-04 11:52:25.116549,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,2101,359728662,2474903203
2024-11-04 11:52:25.156053,66,17.253.144.10,80,10.5.1.30,37784,TCP,651,75,4196058210,898007815
2024-11-04 11:52:25.438550,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,2101,359728984,2474903203
2024-11-04 11:52:25.484186,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,1609,2474903571,359728984
2024-11-04 11:52:25.484313,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,2101,359729029,2474903571
2024-11-04 11:52:25.484349,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,2145,2474903571,359729029
2024-11-04 11:52:25.484690,602,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,2145,2474903572,359729029
2024-11-04 11:52:25.530856,66,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,2637,359729076,2474903572
2024-11-04 11:52:26.002538,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,1587,3959521612,3132468349
2024-11-04 11:52:26.002666,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1587,2123,3132469237,3959521612
