Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:49:07.767974,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453242332,4095956526
2024-11-04 19:49:07.768524,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095966936,3453242332
2024-11-04 19:49:07.768821,74,10.5.1.30,42106,3.165.239.75,80,TCP,0,0,3686250371,0
2024-11-04 19:49:07.810141,74,3.165.239.75,80,10.5.1.30,42106,TCP,0,1,3775246521,3686250371
2024-11-04 19:49:07.810700,66,10.5.1.30,42106,3.165.239.75,80,TCP,1,1,3686250412,3775246521
2024-11-04 19:49:07.810821,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095966979,3453242332
2024-11-04 19:49:07.816369,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453242380,4095966979
2024-11-04 19:49:07.816701,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095966984,3453242380
2024-11-04 19:49:07.816966,139,10.5.1.30,42106,3.165.239.75,80,TCP,1,1,3686250419,3775246521
2024-11-04 19:49:07.842604,66,3.165.239.75,80,10.5.1.30,42106,TCP,1,74,3775246568,3686250419
2024-11-04 19:49:07.857710,655,3.165.239.75,80,10.5.1.30,42106,TCP,1,74,3775246568,3686250419
2024-11-04 19:49:07.858401,66,10.5.1.30,42106,3.165.239.75,80,TCP,74,590,3686250460,3775246568
2024-11-04 19:49:07.859047,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095967027,3453242380
2024-11-04 19:49:07.862488,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3453242426,4095967027
2024-11-04 19:49:07.863447,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,1609,4095967031,3453242426
2024-11-04 19:49:07.864260,66,10.5.1.30,42106,3.165.239.75,80,TCP,74,590,3686250466,3775246568
2024-11-04 19:49:07.895064,66,3.165.239.75,80,10.5.1.30,42106,TCP,590,75,3775246616,3686250466
2024-11-04 19:49:07.895635,66,10.5.1.30,42106,3.165.239.75,80,TCP,75,591,3686250497,3775246616
2024-11-04 19:49:09.565982,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1587,3453244130,4095967031
2024-11-04 19:49:09.566108,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181817979,2860487919
2024-11-04 19:49:09.566110,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198225754,2661970866
2024-11-04 19:49:09.566935,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,2145,4095968735,3453244130
2024-11-04 19:49:09.566969,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661999254,2198225754
2024-11-04 19:49:09.567354,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,1587,3453244131,4095968735
2024-11-04 19:49:09.567769,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,2681,4095968735,3453244131
2024-11-04 19:49:09.573185,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,1587,3453244137,4095968735
2024-11-04 19:49:09.574107,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,3217,4095968742,3453244137
2024-11-04 19:49:09.575350,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,3217,4095968743,3453244137
2024-11-04 19:49:09.579528,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,2123,3453244143,4095968743
2024-11-04 19:49:09.580715,602,10.5.1.30,9001,10.5.1.10,42922,TCP,2123,3753,4095968748,3453244143
2024-11-04 19:49:09.582683,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,2659,3453244146,4095968748
2024-11-04 19:49:09.583617,602,10.5.1.30,9001,10.5.1.10,42922,TCP,2659,4289,4095968751,3453244146
2024-11-04 19:49:09.589732,602,10.5.1.10,42922,10.5.1.30,9001,TCP,4289,3195,3453244153,4095968751
2024-11-04 19:49:09.590623,602,10.5.1.30,9001,10.5.1.10,42922,TCP,3195,4825,4095968758,3453244153
2024-11-04 19:49:09.596650,602,10.5.1.10,42922,10.5.1.30,9001,TCP,4825,3731,3453244160,4095968758
2024-11-04 19:49:09.612187,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860516245,181817979
2024-11-04 19:49:09.612678,1138,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,181818025,2860516245
2024-11-04 19:49:09.613064,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2860516246,181818025
2024-11-04 19:49:09.613573,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2860516246,181818025
2024-11-04 19:49:09.614142,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,181818027,2860516246
2024-11-04 19:49:09.615621,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,181818028,2860516246
2024-11-04 19:49:09.615736,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2860516248,181818027
2024-11-04 19:49:09.638872,66,10.5.1.30,9001,10.5.1.10,42922,TCP,3731,5361,4095968807,3453244160
2024-11-04 19:49:09.639868,602,10.5.1.10,42922,10.5.1.30,9001,TCP,5361,3731,3453244204,4095968807
2024-11-04 19:49:09.640576,66,10.5.1.30,9001,10.5.1.10,42922,TCP,3731,5897,4095968808,3453244204
2024-11-04 19:49:09.658866,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2860516292,181818028
2024-11-04 19:49:09.659633,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,181818072,2860516248
2024-11-04 19:49:09.660187,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2860516293,181818072
2024-11-04 19:49:09.660788,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,181818072,2860516292
2024-11-04 19:49:09.661401,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,2681,2860516294,181818072
2024-11-04 19:49:09.661958,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1609,181818075,2860516293
2024-11-04 19:49:09.662676,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,2681,2860516295,181818075
2024-11-04 19:49:09.663350,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,2145,181818076,2860516295
2024-11-04 19:49:09.665748,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,2145,181818078,2860516295
2024-11-04 19:49:09.708852,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,3217,2860516342,181818078
2024-11-04 19:49:09.709230,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,2145,181818122,2860516342
2024-11-04 19:49:09.709593,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,3753,2860516342,181818122
2024-11-04 19:49:09.916517,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141571587,3033459241
2024-11-04 19:49:09.916675,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227478907,3158511561
2024-11-04 19:49:09.917656,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158540285,2227478907
2024-11-04 19:49:09.921106,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848131610,3524953678
