Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:19:03.825937,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139765497,3031671410
2024-11-04 19:19:03.826447,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031681733,139765497
2024-11-04 19:19:03.826774,74,10.5.1.30,50134,54.148.184.99,80,TCP,0,0,44019260,0
2024-11-04 19:19:04.018175,74,54.148.184.99,80,10.5.1.30,50134,TCP,0,1,1195596812,44019260
2024-11-04 19:19:04.018827,66,10.5.1.30,50134,54.148.184.99,80,TCP,1,1,44019453,1195596812
2024-11-04 19:19:04.018984,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031681926,139765497
2024-11-04 19:19:04.023285,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139765694,3031681926
2024-11-04 19:19:04.023747,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031681930,139765694
2024-11-04 19:19:04.024191,144,10.5.1.30,50134,54.148.184.99,80,TCP,1,1,44019458,1195596812
2024-11-04 19:19:04.215552,66,54.148.184.99,80,10.5.1.30,50134,TCP,1,79,1195597010,44019458
2024-11-04 19:19:04.216450,400,54.148.184.99,80,10.5.1.30,50134,TCP,1,79,1195597011,44019458
2024-11-04 19:19:04.216923,66,10.5.1.30,50134,54.148.184.99,80,TCP,79,335,44019651,1195597011
2024-11-04 19:19:04.217459,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031682124,139765694
2024-11-04 19:19:04.220311,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,139765891,3031682124
2024-11-04 19:19:04.220846,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3031682128,139765891
2024-11-04 19:19:04.221370,66,10.5.1.30,50134,54.148.184.99,80,TCP,79,335,44019655,1195597011
2024-11-04 19:19:04.413003,66,54.148.184.99,80,10.5.1.30,50134,TCP,335,80,1195597207,44019655
2024-11-04 19:19:04.413639,66,10.5.1.30,50134,54.148.184.99,80,TCP,80,336,44019847,1195597207
2024-11-04 19:19:11.380056,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2196427568,2660172749
2024-11-04 19:19:11.380090,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180019793,2858689930
2024-11-04 19:19:11.380294,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225680371,3156713451
2024-11-04 19:19:11.380825,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2660201068,2196427568
2024-11-04 19:19:11.390239,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,139773061,3031682128
2024-11-04 19:19:11.390805,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3031689298,139773061
2024-11-04 19:19:11.391439,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3031689298,139773061
2024-11-04 19:19:11.396092,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1846333085,3523155579
2024-11-04 19:19:11.396458,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1609,139773067,3031689298
2024-11-04 19:19:11.396992,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3523183893,1846333085
2024-11-04 19:19:11.399450,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2681,3031689306,139773067
2024-11-04 19:19:11.403074,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1051,537,1846333092,3523183893
2024-11-04 19:19:11.403372,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,2145,139773074,3031689306
2024-11-04 19:19:11.403783,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1587,3523183899,1846333092
2024-11-04 19:19:11.409210,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1587,1073,1846333098,3523183899
2024-11-04 19:19:11.409883,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2123,3523183906,1846333098
2024-11-04 19:19:11.416144,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2123,1609,1846333105,3523183906
2024-11-04 19:19:11.416649,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,2659,3523183912,1846333105
2024-11-04 19:19:11.422372,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2858718055,180019793
2024-11-04 19:19:11.422376,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3156741790,2225680371
2024-11-04 19:19:11.422881,1138,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,180019836,2858718055
2024-11-04 19:19:11.422909,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2225680414,3156741790
2024-11-04 19:19:11.423503,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2858718056,180019836
2024-11-04 19:19:11.423503,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1587,3156741791,2225680414
2024-11-04 19:19:11.424194,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2659,2145,1846333113,3523183912
2024-11-04 19:19:11.424311,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2858718057,180019836
2024-11-04 19:19:11.424953,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,180019838,2858718057
2024-11-04 19:19:11.426340,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1587,3156741794,2225680414
2024-11-04 19:19:11.426870,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,180019840,2858718057
2024-11-04 19:19:11.429417,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1587,537,2225680420,3156741794
2024-11-04 19:19:11.429580,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2858718062,180019840
2024-11-04 19:19:11.433318,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2123,3156741801,2225680420
2024-11-04 19:19:11.433639,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2123,1073,2225680424,3156741801
2024-11-04 19:19:11.435872,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,180019849,2858718062
2024-11-04 19:19:11.436104,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2659,3156741804,2225680424
2024-11-04 19:19:11.439288,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2659,1609,2225680430,3156741804
2024-11-04 19:19:11.439589,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,3195,3156741807,2225680430
2024-11-04 19:19:11.443177,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3195,2145,2225680434,3156741807
2024-11-04 19:19:11.449034,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,3217,3031689356,139773074
2024-11-04 19:19:11.465705,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,3195,3523183961,1846333113
2024-11-04 19:19:11.479040,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2858718112,180019849
2024-11-04 19:19:11.489026,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,3731,3156741857,2225680434
2024-11-04 19:19:11.489224,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3731,2145,2225680480,3156741857
2024-11-04 19:19:11.489455,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,4267,3156741857,2225680480
2024-11-04 19:19:11.776319,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4267,2145,2225680767,3156741857
2024-11-04 19:19:11.776433,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2196427964,2660201068
2024-11-04 19:19:11.776507,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1073,180020189,2858718112
2024-11-04 19:19:11.777075,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2858718410,180020189
2024-11-04 19:19:11.777085,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2660201464,2196427964
2024-11-04 19:19:11.777102,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,4803,3156742145,2225680767
2024-11-04 19:19:11.788212,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4803,2145,2225680779,3156742145
2024-11-04 19:19:11.788870,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5339,3156742157,2225680779
2024-11-04 19:19:11.789502,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5339,3156742157,2225680779
2024-11-04 19:19:11.789536,1630,10.5.1.21,54580,10.5.1.30,9001,TCP,3195,2145,1846333478,3523183961
2024-11-04 19:19:11.790319,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,4759,3523184286,1846333478
2024-11-04 19:19:11.793300,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5339,2681,2225680784,3156742157
2024-11-04 19:19:11.793345,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,4759,3523184289,1846333478
2024-11-04 19:19:11.794002,66,10.5.1.21,54580,10.5.1.30,9001,TCP,4759,3709,1846333483,3523184289
2024-11-04 19:19:11.796351,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2681,5875,3156742164,2225680784
2024-11-04 19:19:11.796812,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5875,3217,2225680788,3156742164
2024-11-04 19:19:11.799452,602,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,6411,3156742167,2225680788
2024-11-04 19:19:11.800182,1630,10.5.1.21,54580,10.5.1.30,9001,TCP,4759,3709,1846333489,3523184289
