Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:19:43.596670,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139805267,3031721216
2024-11-04 19:19:43.597179,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031721504,139805267
2024-11-04 19:19:43.597559,74,10.5.1.30,43906,151.201.135.117,80,TCP,0,0,1183704519,0
2024-11-04 19:19:43.728168,74,151.201.135.117,80,10.5.1.30,43906,TCP,0,1,1786492037,1183704519
2024-11-04 19:19:43.728906,66,10.5.1.30,43906,151.201.135.117,80,TCP,1,1,1183704651,1786492037
2024-11-04 19:19:43.729124,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031721636,139805267
2024-11-04 19:19:43.732456,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139805403,3031721636
2024-11-04 19:19:43.732991,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031721640,139805403
2024-11-04 19:19:43.733494,142,10.5.1.30,43906,151.201.135.117,80,TCP,1,1,1183704655,1786492037
2024-11-04 19:19:43.803288,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2196459991,2660232847
2024-11-04 19:19:43.803360,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225712794,3156773247
2024-11-04 19:19:43.803416,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,139805474,3031721640
2024-11-04 19:19:43.803979,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2660233491,2196459991
2024-11-04 19:19:43.803979,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3156774172,2225712794
2024-11-04 19:19:43.803984,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3031721711,139805474
2024-11-04 19:19:43.805835,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2196459994,2660233491
2024-11-04 19:19:43.806170,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2660233493,2196459994
2024-11-04 19:19:43.811339,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1,2196459999,2660233493
2024-11-04 19:19:43.811404,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3451478375,4094202413
2024-11-04 19:19:43.811404,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,537,139805482,3031721711
2024-11-04 19:19:43.811660,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1609,2660233498,2196459999
2024-11-04 19:19:43.812014,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,2145,3031721719,139805482
2024-11-04 19:19:43.812014,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094202980,3451478375
2024-11-04 19:19:43.812562,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1609,2660233499,2196459999
2024-11-04 19:19:43.816228,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,2145,3031721723,139805482
2024-11-04 19:19:43.816484,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2225712807,3156774172
2024-11-04 19:19:43.816605,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094202984,3451478375
2024-11-04 19:19:43.817290,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3156774185,2225712807
2024-11-04 19:19:43.818279,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3156774186,2225712807
2024-11-04 19:19:43.820083,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,537,2196460008,2660233499
2024-11-04 19:19:43.820791,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,2145,2660233508,2196460008
2024-11-04 19:19:43.822751,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1073,139805493,3031721723
2024-11-04 19:19:43.823350,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2681,3031721730,139805493
2024-11-04 19:19:43.826456,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,537,2225712817,3156774186
2024-11-04 19:19:43.826462,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3451478390,4094202984
2024-11-04 19:19:43.826510,602,10.5.1.23,40268,10.5.1.30,9001,TCP,2145,1073,2196460014,2660233508
2024-11-04 19:19:43.827074,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4094202995,3451478390
2024-11-04 19:19:43.829673,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,1609,139805500,3031721730
2024-11-04 19:19:43.829707,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1609,3156774197,2225712817
2024-11-04 19:19:43.836034,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3451478400,4094202995
2024-11-04 19:19:43.839515,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2225712830,3156774197
2024-11-04 19:19:43.865550,66,151.201.135.117,80,10.5.1.30,43906,TCP,1,77,1786492175,1183704655
2024-11-04 19:19:43.866199,720,151.201.135.117,80,10.5.1.30,43906,TCP,1,77,1786492175,1183704655
2024-11-04 19:19:43.866660,66,10.5.1.30,43906,151.201.135.117,80,TCP,77,655,1183704788,1786492175
2024-11-04 19:19:43.867096,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,3217,3031721774,139805500
2024-11-04 19:19:43.869070,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2681,2660233556,2196460014
2024-11-04 19:19:43.870223,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3217,2659,139805541,3031721774
2024-11-04 19:19:43.870842,66,10.5.1.30,43906,151.201.135.117,80,TCP,77,655,1183704793,1786492175
2024-11-04 19:19:43.879057,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4094203047,3451478400
2024-11-04 19:19:43.882387,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3156774250,2225712830
2024-11-04 19:19:43.915699,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2659,3753,3031721822,139805541
2024-11-04 19:19:43.998141,66,151.201.135.117,80,10.5.1.30,43906,TCP,655,78,1786492308,1183704793
2024-11-04 19:19:43.998614,66,10.5.1.30,43906,151.201.135.117,80,TCP,78,656,1183704920,1786492308
2024-11-04 19:19:44.076703,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180052489,2858749955
2024-11-04 19:19:44.076742,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1073,3451478640,4094203047
2024-11-04 19:19:44.076784,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2225713067,3156774250
2024-11-04 19:19:44.077441,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2858750710,180052489
2024-11-04 19:19:44.077455,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3156774445,2225713067
2024-11-04 19:19:44.077455,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2145,4094203245,3451478640
2024-11-04 19:19:44.078453,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,180052491,2858750710
2024-11-04 19:19:44.078707,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2858750711,180052491
2024-11-04 19:19:44.080096,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,1073,2225713071,3156774445
2024-11-04 19:19:44.080472,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3156774448,2225713071
2024-11-04 19:19:44.086926,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,1073,2225713078,3156774448
2024-11-04 19:19:44.087379,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,4267,3156774455,2225713078
2024-11-04 19:19:44.087865,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,4267,3156774456,2225713078
2024-11-04 19:19:44.089353,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,180052502,2858750711
2024-11-04 19:19:44.089880,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2858750723,180052502
2024-11-04 19:19:44.090050,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3753,2659,139805761,3031721822
2024-11-04 19:19:44.090355,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2858750723,180052502
2024-11-04 19:19:44.090382,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2659,4289,3031721997,139805761
2024-11-04 19:19:44.092958,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4267,1609,2225713084,3156774456
2024-11-04 19:19:44.093044,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2659,4289,3031722000,139805761
2024-11-04 19:19:44.096524,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,4803,3156774464,2225713084
2024-11-04 19:19:44.103468,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,180052516,2858750723
2024-11-04 19:19:44.103485,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4803,2145,2225713094,3156774464
2024-11-04 19:19:44.104157,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2858750737,180052516
2024-11-04 19:19:44.106890,602,10.5.1.11,42168,10.5.1.30,9001,TCP,4289,3195,139805778,3031722000
2024-11-04 19:19:44.107543,602,10.5.1.30,9001,10.5.1.11,42168,TCP,3195,4825,3031722014,139805778
2024-11-04 19:19:44.116845,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,180052530,2858750737
2024-11-04 19:19:44.123399,602,10.5.1.11,42168,10.5.1.30,9001,TCP,4825,3731,139805794,3031722014
2024-11-04 19:19:44.145732,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5339,3156774513,2225713094
2024-11-04 19:19:44.146202,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5339,2145,2225713137,3156774513
2024-11-04 19:19:44.146472,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5875,3156774514,2225713137
2024-11-04 19:19:44.147321,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5875,3156774515,2225713137
2024-11-04 19:19:44.153569,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5875,2681,2225713144,3156774515
2024-11-04 19:19:44.159040,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2858750792,180052530
2024-11-04 19:19:44.165700,66,10.5.1.30,9001,10.5.1.11,42168,TCP,3731,5361,3031722072,139805794
2024-11-04 19:19:44.195705,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2681,6411,3156774563,2225713144
2024-11-04 19:19:44.219361,602,10.5.1.20,56104,10.5.1.30,9001,TCP,6411,2681,2225713210,3156774563
2024-11-04 19:19:44.220055,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2681,6947,3156774588,2225713210
2024-11-04 19:19:44.220881,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2681,6947,3156774589,2225713210
2024-11-04 19:19:44.233329,602,10.5.1.20,56104,10.5.1.30,9001,TCP,6947,3217,2225713224,3156774589
2024-11-04 19:19:44.275705,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,7483,3156774643,2225713224
2024-11-04 19:19:44.276284,602,10.5.1.20,56104,10.5.1.30,9001,TCP,7483,3217,2225713267,3156774643
