Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:18:58.975504,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132560646,3024474433
2024-11-04 17:18:58.975525,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024476882,132560646
2024-11-04 17:18:58.975699,74,10.5.1.30,54078,31.222.67.112,80,TCP,0,0,164148470,0
2024-11-04 17:18:59.016857,66,31.222.67.112,80,10.5.1.30,54078,TCP,0,1,,
2024-11-04 17:18:59.016887,54,10.5.1.30,54078,31.222.67.112,80,TCP,1,1,,
2024-11-04 17:18:59.017005,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024476924,132560646
2024-11-04 17:18:59.020879,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132560692,3024476924
2024-11-04 17:18:59.020903,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024476928,132560692
2024-11-04 17:18:59.020969,127,10.5.1.30,54078,31.222.67.112,80,TCP,1,1,,
2024-11-04 17:18:59.069239,54,31.222.67.112,80,10.5.1.30,54078,TCP,1,74,,
2024-11-04 17:18:59.069278,402,31.222.67.112,80,10.5.1.30,54078,TCP,1,74,,
2024-11-04 17:18:59.069297,54,10.5.1.30,54078,31.222.67.112,80,TCP,74,349,,
2024-11-04 17:18:59.069403,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024476976,132560692
2024-11-04 17:18:59.074092,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,132560745,3024476976
2024-11-04 17:18:59.074123,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3024476981,132560745
2024-11-04 17:18:59.074181,54,10.5.1.30,54078,31.222.67.112,80,TCP,74,349,,
2024-11-04 17:18:59.114269,54,31.222.67.112,80,10.5.1.30,54078,TCP,349,75,,
2024-11-04 17:18:59.114298,54,10.5.1.30,54078,31.222.67.112,80,TCP,75,350,,
2024-11-04 17:19:00.523743,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,172808936,2851502374
2024-11-04 17:19:00.524106,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851507157,172808936
2024-11-04 17:19:00.524160,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,172808937,2851507157
2024-11-04 17:19:06.537156,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3444241101,4086948682
2024-11-04 17:19:06.537462,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4086965705,3444241101
2024-11-04 17:19:06.537496,66,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3444241101,4086965705
2024-11-04 17:19:06.747187,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,172815160,2851507157
2024-11-04 17:19:06.747792,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851513381,172815160
2024-11-04 17:19:06.747830,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,172815161,2851513381
2024-11-04 17:19:07.475789,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3024485382,132560745
2024-11-04 17:19:07.476253,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1609,132569147,3024485382
2024-11-04 17:19:07.476286,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2145,3024485383,132569147
2024-11-04 17:19:07.477637,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2145,3024485384,132569147
2024-11-04 17:19:07.480424,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,2145,132569151,3024485384
2024-11-04 17:19:07.480850,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,2681,3024485388,132569151
2024-11-04 17:19:07.486963,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,2681,132569158,3024485388
