Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:10:36.395224,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133559629,3960601723
2024-11-04 12:10:36.395401,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960612004,3133559629
2024-11-04 12:10:36.395552,74,10.5.1.30,45652,171.161.148.150,80,TCP,0,0,1788920979,0
2024-11-04 12:10:36.544128,74,171.161.148.150,80,10.5.1.30,45652,TCP,0,1,4141783453,1788920979
2024-11-04 12:10:36.544327,66,10.5.1.30,45652,171.161.148.150,80,TCP,1,1,1788921127,4141783453
2024-11-04 12:10:36.544671,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960612154,3133559629
2024-11-04 12:10:36.548178,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3133559782,3960612154
2024-11-04 12:10:36.548269,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960612157,3133559782
2024-11-04 12:10:36.548362,147,10.5.1.30,45652,171.161.148.150,80,TCP,1,1,1788921131,4141783453
2024-11-04 12:10:36.696644,200,171.161.148.150,80,10.5.1.30,45652,TCP,1,82,4141783608,1788921131
2024-11-04 12:10:36.696887,66,10.5.1.30,45652,171.161.148.150,80,TCP,82,135,1788921280,4141783608
2024-11-04 12:10:36.697138,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960612306,3133559782
2024-11-04 12:10:36.699488,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1073,3133559933,3960612306
2024-11-04 12:10:36.699605,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1609,3960612309,3133559933
