Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:01:02.630728,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360246176,2475410392
2024-11-04 12:01:02.630865,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475420718,360246176
2024-11-04 12:01:02.630977,74,10.5.1.30,55448,151.101.64.81,80,TCP,0,0,26909715,0
2024-11-04 12:01:02.656225,74,151.101.64.81,80,10.5.1.30,55448,TCP,0,1,1299310299,26909715
2024-11-04 12:01:02.656360,66,10.5.1.30,55448,151.101.64.81,80,TCP,1,1,26909740,1299310299
2024-11-04 12:01:02.656500,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475420743,360246176
2024-11-04 12:01:02.658488,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360246203,2475420743
2024-11-04 12:01:02.658599,139,10.5.1.30,55448,151.101.64.81,80,TCP,1,1,26909743,1299310299
2024-11-04 12:01:02.681175,66,151.101.64.81,80,10.5.1.30,55448,TCP,1,74,1299310324,26909743
2024-11-04 12:01:02.684899,828,151.101.64.81,80,10.5.1.30,55448,TCP,1,74,1299310324,26909743
2024-11-04 12:01:02.684973,66,10.5.1.30,55448,151.101.64.81,80,TCP,74,763,26909769,1299310324
2024-11-04 12:01:02.685012,66,151.101.64.81,80,10.5.1.30,55448,TCP,763,74,1299310325,26909743
2024-11-04 12:01:02.685105,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475420772,360246203
2024-11-04 12:01:02.685290,66,10.5.1.30,55448,151.101.64.81,80,TCP,74,764,26909769,1299310325
2024-11-04 12:01:02.688351,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,360246233,2475420772
2024-11-04 12:01:02.688529,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2475420776,360246233
2024-11-04 12:01:02.713699,66,151.101.64.81,80,10.5.1.30,55448,TCP,764,75,1299310356,26909769
2024-11-04 12:01:02.734168,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,2123,360246279,2475420776
