Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:36:11.931712,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1,1,2395888750,2130987848
2024-10-31 11:36:11.931809,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2130991586,2395888750
2024-10-31 11:36:11.931977,74,10.5.1.30,49314,151.101.192.81,80,TCP,0,0,676873484,0
2024-10-31 11:36:11.960270,74,151.101.192.81,80,10.5.1.30,49314,TCP,0,1,3041942354,676873484
2024-10-31 11:36:11.960374,66,10.5.1.30,49314,151.101.192.81,80,TCP,1,1,676873512,3041942354
2024-10-31 11:36:11.960575,602,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2130991615,2395888750
2024-10-31 11:36:11.965365,602,10.5.1.10,50846,10.5.1.30,9001,TCP,537,537,2395888783,2130991615
2024-10-31 11:36:11.965732,137,10.5.1.30,49314,151.101.192.81,80,TCP,1,1,676873518,3041942354
2024-10-31 11:36:11.990277,66,151.101.192.81,80,10.5.1.30,49314,TCP,1,72,3041942385,676873518
2024-10-31 11:36:11.993197,826,151.101.192.81,80,10.5.1.30,49314,TCP,1,72,3041942386,676873518
2024-10-31 11:36:11.993878,66,10.5.1.30,49314,151.101.192.81,80,TCP,72,761,676873546,3041942386
2024-10-31 11:36:11.994018,66,151.101.192.81,80,10.5.1.30,49314,TCP,761,72,3041942386,676873518
2024-10-31 11:36:11.995568,66,10.5.1.30,49314,151.101.192.81,80,TCP,72,762,676873547,3041942386
2024-10-31 11:36:11.996904,1630,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2130991651,2395888783
2024-10-31 11:36:11.997251,66,10.5.1.10,50846,10.5.1.30,9001,TCP,1073,2101,2395888815,2130991651
2024-10-31 11:36:12.020280,66,151.101.192.81,80,10.5.1.30,49314,TCP,762,73,3041942415,676873547
2024-10-31 11:36:12.318255,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1,1,2720344561,2945521281
2024-10-31 11:36:12.319037,66,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945532097,2720344561
2024-10-31 11:36:12.321359,602,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945532099,2720344561
2024-10-31 11:36:12.325527,602,10.5.1.12,53220,10.5.1.30,9001,TCP,537,537,2720344569,2945532099
2024-10-31 11:36:12.325755,602,10.5.1.30,9001,10.5.1.12,53220,TCP,537,1073,2945532104,2720344569
