Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:28:45.074607,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,176993487,2855684654
2024-11-04 18:28:45.075197,74,10.5.1.30,41388,104.21.56.86,80,TCP,0,0,3162925753,0
2024-11-04 18:28:45.114960,74,104.21.56.86,80,10.5.1.30,41388,TCP,0,1,340613913,3162925753
2024-11-04 18:28:45.115373,66,10.5.1.30,41388,104.21.56.86,80,TCP,1,1,3162925793,340613913
2024-11-04 18:28:45.115738,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2855691748,176993487
2024-11-04 18:28:45.115991,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,176993529,2855691748
2024-11-04 18:28:45.119678,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,176993532,2855691748
2024-11-04 18:28:45.120297,138,10.5.1.30,41388,104.21.56.86,80,TCP,1,1,3162925798,340613913
2024-11-04 18:28:45.164885,66,104.21.56.86,80,10.5.1.30,41388,TCP,1,73,340613963,3162925798
2024-11-04 18:28:45.166009,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2855691799,176993532
2024-11-04 18:28:45.217698,1046,104.21.56.86,80,10.5.1.30,41388,TCP,1,73,340614015,3162925798
2024-11-04 18:28:45.218093,66,10.5.1.30,41388,104.21.56.86,80,TCP,73,981,3162925896,340614015
2024-11-04 18:28:45.218332,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2855691851,176993532
2024-11-04 18:28:45.223390,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1587,176993636,2855691851
2024-11-04 18:28:45.223755,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,1609,2855691856,176993636
2024-11-04 18:28:45.223926,66,10.5.1.30,41388,104.21.56.86,80,TCP,73,981,3162925902,340614015
2024-11-04 18:28:45.264921,66,104.21.56.86,80,10.5.1.30,41388,TCP,981,74,340614064,3162925902
2024-11-04 18:28:45.265267,66,10.5.1.30,41388,104.21.56.86,80,TCP,74,982,3162925943,340614064
2024-11-04 18:28:53.092208,74,10.5.1.10,44680,10.5.1.30,9001,TCP,0,0,3448427656,0
2024-11-04 18:28:53.092505,74,10.5.1.30,9001,10.5.1.10,44680,TCP,0,1,4091152260,3448427656
2024-11-04 18:28:53.092623,66,10.5.1.10,44680,10.5.1.30,9001,TCP,1,1,3448427656,4091152260
2024-11-04 18:28:53.093047,583,10.5.1.10,44680,10.5.1.30,9001,TCP,1,1,3448427657,4091152260
2024-11-04 18:28:53.093185,66,10.5.1.30,9001,10.5.1.10,44680,TCP,1,518,4091152261,3448427657
2024-11-04 18:28:53.094551,1237,10.5.1.30,9001,10.5.1.10,44680,TCP,1,518,4091152262,3448427657
2024-11-04 18:28:53.094785,66,10.5.1.10,44680,10.5.1.30,9001,TCP,518,1172,3448427658,4091152262
2024-11-04 18:28:53.095415,146,10.5.1.10,44680,10.5.1.30,9001,TCP,518,1172,3448427659,4091152262
2024-11-04 18:28:53.095589,145,10.5.1.30,9001,10.5.1.10,44680,TCP,1172,598,4091152263,3448427659
2024-11-04 18:28:53.095732,99,10.5.1.10,44680,10.5.1.30,9001,TCP,598,1251,3448427659,4091152263
2024-11-04 18:28:53.095883,145,10.5.1.30,9001,10.5.1.10,44680,TCP,1251,631,4091152264,3448427659
2024-11-04 18:28:53.096386,1514,10.5.1.30,9001,10.5.1.10,44680,TCP,1330,631,4091152264,3448427659
2024-11-04 18:28:53.096636,66,10.5.1.10,44680,10.5.1.30,9001,TCP,631,2778,3448427660,4091152264
2024-11-04 18:28:53.096769,663,10.5.1.30,9001,10.5.1.10,44680,TCP,2778,631,4091152264,3448427660
2024-11-04 18:28:53.097611,2290,10.5.1.10,44680,10.5.1.30,9001,TCP,631,3375,3448427661,4091152264
2024-11-04 18:28:53.097806,66,10.5.1.30,9001,10.5.1.10,44680,TCP,3375,2855,4091152266,3448427661
2024-11-04 18:28:53.205898,74,10.5.1.11,47956,10.5.1.30,9001,TCP,0,0,136754877,0
2024-11-04 18:28:53.206186,74,10.5.1.30,9001,10.5.1.11,47956,TCP,0,1,3028671113,136754877
2024-11-04 18:28:53.206325,66,10.5.1.11,47956,10.5.1.30,9001,TCP,1,1,136754877,3028671113
2024-11-04 18:28:53.206772,583,10.5.1.11,47956,10.5.1.30,9001,TCP,1,1,136754877,3028671113
2024-11-04 18:28:53.206931,66,10.5.1.30,9001,10.5.1.11,47956,TCP,1,518,3028671114,136754877
2024-11-04 18:28:53.208252,1237,10.5.1.30,9001,10.5.1.11,47956,TCP,1,518,3028671115,136754877
2024-11-04 18:28:53.208504,66,10.5.1.11,47956,10.5.1.30,9001,TCP,518,1172,136754879,3028671115
2024-11-04 18:28:53.209140,146,10.5.1.11,47956,10.5.1.30,9001,TCP,518,1172,136754880,3028671115
2024-11-04 18:28:53.209319,145,10.5.1.30,9001,10.5.1.11,47956,TCP,1172,598,3028671116,136754880
2024-11-04 18:28:53.209474,99,10.5.1.11,47956,10.5.1.30,9001,TCP,598,1251,136754880,3028671116
2024-11-04 18:28:53.209640,145,10.5.1.30,9001,10.5.1.11,47956,TCP,1251,631,3028671116,136754880
2024-11-04 18:28:53.210135,1514,10.5.1.30,9001,10.5.1.11,47956,TCP,1330,631,3028671117,136754880
2024-11-04 18:28:53.210354,66,10.5.1.11,47956,10.5.1.30,9001,TCP,631,2778,136754881,3028671116
2024-11-04 18:28:53.210483,663,10.5.1.30,9001,10.5.1.11,47956,TCP,2778,631,3028671117,136754881
2024-11-04 18:28:53.211329,2281,10.5.1.11,47956,10.5.1.30,9001,TCP,631,3375,136754882,3028671117
2024-11-04 18:28:53.211530,66,10.5.1.30,9001,10.5.1.11,47956,TCP,3375,2846,3028671118,136754882
2024-11-04 18:28:53.355978,66,10.5.1.11,47956,10.5.1.30,9001,TCP,2846,3375,136755027,3028671118
2024-11-04 18:28:53.356373,90,10.5.1.30,9001,10.5.1.11,47956,TCP,3375,2847,3028671263,136755027
2024-11-04 18:28:53.356555,54,10.5.1.11,47956,10.5.1.30,9001,TCP,2847,0,,
2024-11-04 18:28:53.569118,74,10.5.1.12,41244,10.5.1.30,9001,TCP,0,0,177001982,0
2024-11-04 18:28:53.569506,74,10.5.1.30,9001,10.5.1.12,41244,TCP,0,1,2855700202,177001982
2024-11-04 18:28:53.569775,66,10.5.1.12,41244,10.5.1.30,9001,TCP,1,1,177001982,2855700202
2024-11-04 18:28:53.570238,583,10.5.1.12,41244,10.5.1.30,9001,TCP,1,1,177001983,2855700202
2024-11-04 18:28:53.570387,66,10.5.1.30,9001,10.5.1.12,41244,TCP,1,518,2855700203,177001983
2024-11-04 18:28:53.571629,1237,10.5.1.30,9001,10.5.1.12,41244,TCP,1,518,2855700204,177001983
2024-11-04 18:28:53.571829,66,10.5.1.12,41244,10.5.1.30,9001,TCP,518,1172,177001985,2855700204
2024-11-04 18:28:53.572544,146,10.5.1.12,41244,10.5.1.30,9001,TCP,518,1172,177001985,2855700204
2024-11-04 18:28:53.572757,145,10.5.1.30,9001,10.5.1.12,41244,TCP,1172,598,2855700205,177001985
2024-11-04 18:28:53.572902,99,10.5.1.12,41244,10.5.1.30,9001,TCP,598,1251,177001986,2855700205
2024-11-04 18:28:53.573056,145,10.5.1.30,9001,10.5.1.12,41244,TCP,1251,631,2855700206,177001986
2024-11-04 18:28:53.573545,1514,10.5.1.30,9001,10.5.1.12,41244,TCP,1330,631,2855700206,177001986
2024-11-04 18:28:53.573763,66,10.5.1.12,41244,10.5.1.30,9001,TCP,631,2778,177001986,2855700206
2024-11-04 18:28:53.573890,663,10.5.1.30,9001,10.5.1.12,41244,TCP,2778,631,2855700207,177001986
2024-11-04 18:28:53.574910,2288,10.5.1.12,41244,10.5.1.30,9001,TCP,631,3375,177001988,2855700207
