Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:26:06.528364,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,176834941,2855528635
2024-11-04 18:26:06.528674,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2855533161,176834941
2024-11-04 18:26:06.528885,74,10.5.1.30,39832,139.45.197.237,80,TCP,0,0,730526487,0
2024-11-04 18:26:06.581050,70,139.45.197.237,80,10.5.1.30,39832,TCP,0,1,3630334045,730526487
2024-11-04 18:26:06.581324,66,10.5.1.30,39832,139.45.197.237,80,TCP,1,1,730526539,3630334045
2024-11-04 18:26:06.581451,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2855533214,176834941
2024-11-04 18:26:06.586233,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,176834999,2855533214
2024-11-04 18:26:06.586541,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2855533219,176834999
2024-11-04 18:26:06.586748,143,10.5.1.30,39832,139.45.197.237,80,TCP,1,1,730526544,3630334045
2024-11-04 18:26:06.632625,66,139.45.197.237,80,10.5.1.30,39832,TCP,1,78,3630334100,730526544
2024-11-04 18:26:06.632952,254,139.45.197.237,80,10.5.1.30,39832,TCP,1,78,3630334100,730526544
2024-11-04 18:26:06.633094,66,10.5.1.30,39832,139.45.197.237,80,TCP,78,189,730526591,3630334100
2024-11-04 18:26:06.633296,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2855533266,176834999
