Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:21:54.553707,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134237788,3961288253
2024-11-04 12:21:54.553946,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961290163,3134237788
2024-11-04 12:21:54.554142,74,10.5.1.30,58834,23.211.4.21,80,TCP,0,0,1655041692,0
2024-11-04 12:21:54.614207,74,23.211.4.21,80,10.5.1.30,58834,TCP,0,1,1872842117,1655041692
2024-11-04 12:21:54.614537,66,10.5.1.30,58834,23.211.4.21,80,TCP,1,1,1655041753,1872842117
2024-11-04 12:21:54.614650,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961290224,3134237788
2024-11-04 12:21:54.618495,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134237852,3961290224
2024-11-04 12:21:54.618650,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961290228,3134237852
2024-11-04 12:21:54.618846,141,10.5.1.30,58834,23.211.4.21,80,TCP,1,1,1655041757,1872842117
2024-11-04 12:21:54.676671,66,23.211.4.21,80,10.5.1.30,58834,TCP,1,76,1872842180,1655041757
2024-11-04 12:21:54.731646,241,23.211.4.21,80,10.5.1.30,58834,TCP,1,76,1872842236,1655041757
2024-11-04 12:21:54.731904,66,10.5.1.30,58834,23.211.4.21,80,TCP,76,176,1655041870,1872842236
2024-11-04 12:21:54.732090,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961290341,3134237852
