Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:49:40.135301,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844561824,3521402283
2024-11-04 18:49:40.135748,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521412631,1844561824
2024-11-04 18:49:40.136078,74,10.5.1.30,59934,210.210.24.66,80,TCP,0,0,311883494,0
2024-11-04 18:49:40.319663,74,210.210.24.66,80,10.5.1.30,59934,TCP,0,1,4165727746,311883494
2024-11-04 18:49:40.320073,66,10.5.1.30,59934,210.210.24.66,80,TCP,1,1,311883678,4165727746
2024-11-04 18:49:40.320214,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521412816,1844561824
2024-11-04 18:49:40.323730,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1844562012,3521412816
2024-11-04 18:49:40.324323,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521412820,1844562012
2024-11-04 18:49:40.324760,142,10.5.1.30,59934,210.210.24.66,80,TCP,1,1,311883682,4165727746
2024-11-04 18:49:40.509511,66,210.210.24.66,80,10.5.1.30,59934,TCP,1,77,4165727936,311883682
2024-11-04 18:49:40.512274,575,210.210.24.66,80,10.5.1.30,59934,TCP,1,77,4165727937,311883682
2024-11-04 18:49:40.513160,66,10.5.1.30,59934,210.210.24.66,80,TCP,77,510,311883871,4165727937
2024-11-04 18:49:40.514451,1116,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521413010,1844562012
2024-11-04 18:49:40.519046,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1587,1844562208,3521413010
2024-11-04 18:49:40.519778,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,1609,3521413015,1844562208
2024-11-04 18:49:40.520176,66,10.5.1.30,59934,210.210.24.66,80,TCP,77,510,311883878,4165727937
2024-11-04 18:49:40.707047,66,210.210.24.66,80,10.5.1.30,59934,TCP,510,78,4165728131,311883878
2024-11-04 18:49:40.707801,66,210.210.24.66,80,10.5.1.30,59934,TCP,510,78,4165728131,311883878
2024-11-04 18:49:40.708008,66,10.5.1.30,59934,210.210.24.66,80,TCP,78,511,311884066,4165728131
2024-11-04 18:49:44.673699,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194660861,2658408458
2024-11-04 18:49:44.673911,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1587,1844566363,3521413015
2024-11-04 18:49:44.674111,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,178253087,2856925449
2024-11-04 18:49:44.674337,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2658434361,2194660861
2024-11-04 18:49:44.674432,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,2145,3521417170,1844566363
2024-11-04 18:49:44.674594,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2856951307,178253087
2024-11-04 18:49:44.674620,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,138006345,3029916106
2024-11-04 18:49:44.674912,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3029922582,138006345
2024-11-04 18:49:44.675361,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,138006346,3029922582
2024-11-04 18:49:44.675657,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3029922582,138006346
2024-11-04 18:49:44.676701,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1,138006347,3029922582
2024-11-04 18:49:44.677091,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1609,3029922584,138006347
2024-11-04 18:49:44.677877,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,178253091,2856951307
2024-11-04 18:49:44.678124,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1,138006349,3029922584
2024-11-04 18:49:44.678327,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2856951311,178253091
2024-11-04 18:49:44.678461,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,2145,3029922585,138006349
2024-11-04 18:49:44.679040,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1,138006350,3029922585
2024-11-04 18:49:44.679302,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,178253092,2856951311
2024-11-04 18:49:44.679325,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,2681,3029922586,138006350
2024-11-04 18:49:44.679498,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1587,1844566368,3521417170
2024-11-04 18:49:44.679604,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,1,138006350,3029922586
2024-11-04 18:49:44.679869,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2856951313,178253092
