Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:35:26.171991,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005982774,2445561739
2024-11-04 12:35:26.172315,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445569530,3005982774
2024-11-04 12:35:26.172521,74,10.5.1.30,57700,18.65.64.35,80,TCP,0,0,2462104912,0
2024-11-04 12:35:26.191405,74,18.65.64.35,80,10.5.1.30,57700,TCP,0,1,2362340437,2462104912
2024-11-04 12:35:26.192073,66,10.5.1.30,57700,18.65.64.35,80,TCP,1,1,2462104932,2362340437
2024-11-04 12:35:26.192256,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445569550,3005982774
2024-11-04 12:35:26.197976,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005982800,2445569550
2024-11-04 12:35:26.198408,141,10.5.1.30,57700,18.65.64.35,80,TCP,1,1,2462104938,2362340437
2024-11-04 12:35:26.216252,66,18.65.64.35,80,10.5.1.30,57700,TCP,1,76,2362340462,2462104938
2024-11-04 12:35:26.243920,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445569602,3005982800
2024-11-04 12:35:26.394156,442,18.65.64.35,80,10.5.1.30,57700,TCP,1,76,2362340638,2462104938
2024-11-04 12:35:26.394767,66,10.5.1.30,57700,18.65.64.35,80,TCP,76,377,2462105135,2362340638
2024-11-04 12:35:26.395183,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445569753,3005982800
