Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:41:06.054034,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362649599,2477817578
2024-11-04 12:41:06.054360,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477824141,362649599
2024-11-04 12:41:06.054616,74,10.5.1.30,38336,188.114.97.7,80,TCP,0,0,577140672,0
2024-11-04 12:41:06.093663,74,188.114.97.7,80,10.5.1.30,38336,TCP,0,1,2077268156,577140672
2024-11-04 12:41:06.094018,66,10.5.1.30,38336,188.114.97.7,80,TCP,1,1,577140711,2077268156
2024-11-04 12:41:06.094134,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477824181,362649599
2024-11-04 12:41:06.098043,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362649643,2477824181
2024-11-04 12:41:06.098320,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477824185,362649643
2024-11-04 12:41:06.098524,140,10.5.1.30,38336,188.114.97.7,80,TCP,1,1,577140716,2077268156
2024-11-04 12:41:06.136064,66,188.114.97.7,80,10.5.1.30,38336,TCP,1,75,2077268198,577140716
2024-11-04 12:41:06.364225,1494,188.114.97.7,80,10.5.1.30,38336,TCP,1,75,2077268425,577140716
2024-11-04 12:41:06.364758,66,10.5.1.30,38336,188.114.97.7,80,TCP,75,1429,577140982,2077268425
2024-11-04 12:41:06.365014,1630,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477824452,362649643
2024-11-04 12:41:06.365339,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,2101,362649910,2477824452
2024-11-04 12:41:06.366465,1494,188.114.97.7,80,10.5.1.30,38336,TCP,4285,75,2077268425,577140716
2024-11-04 12:41:06.366815,78,10.5.1.30,38336,188.114.97.7,80,TCP,75,1429,577140984,2077268425
2024-11-04 12:41:06.367052,2922,188.114.97.7,80,10.5.1.30,38336,TCP,1429,75,2077268425,577140716
2024-11-04 12:41:06.367502,66,10.5.1.30,38336,188.114.97.7,80,TCP,75,5713,577140984,2077268425
2024-11-04 12:41:06.367709,5778,188.114.97.7,80,10.5.1.30,38336,TCP,5713,75,2077268425,577140716
2024-11-04 12:41:06.367717,4136,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,1073,2477824455,362649910
2024-11-04 12:41:06.368163,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,6171,362649913,2477824455
2024-11-04 12:41:06.368373,666,10.5.1.30,9001,10.5.1.10,33616,TCP,6171,1073,2477824455,362649913
2024-11-04 12:41:06.368466,66,10.5.1.30,38336,188.114.97.7,80,TCP,75,11425,577140985,2077268425
2024-11-04 12:41:06.368632,300,188.114.97.7,80,10.5.1.30,38336,TCP,11425,75,2077268425,577140716
2024-11-04 12:41:06.368827,66,10.5.1.30,38336,188.114.97.7,80,TCP,75,11659,577140986,2077268425
2024-11-04 12:41:06.371153,2962,10.5.1.30,9001,10.5.1.10,33616,TCP,6771,1073,2477824458,362649913
2024-11-04 12:41:06.371525,2962,10.5.1.30,9001,10.5.1.10,33616,TCP,9667,1073,2477824459,362649913
2024-11-04 12:41:06.371535,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,9667,362649917,2477824455
