Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:51:48.794351,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,178377207,2857047129
2024-11-04 18:51:48.794387,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2224037785,3155070878
2024-11-04 18:51:48.794540,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844690483,3521529553
2024-11-04 18:51:48.795114,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2857075428,178377207
2024-11-04 18:51:48.795114,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3155099163,2224037785
2024-11-04 18:51:48.795232,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521541291,1844690483
2024-11-04 18:51:48.795728,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2224037786,3155099163
2024-11-04 18:51:48.796006,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3155099164,2224037786
2024-11-04 18:51:48.798772,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,178377211,2857075428
2024-11-04 18:51:48.799049,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2857075432,178377211
2024-11-04 18:51:48.801680,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,178377214,2857075432
2024-11-04 18:51:48.802101,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,2123,2857075435,178377214
2024-11-04 18:51:48.802614,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,2123,2857075435,178377214
2024-11-04 18:51:48.806969,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2224037798,3155099164
2024-11-04 18:51:48.807411,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3155099175,2224037798
2024-11-04 18:51:48.807876,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3155099176,2224037798
2024-11-04 18:51:48.816563,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2123,537,178377229,2857075435
2024-11-04 18:51:48.817124,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2659,2857075450,178377229
2024-11-04 18:51:48.819644,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,537,2224037810,3155099176
2024-11-04 18:51:48.819894,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2145,3155099188,2224037810
2024-11-04 18:51:48.822706,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2659,1073,178377235,2857075450
2024-11-04 18:51:48.830118,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2224037821,3155099188
2024-11-04 18:51:48.865880,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3195,2857075499,178377235
2024-11-04 18:51:48.872545,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3155099240,2224037821
2024-11-04 18:51:48.942188,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3195,1073,178377355,2857075499
2024-11-04 18:51:48.942191,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,138130613,3030018336
2024-11-04 18:51:48.942277,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1844690631,3521541291
2024-11-04 18:51:48.942419,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,1073,2224037933,3155099240
2024-11-04 18:51:48.942919,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3155099311,2224037933
2024-11-04 18:51:48.942919,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3521541439,1844690631
2024-11-04 18:51:48.942921,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3731,2857075576,178377355
2024-11-04 18:51:48.942922,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030046850,138130613
2024-11-04 18:51:48.943304,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,1073,2224037934,3155099311
2024-11-04 18:51:48.943670,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3753,3155099311,2224037934
2024-11-04 18:51:48.950186,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1844690639,3521541439
2024-11-04 18:51:48.950258,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3731,1073,178377363,2857075576
2024-11-04 18:51:48.950920,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3521541447,1844690639
2024-11-04 18:51:48.951021,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,4781,2857075584,178377363
2024-11-04 18:51:48.951411,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3753,1073,2224037942,3155099311
2024-11-04 18:51:48.951736,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,4781,2857075584,178377363
2024-11-04 18:51:48.951783,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,4289,3155099319,2224037942
2024-11-04 18:51:48.953750,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194785141,2658530108
2024-11-04 18:51:48.954287,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2658558641,2194785141
2024-11-04 18:51:48.955219,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2658558642,2194785141
2024-11-04 18:51:48.955663,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3521541451,1844690639
2024-11-04 18:51:48.956036,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,4781,1609,178377369,2857075584
2024-11-04 18:51:48.956219,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,4289,3155099324,2224037942
2024-11-04 18:51:48.956600,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,5831,2857075589,178377369
2024-11-04 18:51:48.959508,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,537,2194785147,2658558642
2024-11-04 18:51:48.963018,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,537,1844690652,3521541451
2024-11-04 18:51:48.963030,602,10.5.1.12,55266,10.5.1.30,9001,TCP,5831,2145,178377376,2857075589
2024-11-04 18:51:48.963427,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1073,2658558650,2194785147
2024-11-04 18:51:48.963502,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,6367,2857075596,178377376
2024-11-04 18:51:48.964019,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2145,3521541460,1844690652
2024-11-04 18:51:48.964268,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4289,1609,2224037955,3155099324
2024-11-04 18:51:48.966642,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1073,2194785154,2658558650
2024-11-04 18:51:48.966943,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,4825,3155099335,2224037955
2024-11-04 18:51:48.969711,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1844690658,3521541460
2024-11-04 18:51:48.969739,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,6367,3195,178377382,2857075596
2024-11-04 18:51:48.970297,602,10.5.1.30,9001,10.5.1.12,55266,TCP,3195,7417,2857075603,178377382
2024-11-04 18:51:48.976509,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4825,2145,2224037967,3155099335
2024-11-04 18:51:48.976607,602,10.5.1.12,55266,10.5.1.30,9001,TCP,7417,3731,178377389,2857075603
2024-11-04 18:51:48.977156,602,10.5.1.30,9001,10.5.1.12,55266,TCP,3731,7953,2857075610,178377389
2024-11-04 18:51:48.983398,602,10.5.1.12,55266,10.5.1.30,9001,TCP,7953,4267,178377396,2857075610
2024-11-04 18:51:49.012534,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,1609,2658558699,2194785154
2024-11-04 18:51:49.012534,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3521541508,1844690658
2024-11-04 18:51:49.019213,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5361,3155099387,2224037967
2024-11-04 18:51:49.025884,66,10.5.1.30,9001,10.5.1.12,55266,TCP,4267,8489,2857075659,178377396
2024-11-04 18:51:49.278807,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,1073,2194785466,2658558699
2024-11-04 18:51:49.278813,602,10.5.1.12,55266,10.5.1.30,9001,TCP,8489,4267,178377692,2857075659
2024-11-04 18:51:49.279076,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,138130950,3030046850
2024-11-04 18:51:49.279446,66,10.5.1.30,9001,10.5.1.12,55266,TCP,4267,9025,2857075912,178377692
2024-11-04 18:51:49.279447,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2145,2658558966,2194785466
2024-11-04 18:51:49.279618,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3030047186,138130950
2024-11-04 18:51:49.280198,602,10.5.1.12,55266,10.5.1.30,9001,TCP,9025,4267,178377693,2857075912
2024-11-04 18:51:49.280507,66,10.5.1.30,9001,10.5.1.12,55266,TCP,4267,9561,2857075913,178377693
2024-11-04 18:51:49.282904,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1844690972,3521541508
2024-11-04 18:51:49.283318,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3521541779,1844690972
2024-11-04 18:51:49.286942,602,10.5.1.12,55266,10.5.1.30,9001,TCP,9561,4267,178377700,2857075913
2024-11-04 18:51:49.287259,66,10.5.1.30,9001,10.5.1.12,55266,TCP,4267,10097,2857075920,178377700
2024-11-04 18:51:49.287682,602,10.5.1.30,9001,10.5.1.12,55266,TCP,4267,10097,2857075920,178377700
2024-11-04 18:51:49.290200,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1073,1844690979,3521541779
2024-11-04 18:51:49.290628,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3753,3521541786,1844690979
