Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:04:14.973831,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360438519,2475602722
2024-11-04 12:04:14.974086,74,10.5.1.30,55370,13.35.198.76,80,TCP,0,0,2771223335,0
2024-11-04 12:04:14.993237,74,13.35.198.76,80,10.5.1.30,55370,TCP,0,1,3270178244,2771223335
2024-11-04 12:04:14.993386,66,10.5.1.30,55370,13.35.198.76,80,TCP,1,1,2771223354,3270178244
2024-11-04 12:04:14.993437,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475613080,360438519
2024-11-04 12:04:14.993537,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360438539,2475613080
2024-11-04 12:04:14.995164,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360438540,2475613080
2024-11-04 12:04:14.995280,141,10.5.1.30,55370,13.35.198.76,80,TCP,1,1,2771223356,3270178244
2024-11-04 12:04:15.013152,66,13.35.198.76,80,10.5.1.30,55370,TCP,1,76,3270178264,2771223356
2024-11-04 12:04:15.013338,627,13.35.198.76,80,10.5.1.30,55370,TCP,1,76,3270178264,2771223356
2024-11-04 12:04:15.013410,66,10.5.1.30,55370,13.35.198.76,80,TCP,76,562,2771223374,3270178264
2024-11-04 12:04:15.013499,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475613100,360438540
2024-11-04 12:04:15.018307,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,360438563,2475613100
2024-11-04 12:04:15.018620,66,10.5.1.30,55370,13.35.198.76,80,TCP,76,562,2771223380,3270178264
2024-11-04 12:04:15.035708,66,13.35.198.76,80,10.5.1.30,55370,TCP,562,77,3270178287,2771223380
2024-11-04 12:04:15.035898,66,10.5.1.30,55370,13.35.198.76,80,TCP,77,563,2771223397,3270178287
2024-11-04 12:04:15.060781,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2475613148,360438563
2024-11-04 12:04:15.638527,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1587,360439183,2475613148
2024-11-04 12:04:15.638697,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2145,2475613726,360439183
2024-11-04 12:04:17.386263,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133180620,3960170801
2024-11-04 12:04:17.393812,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,1587,360440939,2475613726
2024-11-04 12:04:17.394046,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2681,2475615481,360440939
2024-11-04 12:04:17.394853,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2681,2475615482,360440939
2024-11-04 12:04:17.427450,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960233036,3133180620
2024-11-04 12:04:17.437479,66,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,2123,360440982,2475615482
