Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:12:36.050862,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,183224464,2861914679
2024-11-04 20:12:36.051768,74,10.5.1.30,42946,45.60.65.23,80,TCP,0,0,3714980111,0
2024-11-04 20:12:36.092045,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861922725,183224464
2024-11-04 20:12:36.093176,74,45.60.65.23,80,10.5.1.30,42946,TCP,0,1,402748367,3714980111
2024-11-04 20:12:36.094104,66,10.5.1.30,42946,45.60.65.23,80,TCP,1,1,3714980154,402748367
2024-11-04 20:12:36.094153,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861922727,183224464
2024-11-04 20:12:36.094593,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183224507,2861922727
2024-11-04 20:12:36.095432,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228885086,3159938266
2024-11-04 20:12:36.096173,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159946464,2228885086
2024-11-04 20:12:36.096819,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183224510,2861922727
2024-11-04 20:12:36.097432,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861922730,183224510
2024-11-04 20:12:36.097843,136,10.5.1.30,42946,45.60.65.23,80,TCP,1,1,3714980158,402748367
2024-11-04 20:12:36.143119,66,45.60.65.23,80,10.5.1.30,42946,TCP,1,71,402748417,3714980158
2024-11-04 20:12:36.144157,169,45.60.65.23,80,10.5.1.30,42946,TCP,1,71,402748424,3714980158
2024-11-04 20:12:36.144738,66,10.5.1.30,42946,45.60.65.23,80,TCP,71,104,3714980204,402748424
2024-11-04 20:12:36.145266,66,45.60.65.23,80,10.5.1.30,42946,TCP,104,71,402748424,3714980158
2024-11-04 20:12:36.145405,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861922778,183224510
2024-11-04 20:12:36.146489,66,10.5.1.30,42946,45.60.65.23,80,TCP,71,105,3714980206,402748424
2024-11-04 20:12:36.148503,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,183224561,2861922778
2024-11-04 20:12:36.149334,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2861922782,183224561
2024-11-04 20:12:36.149784,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2861922782,183224561
2024-11-04 20:12:36.173079,66,45.60.65.23,80,10.5.1.30,42946,TCP,105,72,402748460,3714980206
2024-11-04 20:12:36.192127,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1609,183224605,2861922782
2024-11-04 20:12:37.900000,74,10.5.1.30,60416,10.5.1.11,80,TCP,0,0,3034895807,0
2024-11-04 20:12:37.901229,74,10.5.1.11,80,10.5.1.30,60416,TCP,0,1,142979572,3034895807
2024-11-04 20:12:37.901872,66,10.5.1.30,60416,10.5.1.11,80,TCP,1,1,3034895809,142979572
2024-11-04 20:12:37.902750,361,10.5.1.30,60416,10.5.1.11,80,TCP,1,1,3034895809,142979572
2024-11-04 20:12:37.903699,66,10.5.1.11,80,10.5.1.30,60416,TCP,1,296,142979574,3034895809
2024-11-04 20:12:37.903801,132,10.5.1.11,80,10.5.1.30,60416,TCP,1,296,142979574,3034895809
2024-11-04 20:12:37.904574,66,10.5.1.30,60416,10.5.1.11,80,TCP,296,67,3034895811,142979574
2024-11-04 20:12:37.905227,66,10.5.1.11,80,10.5.1.30,60416,TCP,67,296,142979576,3034895811
2024-11-04 20:12:37.905964,66,10.5.1.30,60416,10.5.1.11,80,TCP,296,68,3034895813,142979576
2024-11-04 20:12:37.906619,66,10.5.1.11,80,10.5.1.30,60416,TCP,68,297,142979577,3034895813
2024-11-04 20:12:43.908910,74,10.5.1.30,35702,10.5.1.10,80,TCP,0,0,4097383077,0
2024-11-04 20:12:43.909693,74,10.5.1.10,80,10.5.1.30,35702,TCP,0,1,3454658473,4097383077
2024-11-04 20:12:43.909995,66,10.5.1.30,35702,10.5.1.10,80,TCP,1,1,4097383078,3454658473
2024-11-04 20:12:43.910372,371,10.5.1.30,35702,10.5.1.10,80,TCP,1,1,4097383078,3454658473
2024-11-04 20:12:43.910728,66,10.5.1.10,80,10.5.1.30,35702,TCP,1,306,3454658474,4097383078
