Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:35:03.842041,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448798406,4091512592
2024-11-04 18:35:03.842576,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091523010,3448798406
2024-11-04 18:35:03.843020,74,10.5.1.30,54776,45.60.251.175,80,TCP,0,0,2075234991,0
2024-11-04 18:35:04.009893,74,45.60.251.175,80,10.5.1.30,54776,TCP,0,1,46880377,2075234991
2024-11-04 18:35:04.010270,66,10.5.1.30,54776,45.60.251.175,80,TCP,1,1,2075235158,46880377
2024-11-04 18:35:04.010499,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091523178,3448798406
2024-11-04 18:35:04.016372,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448798580,4091523178
2024-11-04 18:35:04.016806,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091523185,3448798580
2024-11-04 18:35:04.017156,143,10.5.1.30,54776,45.60.251.175,80,TCP,1,1,2075235165,46880377
2024-11-04 18:35:04.184745,66,45.60.251.175,80,10.5.1.30,54776,TCP,1,78,46880555,2075235165
2024-11-04 18:35:04.185053,176,45.60.251.175,80,10.5.1.30,54776,TCP,1,78,46880555,2075235165
2024-11-04 18:35:04.185171,66,10.5.1.30,54776,45.60.251.175,80,TCP,78,111,2075235333,46880555
2024-11-04 18:35:04.185268,66,45.60.251.175,80,10.5.1.30,54776,TCP,111,78,46880555,2075235165
2024-11-04 18:35:04.185386,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091523353,3448798580
2024-11-04 18:35:04.185933,66,10.5.1.30,54776,45.60.251.175,80,TCP,78,112,2075235334,46880555
