Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:43:05.330081,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141207001,3033118780
2024-11-04 19:43:05.330103,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181453743,2860148615
2024-11-04 19:43:05.330706,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860151963,181453743
2024-11-04 19:43:05.331018,74,10.5.1.30,34192,185.94.239.88,80,TCP,0,0,837267461,0
2024-11-04 19:43:05.372242,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3033123279,141207001
2024-11-04 19:43:05.382459,74,185.94.239.88,80,10.5.1.30,34192,TCP,0,1,2695856493,837267461
2024-11-04 19:43:05.383204,66,10.5.1.30,34192,185.94.239.88,80,TCP,1,1,837267513,2695856493
2024-11-04 19:43:05.383314,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3033123290,141207001
2024-11-04 19:43:05.383827,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,141207055,3033123290
2024-11-04 19:43:05.389353,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,141207060,3033123290
2024-11-04 19:43:05.389663,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3033123296,141207060
2024-11-04 19:43:05.389893,138,10.5.1.30,34192,185.94.239.88,80,TCP,1,1,837267520,2695856493
2024-11-04 19:43:05.437400,66,185.94.239.88,80,10.5.1.30,34192,TCP,1,73,2695856550,837267520
2024-11-04 19:43:05.438156,429,185.94.239.88,80,10.5.1.30,34192,TCP,1,73,2695856550,837267520
2024-11-04 19:43:05.438642,66,10.5.1.30,34192,185.94.239.88,80,TCP,73,364,837267568,2695856550
2024-11-04 19:43:05.439158,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3033123346,141207060
2024-11-04 19:43:05.443324,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,141207114,3033123346
2024-11-04 19:43:05.444289,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3033123351,141207114
2024-11-04 19:43:05.445024,66,10.5.1.30,34192,185.94.239.88,80,TCP,73,364,837267575,2695856550
2024-11-04 19:43:05.497368,66,185.94.239.88,80,10.5.1.30,34192,TCP,364,74,2695856608,837267575
2024-11-04 19:43:05.498115,66,10.5.1.30,34192,185.94.239.88,80,TCP,74,365,837267628,2695856608
2024-11-04 19:43:05.959199,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,181454372,2860151963
2024-11-04 19:43:05.959831,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860152593,181454372
2024-11-04 19:43:05.960424,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860152593,181454372
2024-11-04 19:43:05.960810,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,181454374,2860152593
2024-11-04 19:43:05.966424,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,181454379,2860152593
2024-11-04 19:43:05.966964,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2860152600,181454379
