Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:13:39.158024,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1846000847,3522846283
2024-11-04 19:13:39.158578,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3522851654,1846000847
2024-11-04 19:13:39.158870,74,10.5.1.30,53552,104.79.17.209,80,TCP,0,0,4201822942,0
2024-11-04 19:13:39.215735,74,104.79.17.209,80,10.5.1.30,53552,TCP,0,1,1437979440,4201822942
2024-11-04 19:13:39.216078,66,10.5.1.30,53552,104.79.17.209,80,TCP,1,1,4201822999,1437979440
2024-11-04 19:13:39.216123,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3522851712,1846000847
2024-11-04 19:13:39.219682,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1051,537,1846000908,3522851712
2024-11-04 19:13:39.220087,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1587,3522851716,1846000908
2024-11-04 19:13:39.220414,136,10.5.1.30,53552,104.79.17.209,80,TCP,1,1,4201823003,1437979440
2024-11-04 19:13:39.275618,66,104.79.17.209,80,10.5.1.30,53552,TCP,1,71,1437979499,4201823003
2024-11-04 19:13:39.283395,790,104.79.17.209,80,10.5.1.30,53552,TCP,1,71,1437979507,4201823003
2024-11-04 19:13:39.283685,66,10.5.1.30,53552,104.79.17.209,80,TCP,71,725,4201823066,1437979507
