Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:38:07.848874,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1,1,2396004667,2131096980
2024-10-31 11:38:07.849016,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131107503,2396004667
2024-10-31 11:38:07.849237,74,10.5.1.30,33022,198.246.106.49,80,TCP,0,0,1417594629,0
2024-10-31 11:38:07.987970,70,198.246.106.49,80,10.5.1.30,33022,TCP,0,1,3794234927,1417594629
2024-10-31 11:38:07.988093,66,10.5.1.30,33022,198.246.106.49,80,TCP,1,1,1417594768,3794234927
2024-10-31 11:38:07.988241,602,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131107642,2396004667
2024-10-31 11:38:07.992536,602,10.5.1.10,50846,10.5.1.30,9001,TCP,537,537,2396004811,2131107642
2024-10-31 11:38:07.992618,66,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131107647,2396004811
2024-10-31 11:38:07.992724,137,10.5.1.30,33022,198.246.106.49,80,TCP,1,1,1417594773,3794234927
2024-10-31 11:38:08.130456,66,198.246.106.49,80,10.5.1.30,33022,TCP,1,72,3794235071,1417594773
2024-10-31 11:38:08.132919,186,198.246.106.49,80,10.5.1.30,33022,TCP,1,72,3794235071,1417594773
2024-10-31 11:38:08.132998,66,10.5.1.30,33022,198.246.106.49,80,TCP,72,121,1417594913,3794235071
2024-10-31 11:38:08.133124,602,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131107787,2396004811
2024-10-31 11:38:08.134907,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1073,1073,2396004953,2131107787
2024-10-31 11:38:08.134973,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1073,1609,2131107789,2396004953
2024-10-31 11:38:08.135064,66,10.5.1.30,33022,198.246.106.49,80,TCP,72,121,1417594915,3794235071
2024-10-31 11:38:08.272992,66,198.246.106.49,80,10.5.1.30,33022,TCP,121,73,3794235214,1417594915
2024-10-31 11:38:08.273151,66,198.246.106.49,80,10.5.1.30,33022,TCP,121,73,3794235214,1417594915
2024-10-31 11:38:08.273206,66,10.5.1.30,33022,198.246.106.49,80,TCP,73,122,1417595053,3794235214
2024-10-31 11:38:08.910326,602,10.5.1.30,9001,10.5.1.22,59226,TCP,1,1,899446384,3397476556
2024-10-31 11:38:08.910633,66,10.5.1.22,59226,10.5.1.30,9001,TCP,1,537,3397515214,899446384
2024-10-31 11:38:11.446163,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1609,1073,2396008264,2131107789
2024-10-31 11:38:11.446410,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1073,2145,2131111100,2396008264
2024-10-31 11:38:11.459886,602,10.5.1.21,38516,10.5.1.30,9001,TCP,1,1,2242669425,1878465786
2024-10-31 11:38:11.460040,66,10.5.1.30,9001,10.5.1.21,38516,TCP,1,537,1878526983,2242669425
2024-10-31 11:38:11.460635,602,10.5.1.30,9001,10.5.1.21,38516,TCP,1,537,1878526984,2242669425
2024-10-31 11:38:11.465858,602,10.5.1.21,38516,10.5.1.30,9001,TCP,537,537,2242669431,1878526984
