Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:40:55.629534,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449150193,4091864399
2024-11-04 18:40:55.629902,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091874798,3449150193
2024-11-04 18:40:55.630148,74,10.5.1.30,51480,104.17.88.51,80,TCP,0,0,3626980814,0
2024-11-04 18:40:55.659832,74,104.17.88.51,80,10.5.1.30,51480,TCP,0,1,3349009983,3626980814
2024-11-04 18:40:55.660155,66,10.5.1.30,51480,104.17.88.51,80,TCP,1,1,3626980844,3349009983
2024-11-04 18:40:55.660279,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091874828,3449150193
2024-11-04 18:40:55.662835,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449150227,4091874828
2024-11-04 18:40:55.663047,140,10.5.1.30,51480,104.17.88.51,80,TCP,1,1,3626980847,3349009983
2024-11-04 18:40:55.704689,66,104.17.88.51,80,10.5.1.30,51480,TCP,1,75,3349010020,3626980847
2024-11-04 18:40:55.709268,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091874877,3449150227
2024-11-04 18:40:55.714915,804,104.17.88.51,80,10.5.1.30,51480,TCP,1,75,3349010032,3626980847
2024-11-04 18:40:55.715213,66,10.5.1.30,51480,104.17.88.51,80,TCP,75,739,3626980899,3349010032
2024-11-04 18:40:55.715494,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091874883,3449150227
2024-11-04 18:40:55.718568,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3449150282,4091874883
2024-11-04 18:40:55.718844,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,1609,4091874887,3449150282
2024-11-04 18:40:55.719063,66,10.5.1.30,51480,104.17.88.51,80,TCP,75,739,3626980903,3349010032
2024-11-04 18:40:55.754715,66,104.17.88.51,80,10.5.1.30,51480,TCP,739,76,3349010075,3626980903
2024-11-04 18:40:55.755067,66,10.5.1.30,51480,104.17.88.51,80,TCP,76,740,3626980939,3349010075
2024-11-04 18:40:57.296023,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,137478967,3029368630
2024-11-04 18:40:57.296200,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844038985,3520862222
2024-11-04 18:40:57.296213,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2223386287,3154420100
2024-11-04 18:40:57.296247,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,177725709,2856397366
2024-11-04 18:40:57.296638,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154447664,2223386287
2024-11-04 18:40:57.296919,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520889793,1844038985
2024-11-04 18:40:57.307758,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1587,3449151871,4091874887
2024-11-04 18:40:57.307812,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1844038996,3520889793
2024-11-04 18:40:57.308233,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,2145,4091876476,3449151871
2024-11-04 18:40:57.308321,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520889804,1844038996
2024-11-04 18:40:57.309872,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1844038999,3520889804
2024-11-04 18:40:57.310067,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2223386301,3154447664
2024-11-04 18:40:57.310345,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3520889806,1844038999
2024-11-04 18:40:57.310363,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3154447678,2223386301
2024-11-04 18:40:57.311314,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1,1844039000,3520889806
2024-11-04 18:40:57.311638,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2659,3520889807,1844039000
2024-11-04 18:40:57.312081,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2659,3520889808,1844039000
2024-11-04 18:40:57.314140,1514,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,177725727,2856397366
2024-11-04 18:40:57.314548,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1985,2856423947,177725709
2024-11-04 18:40:57.314754,204,10.5.1.12,55266,10.5.1.30,9001,TCP,1985,1,177725727,2856423947
