Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:01:59.122429,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3454013686,4096727513
2024-11-04 20:01:59.123259,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096738291,3454013686
2024-11-04 20:01:59.123756,74,10.5.1.30,48578,103.193.160.212,80,TCP,0,0,1829247414,0
2024-11-04 20:02:00.138815,74,10.5.1.30,48578,103.193.160.212,80,TCP,0,0,1829248430,0
2024-11-04 20:02:01.152147,74,10.5.1.30,48578,103.193.160.212,80,TCP,0,0,1829249443,0
2024-11-04 20:02:02.165465,74,10.5.1.30,48578,103.193.160.212,80,TCP,0,0,1829250456,0
2024-11-04 20:02:03.178798,74,10.5.1.30,48578,103.193.160.212,80,TCP,0,0,1829251469,0
2024-11-04 20:02:04.064302,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3454018628,4096738291
2024-11-04 20:02:04.064393,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2199000252,2662745872
2024-11-04 20:02:04.064433,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182592477,2861262803
2024-11-04 20:02:04.065509,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4096743233,3454018628
2024-11-04 20:02:04.065872,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662773753,2199000252
2024-11-04 20:02:04.066562,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228253057,3159287243
2024-11-04 20:02:04.066696,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1,3454018630,4096743233
2024-11-04 20:02:04.067474,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159314435,2228253057
2024-11-04 20:02:04.067641,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4096743235,3454018630
2024-11-04 20:02:04.071225,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1,3454018635,4096743235
2024-11-04 20:02:04.072152,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,2145,4096743240,3454018635
2024-11-04 20:02:04.076165,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,1,3454018640,4096743240
2024-11-04 20:02:04.077173,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,2681,4096743245,3454018640
2024-11-04 20:02:04.078496,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,2681,4096743246,3454018640
2024-11-04 20:02:04.083213,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,537,3454018647,4096743246
2024-11-04 20:02:04.084727,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,3217,4096743252,3454018647
2024-11-04 20:02:04.086426,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2228253077,3159314435
2024-11-04 20:02:04.086880,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159314455,2228253077
2024-11-04 20:02:04.087475,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159314455,2228253077
2024-11-04 20:02:04.089246,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,1073,3454018653,4096743252
2024-11-04 20:02:04.090138,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,3753,4096743258,3454018653
2024-11-04 20:02:04.096331,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,1609,3454018660,4096743258
2024-11-04 20:02:04.097124,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,4289,4096743265,3454018660
2024-11-04 20:02:04.099429,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,537,2228253090,3159314455
2024-11-04 20:02:04.099783,602,10.5.1.10,42922,10.5.1.30,9001,TCP,4289,2145,3454018663,4096743265
2024-11-04 20:02:04.099980,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1609,3159314468,2228253090
2024-11-04 20:02:04.108788,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861290742,182592477
2024-11-04 20:02:04.110933,1138,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,182592524,2861290742
2024-11-04 20:02:04.111447,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2861290744,182592524
2024-11-04 20:02:04.112369,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2861290745,182592524
2024-11-04 20:02:04.112879,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2228253104,3159314468
2024-11-04 20:02:04.113002,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,182592526,2861290745
2024-11-04 20:02:04.123118,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,182592536,2861290745
2024-11-04 20:02:04.123882,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2861290757,182592536
2024-11-04 20:02:04.145454,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,4825,4096743313,3454018663
2024-11-04 20:02:04.146354,602,10.5.1.10,42922,10.5.1.30,9001,TCP,4825,2145,3454018710,4096743313
2024-11-04 20:02:04.146992,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,5361,4096743315,3454018710
2024-11-04 20:02:04.155463,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3159314523,2228253104
2024-11-04 20:02:04.168814,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,182592581,2861290757
2024-11-04 20:02:04.168979,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,182592582,2861290757
2024-11-04 20:02:04.195456,74,10.5.1.30,48578,103.193.160.212,80,TCP,0,0,1829252486,0
2024-11-04 20:02:04.215440,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2861290848,182592582
2024-11-04 20:02:04.699111,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2228253690,3159314523
2024-11-04 20:02:04.699233,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,142346370,3034234074
2024-11-04 20:02:04.699233,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848906388,3525729371
2024-11-04 20:02:04.700587,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525757196,1848906388
2024-11-04 20:02:04.700587,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3159315068,2228253690
2024-11-04 20:02:04.701453,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,1073,2228253692,3159315068
2024-11-04 20:02:04.701460,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1073,182593114,2861290848
2024-11-04 20:02:04.702240,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2861291335,182593114
2024-11-04 20:02:04.702378,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3159315070,2228253692
2024-11-04 20:02:04.705833,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,1073,2228253697,3159315070
2024-11-04 20:02:04.706668,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3753,3159315074,2228253697
2024-11-04 20:02:04.707772,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3753,3159315075,2228253697
2024-11-04 20:02:04.709724,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,1073,182593122,2861291335
2024-11-04 20:02:04.710144,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1848906399,3525757196
2024-11-04 20:02:04.710171,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3753,2861291343,182593122
2024-11-04 20:02:04.711000,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3525757207,1848906399
2024-11-04 20:02:04.711764,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3753,2861291344,182593122
2024-11-04 20:02:04.712661,66,10.5.1.12,55266,10.5.1.30,9001,TCP,3753,1609,182593125,2861291344
2024-11-04 20:02:04.715501,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3525757211,1848906399
2024-11-04 20:02:04.716180,1514,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,142346387,3034234074
2024-11-04 20:02:04.716280,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3753,1609,2228253707,3159315075
2024-11-04 20:02:04.717145,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1985,3034262624,142346370
2024-11-04 20:02:04.717728,226,10.5.1.11,42168,10.5.1.30,9001,TCP,1985,1,142346388,3034262624
2024-11-04 20:02:04.718857,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,2145,3034262626,142346388
2024-11-04 20:02:04.719519,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3753,1609,182593132,2861291344
2024-11-04 20:02:04.719601,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,537,142346390,3034262626
2024-11-04 20:02:04.720427,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,4289,3159315088,2228253707
2024-11-04 20:02:04.721377,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1848906410,3525757211
2024-11-04 20:02:04.722409,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,4289,2861291355,182593132
2024-11-04 20:02:04.723242,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,2145,3034262630,142346390
2024-11-04 20:02:04.724187,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1073,142346395,3034262630
2024-11-04 20:02:04.724993,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3525757221,1848906410
2024-11-04 20:02:04.729117,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1073,142346400,3034262630
2024-11-04 20:02:04.729769,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4289,2145,2228253720,3159315088
2024-11-04 20:02:04.729807,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1848906419,3525757221
2024-11-04 20:02:04.730258,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,3195,3034262637,142346400
2024-11-04 20:02:04.732368,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4289,2145,182593145,2861291355
2024-11-04 20:02:04.772120,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,4825,3159315140,2228253720
2024-11-04 20:02:04.772134,66,10.5.1.11,42168,10.5.1.30,9001,TCP,3195,2123,142346443,3034262637
2024-11-04 20:02:04.772884,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4825,2145,2228253764,3159315140
2024-11-04 20:02:04.773334,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5361,3159315141,2228253764
2024-11-04 20:02:04.774027,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,5361,3159315142,2228253764
2024-11-04 20:02:04.774998,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3195,2123,142346446,3034262637
2024-11-04 20:02:04.775442,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3525757271,1848906419
2024-11-04 20:02:04.775447,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,4825,2861291408,182593145
2024-11-04 20:02:04.779167,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5361,2681,2228253770,3159315142
2024-11-04 20:02:04.779723,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2681,5897,3159315147,2228253770
2024-11-04 20:02:04.789468,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5897,3217,2228253780,3159315147
2024-11-04 20:02:04.822117,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,3731,3034262729,142346446
2024-11-04 20:02:04.822822,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3731,2123,142346494,3034262729
2024-11-04 20:02:04.823429,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,4267,3034262730,142346494
2024-11-04 20:02:04.835442,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,6433,3159315203,2228253780
2024-11-04 20:02:05.406612,602,10.5.1.11,42168,10.5.1.30,9001,TCP,4267,2123,142347077,3034262730
2024-11-04 20:02:05.406701,602,10.5.1.10,42922,10.5.1.30,9001,TCP,5361,2145,3454019970,4096743315
2024-11-04 20:02:05.406731,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1848907095,3525757271
2024-11-04 20:02:05.406828,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4825,2145,182593820,2861291408
2024-11-04 20:02:05.407888,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,5897,4096744576,3454019970
2024-11-04 20:02:05.407888,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,4803,3034263315,142347077
2024-11-04 20:02:05.407888,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,5361,2861292041,182593820
2024-11-04 20:02:05.407889,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3525757904,1848907095
2024-11-04 20:02:05.408551,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1848907097,3525757904
2024-11-04 20:02:05.409285,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3525757905,1848907097
2024-11-04 20:02:05.412157,602,10.5.1.10,42922,10.5.1.30,9001,TCP,5897,2145,3454019976,4096744576
2024-11-04 20:02:05.413064,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,6433,4096744581,3454019976
2024-11-04 20:02:05.415525,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,5361,2145,182593828,2861292041
2024-11-04 20:02:05.416338,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,6411,2861292049,182593828
2024-11-04 20:02:05.417700,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,6411,2861292050,182593828
2024-11-04 20:02:05.418622,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2199001606,2662773753
2024-11-04 20:02:05.418663,602,10.5.1.10,42922,10.5.1.30,9001,TCP,6433,2145,3454019982,4096744581
2024-11-04 20:02:05.419507,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,6969,4096744587,3454019982
2024-11-04 20:02:05.419558,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2662775106,2199001606
2024-11-04 20:02:05.419783,602,10.5.1.12,55266,10.5.1.30,9001,TCP,6411,2681,182593832,2861292050
2024-11-04 20:02:05.420736,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2681,6947,2861292053,182593832
2024-11-04 20:02:05.421756,602,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,6969,4096744589,3454019982
2024-11-04 20:02:05.422630,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1,2199001610,2662775106
2024-11-04 20:02:05.422693,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2662775109,2199001606
2024-11-04 20:02:05.426155,602,10.5.1.12,55266,10.5.1.30,9001,TCP,6947,3217,182593839,2861292053
2024-11-04 20:02:05.426986,602,10.5.1.30,9001,10.5.1.12,55266,TCP,3217,7483,2861292060,182593839
2024-11-04 20:02:05.432767,602,10.5.1.12,55266,10.5.1.30,9001,TCP,7483,3753,182593845,2861292060
2024-11-04 20:02:05.433517,602,10.5.1.30,9001,10.5.1.12,55266,TCP,3753,8019,2861292066,182593845
2024-11-04 20:02:05.435518,602,10.5.1.10,42922,10.5.1.30,9001,TCP,6969,2681,3454019999,4096744589
2024-11-04 20:02:05.435754,602,10.5.1.12,55266,10.5.1.30,9001,TCP,8019,4289,182593848,2861292066
2024-11-04 20:02:05.436454,602,10.5.1.30,9001,10.5.1.10,42922,TCP,2681,7505,4096744604,3454019999
2024-11-04 20:02:05.436557,602,10.5.1.30,9001,10.5.1.12,55266,TCP,4289,8555,2861292069,182593848
2024-11-04 20:02:05.439158,602,10.5.1.12,55266,10.5.1.30,9001,TCP,8555,4825,182593852,2861292069
2024-11-04 20:02:05.440010,602,10.5.1.30,9001,10.5.1.12,55266,TCP,4825,9091,2861292073,182593852
2024-11-04 20:02:05.442492,602,10.5.1.10,42922,10.5.1.30,9001,TCP,7505,3217,3454020006,4096744604
2024-11-04 20:02:05.450233,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1073,1848907139,3525757905
2024-11-04 20:02:05.450331,602,10.5.1.20,56104,10.5.1.30,9001,TCP,6433,3217,2228254441,3159315203
2024-11-04 20:02:05.451264,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,6969,3159315819,2228254441
2024-11-04 20:02:05.451266,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3753,3525757947,1848907139
2024-11-04 20:02:05.452980,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,9091,5361,182593866,2861292073
2024-11-04 20:02:05.458042,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3753,1073,1848907147,3525757947
2024-11-04 20:02:05.458810,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,4289,3525757955,1848907147
2024-11-04 20:02:05.459944,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,4289,3525757956,1848907147
2024-11-04 20:02:05.462754,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,6969,3217,2228254453,3159315819
2024-11-04 20:02:05.463783,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,8019,3159315831,2228254453
2024-11-04 20:02:05.464969,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,8019,3159315833,2228254453
2024-11-04 20:02:05.465452,66,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1609,2662775152,2199001610
2024-11-04 20:02:05.466257,66,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,537,2199001654,2662775109
2024-11-04 20:02:05.466748,602,10.5.1.20,56104,10.5.1.30,9001,TCP,8019,4267,2228254457,3159315833
2024-11-04 20:02:05.466832,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4289,1609,1848907156,3525757956
2024-11-04 20:02:05.467041,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1609,2662775154,2199001654
2024-11-04 20:02:05.467738,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,4825,3525757963,1848907156
2024-11-04 20:02:05.467931,1138,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,537,2199001654,2662775152
2024-11-04 20:02:05.468914,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2681,2662775156,2199001654
2024-11-04 20:02:05.469661,66,10.5.1.23,40268,10.5.1.30,9001,TCP,2681,1073,2199001657,2662775154
2024-11-04 20:02:05.469675,1514,10.5.1.10,42922,10.5.1.30,9001,TCP,8041,3217,3454020033,4096744604
2024-11-04 20:02:05.469782,602,10.5.1.30,9001,10.5.1.20,56104,TCP,4267,8555,3159315837,2228254457
2024-11-04 20:02:05.470399,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2681,2662775157,2199001657
2024-11-04 20:02:05.470705,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,8555,4803,2228254461,3159315837
2024-11-04 20:02:05.471277,66,10.5.1.23,40268,10.5.1.30,9001,TCP,2681,1609,2199001659,2662775157
2024-11-04 20:02:05.471756,66,10.5.1.30,9001,10.5.1.10,42922,TCP,3217,9489,4096744639,3454020006
2024-11-04 20:02:05.472494,718,10.5.1.10,42922,10.5.1.30,9001,TCP,9489,3217,3454020036,4096744639
2024-11-04 20:02:05.473617,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,4803,9605,3159315841,2228254461
2024-11-04 20:02:05.473698,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4825,2145,1848907162,3525757963
2024-11-04 20:02:05.475796,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,3217,10141,4096744644,3454020036
