Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:07:42.053434,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139083724,3030989534
2024-11-04 19:07:42.054289,74,10.5.1.30,49036,202.102.90.114,80,TCP,0,0,3601415606,0
2024-11-04 19:07:42.095781,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031000002,139083724
2024-11-04 19:07:42.256018,74,202.102.90.114,80,10.5.1.30,49036,TCP,0,1,932057497,3601415606
2024-11-04 19:07:42.256514,66,10.5.1.30,49036,202.102.90.114,80,TCP,1,1,3601415808,932057497
2024-11-04 19:07:42.256704,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031000163,139083724
2024-11-04 19:07:42.257328,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139083928,3031000163
2024-11-04 19:07:42.262766,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139083933,3031000163
2024-11-04 19:07:42.263245,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031000170,139083933
2024-11-04 19:07:42.263767,139,10.5.1.30,49036,202.102.90.114,80,TCP,1,1,3601415815,932057497
2024-11-04 19:07:42.465919,66,202.102.90.114,80,10.5.1.30,49036,TCP,1,74,932057705,3601415815
2024-11-04 19:07:42.466386,376,202.102.90.114,80,10.5.1.30,49036,TCP,1,74,932057705,3601415815
2024-11-04 19:07:42.466586,66,10.5.1.30,49036,202.102.90.114,80,TCP,74,311,3601416018,932057705
2024-11-04 19:07:42.466887,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031000374,139083933
2024-11-04 19:07:42.470432,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,139084141,3031000374
2024-11-04 19:07:42.470688,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3031000377,139084141
2024-11-04 19:07:42.470918,66,10.5.1.30,49036,202.102.90.114,80,TCP,74,311,3601416023,932057705
2024-11-04 19:07:42.670970,66,202.102.90.114,80,10.5.1.30,49036,TCP,311,75,932057909,3601416023
