Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:50:11.886710,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453306450,4096030307
2024-11-04 19:50:11.887513,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096031055,3453306450
2024-11-04 19:50:11.888078,74,10.5.1.30,51240,72.163.4.185,80,TCP,0,0,242934531,0
2024-11-04 19:50:12.060157,66,72.163.4.185,80,10.5.1.30,51240,TCP,0,1,,
2024-11-04 19:50:12.060884,54,10.5.1.30,51240,72.163.4.185,80,TCP,1,1,,
2024-11-04 19:50:12.061016,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096031229,3453306450
2024-11-04 19:50:12.065790,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453306629,4096031229
2024-11-04 19:50:12.066393,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096031234,3453306629
2024-11-04 19:50:12.066877,127,10.5.1.30,51240,72.163.4.185,80,TCP,1,1,,
2024-11-04 19:50:12.227707,180,72.163.4.185,80,10.5.1.30,51240,TCP,1,74,,
2024-11-04 19:50:12.228609,54,10.5.1.30,51240,72.163.4.185,80,TCP,74,128,,
2024-11-04 19:50:12.229200,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096031397,3453306629
2024-11-04 19:50:12.272217,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3453306836,4096031397
2024-11-04 19:50:12.387663,54,72.163.4.185,80,10.5.1.30,51240,TCP,128,75,,
2024-11-04 19:50:12.542487,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181880955,2860577832
2024-11-04 19:50:12.542598,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3453307106,4096031397
2024-11-04 19:50:12.542736,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848194231,3525043768
2024-11-04 19:50:12.543460,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860579176,181880955
2024-11-04 19:50:12.543460,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,1609,4096031711,3453307106
2024-11-04 19:50:12.543754,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525045039,1848194231
2024-11-04 19:50:12.545743,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,181880958,2860579176
2024-11-04 19:50:12.546376,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860579179,181880958
2024-11-04 19:50:12.549382,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1587,3453307113,4096031711
2024-11-04 19:50:12.549531,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198288737,2662060882
2024-11-04 19:50:12.549978,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,2145,4096031718,3453307113
2024-11-04 19:50:12.550476,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662062237,2198288737
2024-11-04 19:50:12.551428,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662062238,2198288737
2024-11-04 19:50:12.553177,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,181880966,2860579179
2024-11-04 19:50:12.553249,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1848194242,3525045039
