Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:28:00.916275,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1846862605,3523713399
2024-11-04 19:28:00.941663,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2196957129,2660730556
2024-11-04 19:28:00.942294,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2660730629,2196957129
2024-11-04 19:28:00.946480,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180549359,2859246972
2024-11-04 19:28:00.947079,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2859247580,180549359
2024-11-04 19:28:00.948983,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1,3157271317,2226209897
2024-11-04 19:28:00.949336,1138,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2226209940,3157271317
2024-11-04 19:28:00.949758,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3157271317,2226209940
2024-11-04 19:28:00.952331,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140302623,3032218817
2024-11-04 19:28:00.953208,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3451975517,4094699435
2024-11-04 19:28:00.953482,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094700121,3451975517
2024-11-04 19:28:00.954073,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094700122,3451975517
2024-11-04 19:28:00.955790,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140302626,3032218817
2024-11-04 19:28:00.955838,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,180549369,2859247580
2024-11-04 19:28:00.955875,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2226209947,3157271317
2024-11-04 19:28:00.956251,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2859247589,180549369
2024-11-04 19:28:00.956338,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3157271324,2226209947
2024-11-04 19:28:00.956825,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3157271325,2226209947
2024-11-04 19:28:00.958983,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3523713455,1846862605
2024-11-04 19:28:00.966043,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3451975530,4094700122
2024-11-04 19:28:00.966446,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4094700134,3451975530
2024-11-04 19:28:00.966566,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,537,2226209957,3157271325
2024-11-04 19:28:00.968991,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2145,3157271337,2226209957
2024-11-04 19:28:00.976382,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3451975540,4094700134
2024-11-04 19:28:00.979567,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2226209970,3157271337
2024-11-04 19:28:00.998984,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032218906,140302626
2024-11-04 19:28:00.999461,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,140302670,3032218906
2024-11-04 19:28:00.999907,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3032218907,140302670
2024-11-04 19:28:01.000311,74,10.5.1.30,42978,135.125.218.76,80,TCP,0,0,1882008507,0
2024-11-04 19:28:01.018980,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4094700187,3451975540
2024-11-04 19:28:01.022322,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3157271390,2226209970
2024-11-04 19:28:01.050432,74,135.125.218.76,80,10.5.1.30,42978,TCP,0,1,4254712754,1882008507
2024-11-04 19:28:01.050653,66,10.5.1.30,42978,135.125.218.76,80,TCP,1,1,1882008557,4254712754
2024-11-04 19:28:01.050701,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3032218957,140302670
2024-11-04 19:28:01.051000,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,140302722,3032218957
2024-11-04 19:28:01.053339,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,140302724,3032218957
2024-11-04 19:28:01.053949,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3032218961,140302724
2024-11-04 19:28:01.054417,146,10.5.1.30,42978,135.125.218.76,80,TCP,1,1,1882008561,4254712754
2024-11-04 19:28:01.097795,66,135.125.218.76,80,10.5.1.30,42978,TCP,1,81,4254712809,1882008561
2024-11-04 19:28:01.098390,441,135.125.218.76,80,10.5.1.30,42978,TCP,1,81,4254712809,1882008561
2024-11-04 19:28:01.098824,66,10.5.1.30,42978,135.125.218.76,80,TCP,81,376,1882008606,4254712809
2024-11-04 19:28:01.099239,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3032219006,140302724
