Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:19:16.682816,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134079917,3961102133
2024-11-04 12:19:16.682855,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1184972816,1185511598
2024-11-04 12:19:16.682896,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,361340228,2476513088
2024-11-04 12:19:16.683169,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2476514770,361340228
2024-11-04 12:19:16.683169,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185513267,1184972816
2024-11-04 12:19:16.683169,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961132292,3134079917
2024-11-04 12:19:16.683408,74,10.5.1.30,41268,163.171.138.115,80,TCP,0,0,2261962074,0
2024-11-04 12:19:16.714490,66,163.171.138.115,80,10.5.1.30,41268,TCP,0,1,,
2024-11-04 12:19:16.714810,54,10.5.1.30,41268,163.171.138.115,80,TCP,1,1,,
2024-11-04 12:19:16.714977,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961132324,3134079917
2024-11-04 12:19:16.717629,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134079952,3961132324
2024-11-04 12:19:16.718046,125,10.5.1.30,41268,163.171.138.115,80,TCP,1,1,,
2024-11-04 12:19:16.760692,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961132370,3134079952
2024-11-04 12:19:16.777863,466,163.171.138.115,80,10.5.1.30,41268,TCP,1,72,,
2024-11-04 12:19:16.778115,54,10.5.1.30,41268,163.171.138.115,80,TCP,72,413,,
2024-11-04 12:19:16.778228,222,163.171.138.115,80,10.5.1.30,41268,TCP,413,72,,
2024-11-04 12:19:16.778292,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961132387,3134079952
2024-11-04 12:19:16.778332,54,10.5.1.30,41268,163.171.138.115,80,TCP,72,581,,
2024-11-04 12:19:16.820745,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1073,3134080055,3961132387
2024-11-04 12:19:16.821007,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1073,3961132430,3134080055
2024-11-04 12:19:16.821146,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1609,3134080055,3961132430
2024-11-04 12:19:16.914123,59,163.171.138.115,80,10.5.1.30,41268,TCP,581,72,,
2024-11-04 12:19:16.914518,54,10.5.1.30,41268,163.171.138.115,80,TCP,72,586,,
2024-11-04 12:19:16.914802,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1609,1073,3961132524,3134080055
2024-11-04 12:19:16.915276,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,2145,3134080149,3961132524
2024-11-04 12:19:16.915365,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4286655865,585799706
2024-11-04 12:19:16.915470,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,361340460,2476514770
2024-11-04 12:19:16.915636,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,585801105,4286655865
2024-11-04 12:19:16.915702,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2476515003,361340460
2024-11-04 12:19:16.917438,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,2145,3134080151,3961132524
2024-11-04 12:19:16.917656,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2145,1609,3961132527,3134080151
2024-11-04 12:19:16.917937,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,2145,3134080152,3961132527
2024-11-04 12:19:16.918101,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2145,2145,3961132527,3134080152
2024-11-04 12:19:16.918237,54,10.5.1.30,41268,163.171.138.115,80,TCP,72,586,,
2024-11-04 12:19:16.952701,54,163.171.138.115,80,10.5.1.30,41268,TCP,586,73,,
2024-11-04 12:19:16.953074,54,10.5.1.30,41268,163.171.138.115,80,TCP,73,587,,
2024-11-04 12:19:17.333137,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005013935,2444598362
2024-11-04 12:19:17.333583,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444600692,3005013935
2024-11-04 12:19:17.334130,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444600692,3005013935
2024-11-04 12:19:17.341121,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005013943,2444600692
2024-11-04 12:19:17.341604,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2444600700,3005013943
2024-11-04 12:19:17.348155,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3005013950,2444600700
2024-11-04 12:19:17.394064,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2444600752,3005013950
2024-11-04 12:19:17.440724,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1,361340986,2476515003
2024-11-04 12:19:17.440804,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1996604922,3729391911
2024-11-04 12:19:17.440854,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2145,2145,3134080675,3961132527
2024-11-04 12:19:17.441107,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1609,2476515528,361340986
2024-11-04 12:19:17.441109,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3729393818,1996604922
2024-11-04 12:19:17.441199,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2145,2681,3961133050,3134080675
2024-11-04 12:19:17.442482,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1,361340987,2476515528
2024-11-04 12:19:17.442721,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,2145,2476515530,361340987
2024-11-04 12:19:17.445176,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2681,2145,3134080679,3961133050
2024-11-04 12:19:17.445505,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2145,3217,3961133054,3134080679
2024-11-04 12:19:17.448056,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4286656398,585801105
2024-11-04 12:19:17.448230,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,585801637,4286656398
2024-11-04 12:19:17.448553,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,585801638,4286656398
