Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:19:27.272816,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134090507,3961133136
2024-11-04 12:19:27.273202,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961142882,3134090507
2024-11-04 12:19:27.273476,74,10.5.1.30,35176,59.82.60.44,80,TCP,0,0,3932778092,0
2024-11-04 12:19:27.466333,66,59.82.60.44,80,10.5.1.30,35176,TCP,0,1,,
2024-11-04 12:19:27.466583,54,10.5.1.30,35176,59.82.60.44,80,TCP,1,1,,
2024-11-04 12:19:27.466717,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961143076,3134090507
2024-11-04 12:19:27.471008,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134090705,3961143076
2024-11-04 12:19:27.471232,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961143080,3134090705
2024-11-04 12:19:27.471385,126,10.5.1.30,35176,59.82.60.44,80,TCP,1,1,,
2024-11-04 12:19:27.666244,54,59.82.60.44,80,10.5.1.30,35176,TCP,1,73,,
2024-11-04 12:19:27.666494,516,59.82.60.44,80,10.5.1.30,35176,TCP,1,73,,
2024-11-04 12:19:27.666615,54,10.5.1.30,35176,59.82.60.44,80,TCP,73,463,,
2024-11-04 12:19:27.666792,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961143276,3134090705
