Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:51:35.194980,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1841076884,3517917395
2024-11-04 17:51:35.195204,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517927691,1841076884
2024-11-04 17:51:35.195376,74,10.5.1.30,57240,185.53.36.36,80,TCP,0,0,83827569,0
2024-11-04 17:51:35.223195,58,185.53.36.36,80,10.5.1.30,57240,TCP,0,1,,
2024-11-04 17:51:35.223419,54,10.5.1.30,57240,185.53.36.36,80,TCP,1,1,,
2024-11-04 17:51:35.223548,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517927719,1841076884
2024-11-04 17:51:35.226639,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1841076915,3517927719
2024-11-04 17:51:35.226810,129,10.5.1.30,57240,185.53.36.36,80,TCP,1,1,,
2024-11-04 17:51:35.263046,54,185.53.36.36,80,10.5.1.30,57240,TCP,1,76,,
2024-11-04 17:51:35.263331,54,185.53.36.36,80,10.5.1.30,57240,TCP,1,76,,
2024-11-04 17:51:35.263416,665,185.53.36.36,80,10.5.1.30,57240,TCP,1,76,,
2024-11-04 17:51:35.263535,54,10.5.1.30,57240,185.53.36.36,80,TCP,76,612,,
2024-11-04 17:51:35.263734,1116,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517927759,1841076915
2024-11-04 17:51:35.267306,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1587,1841076956,3517927759
2024-11-04 17:51:35.267590,54,10.5.1.30,57240,185.53.36.36,80,TCP,76,612,,
2024-11-04 17:51:35.308694,54,185.53.36.36,80,10.5.1.30,57240,TCP,612,77,,
2024-11-04 17:51:35.308930,54,10.5.1.30,57240,185.53.36.36,80,TCP,77,613,,
2024-11-04 17:51:35.309561,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,1609,3517927805,1841076956
2024-11-04 17:51:38.157398,74,10.5.1.30,35752,10.5.1.11,80,TCP,0,0,3026436064,0
2024-11-04 17:51:38.157627,74,10.5.1.11,80,10.5.1.30,35752,TCP,0,1,134519828,3026436064
2024-11-04 17:51:38.157712,66,10.5.1.30,35752,10.5.1.11,80,TCP,1,1,3026436064,134519828
2024-11-04 17:51:38.157871,361,10.5.1.30,35752,10.5.1.11,80,TCP,1,1,3026436065,134519828
2024-11-04 17:51:38.158022,66,10.5.1.11,80,10.5.1.30,35752,TCP,1,296,134519829,3026436065
2024-11-04 17:51:38.158073,132,10.5.1.11,80,10.5.1.30,35752,TCP,1,296,134519829,3026436065
2024-11-04 17:51:38.158193,66,10.5.1.30,35752,10.5.1.11,80,TCP,296,67,3026436065,134519829
2024-11-04 17:51:38.158321,66,10.5.1.11,80,10.5.1.30,35752,TCP,67,296,134519829,3026436065
2024-11-04 17:51:38.158459,66,10.5.1.30,35752,10.5.1.11,80,TCP,296,68,3026436065,134519829
2024-11-04 17:51:38.158580,66,10.5.1.11,80,10.5.1.30,35752,TCP,68,297,134519829,3026436065
2024-11-04 17:51:43.164068,74,10.5.1.30,49720,10.5.1.12,80,TCP,0,0,2853469797,0
2024-11-04 17:51:43.164363,74,10.5.1.12,80,10.5.1.30,49720,TCP,0,1,174771577,2853469797
2024-11-04 17:51:43.164468,66,10.5.1.30,49720,10.5.1.12,80,TCP,1,1,2853469797,174771577
2024-11-04 17:51:43.164692,361,10.5.1.30,49720,10.5.1.12,80,TCP,1,1,2853469797,174771577
2024-11-04 17:51:43.164841,66,10.5.1.12,80,10.5.1.30,49720,TCP,1,296,174771578,2853469797
2024-11-04 17:51:43.164905,132,10.5.1.12,80,10.5.1.30,49720,TCP,1,296,174771578,2853469797
2024-11-04 17:51:43.165045,66,10.5.1.30,49720,10.5.1.12,80,TCP,296,67,2853469798,174771578
2024-11-04 17:51:43.165169,66,10.5.1.12,80,10.5.1.30,49720,TCP,67,296,174771578,2853469798
2024-11-04 17:51:43.165304,66,10.5.1.30,49720,10.5.1.12,80,TCP,296,68,2853469798,174771578
2024-11-04 17:51:43.165435,66,10.5.1.12,80,10.5.1.30,49720,TCP,68,297,174771578,2853469798
2024-11-04 17:51:45.167533,74,10.5.1.30,39096,10.5.1.11,80,TCP,0,0,3026443074,0
