Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:06:00.750159,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182829163,2861517019
2024-11-04 20:06:00.750793,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861527384,182829163
2024-11-04 20:06:00.751155,74,10.5.1.30,44326,13.226.244.37,80,TCP,0,0,3855669691,0
2024-11-04 20:06:00.798030,74,13.226.244.37,80,10.5.1.30,44326,TCP,0,1,55176747,3855669691
2024-11-04 20:06:00.798659,66,10.5.1.30,44326,13.226.244.37,80,TCP,1,1,3855669738,55176747
2024-11-04 20:06:00.798714,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861527431,182829163
2024-11-04 20:06:00.802671,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,182829215,2861527431
2024-11-04 20:06:00.803482,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861527436,182829215
2024-11-04 20:06:00.804136,141,10.5.1.30,44326,13.226.244.37,80,TCP,1,1,3855669744,55176747
2024-11-04 20:06:00.842885,66,13.226.244.37,80,10.5.1.30,44326,TCP,1,76,55176800,3855669744
2024-11-04 20:06:00.868099,627,13.226.244.37,80,10.5.1.30,44326,TCP,1,76,55176800,3855669744
2024-11-04 20:06:00.868825,66,10.5.1.30,44326,13.226.244.37,80,TCP,76,562,3855669809,55176800
