Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:08:47.115781,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3031065022,139148744
2024-11-04 19:08:48.089128,74,10.5.1.30,43438,74.117.206.70,80,TCP,0,0,2869864648,0
2024-11-04 19:08:49.099111,74,10.5.1.30,43438,74.117.206.70,80,TCP,0,0,2869865658,0
2024-11-04 19:08:50.112471,74,10.5.1.30,43438,74.117.206.70,80,TCP,0,0,2869866671,0
2024-11-04 19:08:51.125787,74,10.5.1.30,43438,74.117.206.70,80,TCP,0,0,2869867684,0
2024-11-04 19:08:51.166882,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225060158,3156094003
2024-11-04 19:08:51.167635,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3156121535,2225060158
2024-11-04 19:08:51.170138,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,179399583,2858070233
2024-11-04 19:08:51.170156,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139152841,3031065022
2024-11-04 19:08:51.170688,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031069077,139152841
2024-11-04 19:08:51.172800,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,139152843,3031069077
2024-11-04 19:08:51.173203,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3031069080,139152843
2024-11-04 19:08:51.173729,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3031069080,139152843
2024-11-04 19:08:51.174007,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,139152845,3031069080
2024-11-04 19:08:51.176275,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,139152847,3031069080
2024-11-04 19:08:51.176909,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3031069084,139152847
2024-11-04 19:08:51.179457,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2225060170,3156121535
2024-11-04 19:08:51.179811,1514,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,179399593,2858070233
2024-11-04 19:08:51.179813,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1587,3156121548,2225060170
2024-11-04 19:08:51.180216,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1985,2858097813,179399583
2024-11-04 19:08:51.180450,182,10.5.1.12,55266,10.5.1.30,9001,TCP,1985,1,179399593,2858097813
2024-11-04 19:08:51.180461,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1587,3156121548,2225060170
2024-11-04 19:08:51.182931,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,139152854,3031069084
2024-11-04 19:08:51.183267,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1,2101,2858097816,179399593
2024-11-04 19:08:51.183618,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2101,1051,179399596,2858097816
2024-11-04 19:08:51.183838,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2659,3031069091,139152854
2024-11-04 19:08:51.189589,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1587,537,2225060180,3156121548
2024-11-04 19:08:51.189621,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2659,2123,139152860,3031069091
2024-11-04 19:08:51.189924,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2123,3156121558,2225060180
2024-11-04 19:08:51.193232,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,2101,1051,179399606,2858097816
2024-11-04 19:08:51.193591,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1051,3151,2858097826,179399606
2024-11-04 19:08:51.202717,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3151,2101,179399615,2858097826
2024-11-04 19:08:51.202795,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2123,1073,2225060193,3156121558
2024-11-04 19:08:51.203359,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2659,3156121571,2225060193
2024-11-04 19:08:51.209325,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2659,1609,2225060200,3156121571
2024-11-04 19:08:51.209743,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,3195,3156121577,2225060200
2024-11-04 19:08:51.216806,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3195,2145,2225060208,3156121577
2024-11-04 19:08:51.235764,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,3195,3031069142,139152860
2024-11-04 19:08:51.236095,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3195,2123,139152907,3031069142
2024-11-04 19:08:51.236341,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,3731,3031069143,139152907
2024-11-04 19:08:51.249094,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,4201,2858097882,179399615
2024-11-04 19:08:51.259095,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,3731,3156121627,2225060208
2024-11-04 19:08:51.999693,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3450826563,4093522669
2024-11-04 19:08:51.999741,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3731,2145,2225060990,3156121627
2024-11-04 19:08:51.999747,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4201,2101,179400412,2858097882
2024-11-04 19:08:52.000343,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,4267,3156122368,2225060990
2024-11-04 19:08:52.000343,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4093551168,3450826563
2024-11-04 19:08:52.000346,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,4737,2858098633,179400412
2024-11-04 19:08:52.006967,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4737,2101,179400420,2858098633
2024-11-04 19:08:52.007464,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,5273,2858098640,179400420
2024-11-04 19:08:52.009319,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1845713698,3522536061
2024-11-04 19:08:52.009597,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3522564505,1845713698
2024-11-04 19:08:52.010438,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3522564506,1845713698
2024-11-04 19:08:52.012517,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4267,2145,2225061003,3156122368
2024-11-04 19:08:52.012603,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2195808200,2659553282
2024-11-04 19:08:52.012612,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1845713701,3522564506
2024-11-04 19:08:52.012626,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,5273,2101,179400425,2858098640
2024-11-04 19:08:52.013014,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,4803,3156122381,2225061003
2024-11-04 19:08:52.013125,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2659581700,2195808200
2024-11-04 19:08:52.013217,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,6323,2858098646,179400425
2024-11-04 19:08:52.013834,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,6323,2858098647,179400425
2024-11-04 19:08:52.016396,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2659581703,2195808200
2024-11-04 19:08:52.016857,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3522564513,1845713701
