Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:05:08.538396,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360492083,2475656302
2024-11-04 12:05:08.538561,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475666626,360492083
2024-11-04 12:05:08.538764,74,10.5.1.30,47544,23.32.220.210,80,TCP,0,0,2423442472,0
2024-11-04 12:05:08.566868,74,23.32.220.210,80,10.5.1.30,47544,TCP,0,1,3628528805,2423442472
2024-11-04 12:05:08.567041,66,10.5.1.30,47544,23.32.220.210,80,TCP,1,1,2423442500,3628528805
2024-11-04 12:05:08.567167,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475666654,360492083
2024-11-04 12:05:08.571325,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360492116,2475666654
2024-11-04 12:05:08.571456,145,10.5.1.30,47544,23.32.220.210,80,TCP,1,1,2423442504,3628528805
2024-11-04 12:05:08.598688,66,23.32.220.210,80,10.5.1.30,47544,TCP,1,80,3628528838,2423442504
2024-11-04 12:05:08.614099,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475666701,360492116
2024-11-04 12:05:08.621354,256,23.32.220.210,80,10.5.1.30,47544,TCP,1,80,3628528854,2423442504
2024-11-04 12:05:08.621553,66,10.5.1.30,47544,23.32.220.210,80,TCP,80,191,2423442555,3628528854
2024-11-04 12:05:08.621754,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475666709,360492116
