Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:55:20.798772,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453615362,4096329609
2024-11-04 19:55:20.799840,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096339968,3453615362
2024-11-04 19:55:20.800552,74,10.5.1.30,38414,13.226.244.20,80,TCP,0,0,2147014121,0
2024-11-04 19:55:20.825379,74,13.226.244.20,80,10.5.1.30,38414,TCP,0,1,3607248369,2147014121
2024-11-04 19:55:20.825895,66,10.5.1.30,38414,13.226.244.20,80,TCP,1,1,2147014147,3607248369
2024-11-04 19:55:20.825973,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096339994,3453615362
2024-11-04 19:55:20.829297,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453615393,4096339994
2024-11-04 19:55:20.829900,140,10.5.1.30,38414,13.226.244.20,80,TCP,1,1,2147014151,3607248369
2024-11-04 19:55:20.858012,66,13.226.244.20,80,10.5.1.30,38414,TCP,1,75,3607248402,2147014151
2024-11-04 19:55:20.858304,626,13.226.244.20,80,10.5.1.30,38414,TCP,1,75,3607248402,2147014151
2024-11-04 19:55:20.858631,66,10.5.1.30,38414,13.226.244.20,80,TCP,75,561,2147014179,3607248402
2024-11-04 19:55:20.858920,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096340027,3453615393
2024-11-04 19:55:20.863090,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3453615427,4096340027
2024-11-04 19:55:20.863847,66,10.5.1.30,38414,13.226.244.20,80,TCP,75,561,2147014185,3607248402
2024-11-04 19:55:20.882716,66,13.226.244.20,80,10.5.1.30,38414,TCP,561,76,3607248434,2147014185
2024-11-04 19:55:20.883102,66,10.5.1.30,38414,13.226.244.20,80,TCP,76,562,2147014204,3607248434
2024-11-04 19:55:20.905483,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,1609,4096340073,3453615427
