Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:33:39.615777,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005876218,2445452584
2024-11-04 12:33:39.616048,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445462974,3005876218
2024-11-04 12:33:39.616232,74,10.5.1.30,53090,203.190.242.211,80,TCP,0,0,3727948304,0
2024-11-04 12:33:39.828173,74,203.190.242.211,80,10.5.1.30,53090,TCP,0,1,404459339,3727948304
2024-11-04 12:33:39.828556,66,10.5.1.30,53090,203.190.242.211,80,TCP,1,1,3727948517,404459339
2024-11-04 12:33:39.828686,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445463187,3005876218
2024-11-04 12:33:39.830933,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005876433,2445463187
2024-11-04 12:33:39.831154,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445463189,3005876433
2024-11-04 12:33:39.831353,139,10.5.1.30,53090,203.190.242.211,80,TCP,1,1,3727948519,404459339
2024-11-04 12:33:40.040693,66,203.190.242.211,80,10.5.1.30,53090,TCP,1,74,404459551,3727948519
2024-11-04 12:33:40.041063,539,203.190.242.211,80,10.5.1.30,53090,TCP,1,74,404459551,3727948519
2024-11-04 12:33:40.041211,66,10.5.1.30,53090,203.190.242.211,80,TCP,74,474,3727948729,404459551
2024-11-04 12:33:40.041439,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445463399,3005876433
2024-11-04 12:33:40.044308,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3005876646,2445463399
2024-11-04 12:33:40.044626,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2445463403,3005876646
2024-11-04 12:33:40.044913,66,10.5.1.30,53090,203.190.242.211,80,TCP,74,474,3727948733,404459551
2024-11-04 12:33:40.255785,66,203.190.242.211,80,10.5.1.30,53090,TCP,474,75,404459766,3727948733
2024-11-04 12:33:40.256262,66,10.5.1.30,53090,203.190.242.211,80,TCP,75,475,3727948944,404459766
2024-11-04 12:33:42.211401,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134945445,3961975336
2024-11-04 12:33:42.211401,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1073,3005878813,2445463403
2024-11-04 12:33:42.211805,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2145,2445465570,3005878813
2024-11-04 12:33:42.211805,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961997821,3134945445
2024-11-04 12:33:42.241372,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1997469722,3730230572
2024-11-04 12:33:42.241766,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3730258619,1997469722
2024-11-04 12:33:42.242374,602,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3730258619,1997469722
2024-11-04 12:33:42.251325,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1,3134945485,3961997821
2024-11-04 12:33:42.251772,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1073,3961997861,3134945485
2024-11-04 12:33:42.252403,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1073,3961997861,3134945485
2024-11-04 12:33:42.254987,602,10.5.1.20,43840,10.5.1.30,9001,TCP,537,537,1997469736,3730258619
2024-11-04 12:33:42.255386,602,10.5.1.30,9001,10.5.1.20,43840,TCP,537,1073,3730258632,1997469736
2024-11-04 12:33:42.264357,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1073,1073,1997469745,3730258632
2024-11-04 12:33:42.267588,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,537,3134945502,3961997861
2024-11-04 12:33:42.268058,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1609,3961997877,3134945502
2024-11-04 12:33:42.281247,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,1073,3134945515,3961997877
2024-11-04 12:33:42.307287,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1073,1609,3730258684,1997469745
2024-11-04 12:33:42.323928,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,2145,3961997933,3134945515
2024-11-04 12:33:42.707186,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1073,3005879309,2445465570
2024-11-04 12:33:42.707208,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185838840,1186354263
2024-11-04 12:33:42.707241,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1609,1073,1997470188,3730258684
2024-11-04 12:33:42.707714,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1073,2145,3730259085,1997470188
2024-11-04 12:33:42.707715,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2681,2445466066,3005879309
2024-11-04 12:33:42.707715,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186379292,1185838840
2024-11-04 12:33:42.708103,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,1,1185838841,1186379292
2024-11-04 12:33:42.708258,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1073,1186379292,1185838841
2024-11-04 12:33:42.709383,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2681,1073,3005879311,2445466066
2024-11-04 12:33:42.709758,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3217,2445466068,3005879311
2024-11-04 12:33:42.712711,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4287521663,586638453
2024-11-04 12:33:42.712718,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3217,1073,3005879315,2445466068
2024-11-04 12:33:42.712871,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586666902,4287521663
2024-11-04 12:33:42.713039,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3753,2445466071,3005879315
2024-11-04 12:33:42.713602,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586666903,4287521663
2024-11-04 12:33:42.718275,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3753,2445466076,3005879315
2024-11-04 12:33:42.721431,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,537,4287521671,586666903
2024-11-04 12:33:42.721867,602,10.5.1.30,9001,10.5.1.21,39736,TCP,537,1073,586666911,4287521671
2024-11-04 12:33:42.724708,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3753,1609,3005879327,2445466076
2024-11-04 12:33:42.725178,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,4289,2445466083,3005879327
2024-11-04 12:33:42.728016,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1073,1073,4287521678,586666911
2024-11-04 12:33:42.728383,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,1609,586666917,4287521678
2024-11-04 12:33:42.734116,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1609,1609,4287521684,586666917
2024-11-04 12:33:42.734398,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1609,2145,586666923,4287521684
2024-11-04 12:33:42.734567,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4289,2145,3005879337,2445466083
2024-11-04 12:33:42.741440,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2145,2145,4287521691,586666923
2024-11-04 12:33:42.754085,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1073,1,1185838887,1186379292
2024-11-04 12:33:42.754276,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1609,1186379338,1185838887
2024-11-04 12:33:42.754707,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1609,1186379339,1185838887
2024-11-04 12:33:42.765133,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1609,537,1185838898,1186379339
2024-11-04 12:33:42.765489,602,10.5.1.30,9001,10.5.1.22,52376,TCP,537,2145,1186379349,1185838898
2024-11-04 12:33:42.771701,602,10.5.1.22,52376,10.5.1.30,9001,TCP,2145,1073,1185838905,1186379349
2024-11-04 12:33:42.777273,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,4825,2445466135,3005879337
2024-11-04 12:33:42.783930,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,2681,586666973,4287521691
2024-11-04 12:33:42.784229,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2681,2145,4287521734,586666973
2024-11-04 12:33:42.784506,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,3217,586666973,4287521734
2024-11-04 12:33:42.813941,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1073,2681,1186379398,1185838905
2024-11-04 12:33:43.284206,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4825,2145,3005879886,2445466135
2024-11-04 12:33:43.284408,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3217,2145,4287522234,586666973
2024-11-04 12:33:43.284797,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,5361,2445466643,3005879886
2024-11-04 12:33:43.284942,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,3753,586667474,4287522234
2024-11-04 12:33:43.285365,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,5361,2445466643,3005879886
2024-11-04 12:33:43.287598,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362206833,2477352358
2024-11-04 12:33:43.287889,602,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,3753,586667477,4287522234
2024-11-04 12:33:43.287995,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1051,2477381375,362206833
2024-11-04 12:33:43.290960,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1051,2477381378,362206833
2024-11-04 12:33:43.291164,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3753,2681,4287522241,586667477
2024-11-04 12:33:43.294355,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,2145,1073,3134946528,3961997933
2024-11-04 12:33:43.294710,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,3195,3961998904,3134946528
2024-11-04 12:33:43.295006,602,10.5.1.30,9001,10.5.1.21,39736,TCP,2681,4289,586667484,4287522241
2024-11-04 12:33:43.297667,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,3195,3961998907,3134946528
2024-11-04 12:33:43.298279,602,10.5.1.12,57406,10.5.1.30,9001,TCP,5361,2681,3005879900,2445466643
2024-11-04 12:33:43.300929,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,5897,2445466659,3005879900
2024-11-04 12:33:43.301829,602,10.5.1.21,39736,10.5.1.30,9001,TCP,4289,3217,4287522252,586667484
2024-11-04 12:33:43.304124,602,10.5.1.12,57406,10.5.1.30,9001,TCP,5897,3217,3005879906,2445466659
2024-11-04 12:33:43.308095,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,1051,1051,362206853,2477381378
2024-11-04 12:33:43.308639,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,1051,2101,2477381396,362206853
2024-11-04 12:33:43.311262,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,3195,2123,3134946545,3961998907
2024-11-04 12:33:43.311574,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,2123,4245,3961998921,3134946545
2024-11-04 12:33:43.320723,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,2101,2101,362206866,2477381396
2024-11-04 12:33:43.324887,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,4245,3173,3134946559,3961998921
2024-11-04 12:33:43.343934,66,10.5.1.30,9001,10.5.1.21,39736,TCP,3217,4825,586667533,4287522252
2024-11-04 12:33:43.347285,66,10.5.1.30,9001,10.5.1.12,57406,TCP,3217,6433,2445466705,3005879906
2024-11-04 12:33:43.363949,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,3151,2477381451,362206866
2024-11-04 12:33:43.367270,66,10.5.1.30,9001,10.5.1.11,34324,TCP,3173,5295,3961998976,3134946559
2024-11-04 12:33:44.691346,4136,10.5.1.30,9001,10.5.1.11,34324,TCP,3173,5295,3962000300,3134946559
2024-11-04 12:33:44.692021,66,10.5.1.11,34324,10.5.1.30,9001,TCP,5295,7243,3134947926,3962000300
2024-11-04 12:33:44.692234,152,10.5.1.30,9001,10.5.1.11,34324,TCP,7243,5295,3962000301,3134947926
2024-11-04 12:33:44.692474,3172,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,3151,2477382779,362206866
2024-11-04 12:33:44.692600,602,10.5.1.11,34324,10.5.1.30,9001,TCP,5295,7329,3134947927,3962000301
2024-11-04 12:33:44.692854,66,10.5.1.30,9001,10.5.1.11,34324,TCP,7329,5831,3962000302,3134947927
2024-11-04 12:33:44.692902,66,10.5.1.10,33616,10.5.1.30,9001,TCP,3151,5207,362208238,2477382779
2024-11-04 12:33:44.693449,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3151,5207,362208238,2477382779
2024-11-04 12:33:44.693967,66,10.5.1.30,9001,10.5.1.10,33616,TCP,5207,3687,2477382781,362208238
2024-11-04 12:33:44.694455,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,5831,7329,3134947928,3962000302
2024-11-04 12:33:44.694457,602,10.5.1.30,9001,10.5.1.11,34324,TCP,7329,5831,3962000303,3134947927
2024-11-04 12:33:44.694677,602,10.5.1.30,9001,10.5.1.10,33616,TCP,5207,3687,2477382782,362208238
2024-11-04 12:33:44.698314,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,3687,5743,362208243,2477382782
2024-11-04 12:33:44.699225,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,5743,4737,2477382786,362208243
2024-11-04 12:33:44.700836,602,10.5.1.10,33616,10.5.1.30,9001,TCP,4737,6793,362208246,2477382786
2024-11-04 12:33:44.701608,602,10.5.1.30,9001,10.5.1.10,33616,TCP,6793,5273,2477382789,362208246
2024-11-04 12:33:44.704192,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,5273,7329,362208249,2477382789
2024-11-04 12:33:44.705877,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,7329,6323,2477382793,362208249
2024-11-04 12:33:44.708256,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,6323,8379,362208253,2477382793
2024-11-04 12:33:44.709135,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,8379,7373,2477382796,362208253
2024-11-04 12:33:44.711694,602,10.5.1.10,33616,10.5.1.30,9001,TCP,7373,9429,362208257,2477382796
2024-11-04 12:33:44.712201,602,10.5.1.30,9001,10.5.1.10,33616,TCP,9429,7909,2477382799,362208257
2024-11-04 12:33:44.714252,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,7909,9965,362208259,2477382799
2024-11-04 12:33:44.714579,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,9965,8959,2477382802,362208259
2024-11-04 12:33:44.717724,602,10.5.1.10,33616,10.5.1.30,9001,TCP,8959,11015,362208263,2477382802
2024-11-04 12:33:44.718002,602,10.5.1.30,9001,10.5.1.10,33616,TCP,11015,9495,2477382805,362208263
2024-11-04 12:33:44.737260,66,10.5.1.30,9001,10.5.1.11,34324,TCP,7865,6881,3962000346,3134947928
2024-11-04 12:33:44.737428,66,10.5.1.11,34324,10.5.1.30,9001,TCP,6881,7865,3134947971,3962000303
2024-11-04 12:33:44.737569,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,7865,6881,3962000347,3134947971
2024-11-04 12:33:44.737778,602,10.5.1.11,34324,10.5.1.30,9001,TCP,6881,7865,3134947972,3962000346
2024-11-04 12:33:44.737950,66,10.5.1.30,9001,10.5.1.11,34324,TCP,8915,7417,3962000347,3134947972
2024-11-04 12:33:44.738093,66,10.5.1.11,34324,10.5.1.30,9001,TCP,7417,8915,3134947972,3962000347
2024-11-04 12:33:44.738825,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,8915,7417,3962000348,3134947972
