Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:55:31.240531,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453625804,4096343753
2024-11-04 19:55:31.241299,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096350409,3453625804
2024-11-04 19:55:31.241714,74,10.5.1.30,34576,35.163.45.243,80,TCP,0,0,763271216,0
2024-11-04 19:55:31.431081,74,35.163.45.243,80,10.5.1.30,34576,TCP,0,1,194364276,763271216
2024-11-04 19:55:31.431948,66,10.5.1.30,34576,35.163.45.243,80,TCP,1,1,763271407,194364276
2024-11-04 19:55:31.432085,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096350600,3453625804
2024-11-04 19:55:31.435415,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453625999,4096350600
2024-11-04 19:55:31.436409,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096350604,3453625999
2024-11-04 19:55:31.437031,144,10.5.1.30,34576,35.163.45.243,80,TCP,1,1,763271412,194364276
2024-11-04 19:55:31.627729,66,35.163.45.243,80,10.5.1.30,34576,TCP,1,79,194364471,763271412
2024-11-04 19:55:31.628663,6998,35.163.45.243,80,10.5.1.30,34576,TCP,1,79,194364472,763271412
2024-11-04 19:55:31.630475,66,10.5.1.30,34576,35.163.45.243,80,TCP,79,6933,763271605,194364472
2024-11-04 19:55:31.631167,4136,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096350799,3453625999
2024-11-04 19:55:31.632420,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,4607,3453626196,4096350799
