Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:46:13.384875,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362956930,2478127321
2024-11-04 12:46:13.385259,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478131472,362956930
2024-11-04 12:46:13.385529,74,10.5.1.30,42100,13.248.196.236,80,TCP,0,0,3846390317,0
2024-11-04 12:46:13.408570,74,13.248.196.236,80,10.5.1.30,42100,TCP,0,1,1671834795,3846390317
2024-11-04 12:46:13.408930,66,10.5.1.30,42100,13.248.196.236,80,TCP,1,1,3846390340,1671834795
2024-11-04 12:46:13.409000,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478131496,362956930
2024-11-04 12:46:13.411468,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362956956,2478131496
2024-11-04 12:46:13.411891,137,10.5.1.30,42100,13.248.196.236,80,TCP,1,1,3846390343,1671834795
2024-11-04 12:46:13.437952,66,13.248.196.236,80,10.5.1.30,42100,TCP,1,72,1671834825,3846390343
2024-11-04 12:46:13.453851,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2478131541,362956956
2024-11-04 12:46:13.626580,74,10.5.1.30,60592,10.5.1.11,80,TCP,0,0,3962749236,0
2024-11-04 12:46:13.627030,74,10.5.1.11,80,10.5.1.30,60592,TCP,0,1,3135696861,3962749236
2024-11-04 12:46:13.627302,66,10.5.1.30,60592,10.5.1.11,80,TCP,1,1,3962749236,3135696861
2024-11-04 12:46:13.627568,361,10.5.1.30,60592,10.5.1.11,80,TCP,1,1,3962749237,3135696861
2024-11-04 12:46:13.627809,66,10.5.1.11,80,10.5.1.30,60592,TCP,1,296,3135696862,3962749237
2024-11-04 12:46:13.627863,132,10.5.1.11,80,10.5.1.30,60592,TCP,1,296,3135696862,3962749237
2024-11-04 12:46:13.628098,66,10.5.1.30,60592,10.5.1.11,80,TCP,296,67,3962749237,3135696862
2024-11-04 12:46:13.628313,66,10.5.1.11,80,10.5.1.30,60592,TCP,67,296,3135696862,3962749237
2024-11-04 12:46:13.628543,66,10.5.1.30,60592,10.5.1.11,80,TCP,296,68,3962749238,3135696862
2024-11-04 12:46:13.628754,66,10.5.1.11,80,10.5.1.30,60592,TCP,68,297,3135696863,3962749238
