Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:45:03.910353,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452998474,4095722497
2024-11-04 19:45:03.911340,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095723079,3452998474
2024-11-04 19:45:03.911985,74,10.5.1.30,58204,185.65.149.115,80,TCP,0,0,808220089,0
2024-11-04 19:45:03.968294,74,185.65.149.115,80,10.5.1.30,58204,TCP,0,1,3639016694,808220089
2024-11-04 19:45:03.968878,66,10.5.1.30,58204,185.65.149.115,80,TCP,1,1,808220146,3639016694
2024-11-04 19:45:03.969023,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095723137,3452998474
2024-11-04 19:45:03.973325,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452998537,4095723137
2024-11-04 19:45:03.973975,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095723142,3452998537
2024-11-04 19:45:03.974526,137,10.5.1.30,58204,185.65.149.115,80,TCP,1,1,808220151,3639016694
2024-11-04 19:45:04.027281,66,185.65.149.115,80,10.5.1.30,58204,TCP,1,72,3639016773,808220151
2024-11-04 19:45:04.127600,482,185.65.149.115,80,10.5.1.30,58204,TCP,1,72,3639016866,808220151
2024-11-04 19:45:04.128470,66,10.5.1.30,58204,185.65.149.115,80,TCP,72,417,808220305,3639016866
2024-11-04 19:45:04.129058,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095723297,3452998537
2024-11-04 19:45:04.133212,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3452998697,4095723297
2024-11-04 19:45:04.133841,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4095723302,3452998697
2024-11-04 19:45:04.134383,66,10.5.1.30,58204,185.65.149.115,80,TCP,72,417,808220311,3639016866
2024-11-04 19:45:04.192340,66,185.65.149.115,80,10.5.1.30,58204,TCP,417,73,3639016933,808220311
2024-11-04 19:45:04.193545,66,10.5.1.30,58204,185.65.149.115,80,TCP,73,418,808220370,3639016933
2024-11-04 19:45:04.897831,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227233889,3158293931
2024-11-04 19:45:04.898126,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2197981086,2661753029
2024-11-04 19:45:04.898128,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847886587,3524736111
2024-11-04 19:45:04.899145,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524737395,1847886587
2024-11-04 19:45:04.899255,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661754586,2197981086
2024-11-04 19:45:04.904854,1514,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2227233896,3158293931
2024-11-04 19:45:04.904890,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847886594,3524737395
2024-11-04 19:45:04.905603,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524737401,1847886594
2024-11-04 19:45:04.905680,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1985,3158295273,2227233889
2024-11-04 19:45:04.906249,740,10.5.1.20,56104,10.5.1.30,9001,TCP,1985,1,2227233897,3158295273
2024-11-04 19:45:04.906619,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524737402,1847886594
