Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:44:21.778691,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452956342,4095670572
2024-11-04 19:44:21.779649,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095680947,3452956342
2024-11-04 19:44:21.780170,74,10.5.1.30,50172,188.72.207.210,80,TCP,0,0,1052091367,0
2024-11-04 19:44:21.827929,74,188.72.207.210,80,10.5.1.30,50172,TCP,0,1,3795607622,1052091367
2024-11-04 19:44:21.828496,66,10.5.1.30,50172,188.72.207.210,80,TCP,1,1,1052091415,3795607622
2024-11-04 19:44:21.828620,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095680996,3452956342
2024-11-04 19:44:21.832717,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452956396,4095680996
2024-11-04 19:44:21.833047,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095681001,3452956396
2024-11-04 19:44:21.833297,141,10.5.1.30,50172,188.72.207.210,80,TCP,1,1,1052091420,3795607622
2024-11-04 19:44:21.879909,432,188.72.207.210,80,10.5.1.30,50172,TCP,1,76,3795607671,1052091420
2024-11-04 19:44:21.880508,66,10.5.1.30,50172,188.72.207.210,80,TCP,76,367,1052091467,3795607671
2024-11-04 19:44:21.880825,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095681049,3452956396
2024-11-04 19:44:21.883358,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3452956447,4095681049
2024-11-04 19:44:21.884072,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4095681052,3452956447
2024-11-04 19:44:21.884714,66,10.5.1.30,50172,188.72.207.210,80,TCP,76,367,1052091471,3795607671
2024-11-04 19:44:21.925685,66,188.72.207.210,80,10.5.1.30,50172,TCP,367,77,3795607719,1052091471
2024-11-04 19:44:21.930392,66,188.72.207.210,80,10.5.1.30,50172,TCP,367,77,3795607719,1052091471
2024-11-04 19:44:21.930947,66,10.5.1.30,50172,188.72.207.210,80,TCP,77,368,1052091518,3795607719
2024-11-04 19:44:30.048990,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847851738,3524675429
2024-11-04 19:44:30.049079,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1073,3452964613,4095681052
2024-11-04 19:44:30.050245,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2145,4095689218,3452964613
2024-11-04 19:44:30.050247,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524702546,1847851738
2024-11-04 19:44:30.051255,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,1073,3452964615,4095689218
2024-11-04 19:44:30.051845,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2681,4095689220,3452964615
2024-11-04 19:44:30.056746,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,1073,3452964620,4095689220
2024-11-04 19:44:30.057404,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,3217,4095689225,3452964620
2024-11-04 19:44:30.058448,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,3217,4095689226,3452964620
2024-11-04 19:44:30.064750,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847851753,3524702546
2024-11-04 19:44:30.065368,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524702561,1847851753
2024-11-04 19:44:30.066445,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524702562,1847851753
2024-11-04 19:44:30.067438,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,1609,3452964631,4095689226
2024-11-04 19:44:30.068227,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,3753,4095689236,3452964631
2024-11-04 19:44:30.069495,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227199060,3158233282
2024-11-04 19:44:30.070080,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158260438,2227199060
2024-11-04 19:44:30.071051,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158260439,2227199060
2024-11-04 19:44:30.072324,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1847851761,3524702562
2024-11-04 19:44:30.073024,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3524702569,1847851761
2024-11-04 19:44:30.079172,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,2145,3452964643,4095689236
2024-11-04 19:44:30.082449,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,537,2227199073,3158260439
2024-11-04 19:44:30.083150,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1073,3158260451,2227199073
2024-11-04 19:44:30.086198,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1847851775,3524702569
2024-11-04 19:44:30.089369,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1073,2227199080,3158260451
2024-11-04 19:44:30.092422,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181538505,2860209626
2024-11-04 19:44:30.122221,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,4289,4095689290,3452964643
2024-11-04 19:44:30.128883,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3524702625,1847851775
2024-11-04 19:44:30.132216,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,1609,3158260500,2227199080
2024-11-04 19:44:30.135557,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860236768,181538505
2024-11-04 19:44:30.136090,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,181538549,2860236768
2024-11-04 19:44:30.136621,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860236769,181538549
2024-11-04 19:44:30.137611,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860236770,181538549
2024-11-04 19:44:30.138230,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,181538551,2860236770
2024-11-04 19:44:30.140136,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,181538553,2860236770
2024-11-04 19:44:30.140863,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2860236774,181538553
2024-11-04 19:44:30.146393,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1073,181538559,2860236774
2024-11-04 19:44:30.188890,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2860236822,181538559
2024-11-04 19:44:30.581807,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,181538994,2860236822
2024-11-04 19:44:30.582049,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2227199573,3158260500
2024-11-04 19:44:30.582100,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1847852271,3524702625
2024-11-04 19:44:30.582980,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3524703079,1847852271
2024-11-04 19:44:30.583117,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3158260951,2227199573
2024-11-04 19:44:30.583122,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2860237216,181538994
2024-11-04 19:44:30.590670,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1073,181539003,2860237216
2024-11-04 19:44:30.591406,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3731,2860237224,181539003
2024-11-04 19:44:30.592605,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3731,2860237225,181539003
2024-11-04 19:44:30.595726,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3731,1609,181539008,2860237225
2024-11-04 19:44:30.597160,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,4781,2860237230,181539008
2024-11-04 19:44:30.598282,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2227199589,3158260951
2024-11-04 19:44:30.599060,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3158260967,2227199589
2024-11-04 19:44:30.599384,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4781,2145,181539012,2860237230
2024-11-04 19:44:30.599936,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1847852289,3524703079
2024-11-04 19:44:30.600058,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,5317,2860237233,181539012
2024-11-04 19:44:30.600779,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3158260968,2227199589
2024-11-04 19:44:30.600922,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3524703097,1847852289
2024-11-04 19:44:30.603189,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3524703099,1847852289
2024-11-04 19:44:30.606360,602,10.5.1.12,55266,10.5.1.30,9001,TCP,5317,2681,181539019,2860237233
2024-11-04 19:44:30.606989,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2681,5853,2860237240,181539019
