Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:56:35.034478,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453689598,4096405164
2024-11-04 19:56:35.035061,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096414203,3453689598
2024-11-04 19:56:35.035404,74,10.5.1.30,39828,61.152.229.228,80,TCP,0,0,324023276,0
2024-11-04 19:56:35.267920,74,61.152.229.228,80,10.5.1.30,39828,TCP,0,1,2549474002,324023276
2024-11-04 19:56:35.268712,66,10.5.1.30,39828,61.152.229.228,80,TCP,1,1,324023509,2549474002
2024-11-04 19:56:35.268848,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096414437,3453689598
2024-11-04 19:56:35.272799,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453689836,4096414437
2024-11-04 19:56:35.273424,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096414441,3453689836
2024-11-04 19:56:35.273769,143,10.5.1.30,39828,61.152.229.228,80,TCP,1,1,324023514,2549474002
2024-11-04 19:56:35.510321,66,61.152.229.228,80,10.5.1.30,39828,TCP,1,78,2549474242,324023514
2024-11-04 19:56:35.511313,424,61.152.229.228,80,10.5.1.30,39828,TCP,1,78,2549474243,324023514
2024-11-04 19:56:35.511889,66,10.5.1.30,39828,61.152.229.228,80,TCP,78,359,324023753,2549474243
2024-11-04 19:56:35.512517,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096414680,3453689836
