Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:02:16.865468,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360320410,2475492131
2024-11-04 12:02:16.865608,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475494953,360320410
2024-11-04 12:02:16.865769,74,10.5.1.30,40264,2.20.68.68,80,TCP,0,0,797354894,0
2024-11-04 12:02:16.900801,74,2.20.68.68,80,10.5.1.30,40264,TCP,0,1,2734398369,797354894
2024-11-04 12:02:16.900971,66,10.5.1.30,40264,2.20.68.68,80,TCP,1,1,797354929,2734398369
2024-11-04 12:02:16.901125,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475494988,360320410
2024-11-04 12:02:16.904326,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360320449,2475494988
2024-11-04 12:02:16.904637,140,10.5.1.30,40264,2.20.68.68,80,TCP,1,1,797354933,2734398369
2024-11-04 12:02:16.940631,66,2.20.68.68,80,10.5.1.30,40264,TCP,1,75,2734398409,797354933
2024-11-04 12:02:16.945694,336,2.20.68.68,80,10.5.1.30,40264,TCP,1,75,2734398414,797354933
2024-11-04 12:02:16.945780,66,10.5.1.30,40264,2.20.68.68,80,TCP,75,271,797354974,2734398414
2024-11-04 12:02:16.945976,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475495033,360320449
2024-11-04 12:02:16.948671,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,360320494,2475495033
2024-11-04 12:02:16.948933,66,10.5.1.30,40264,2.20.68.68,80,TCP,75,271,797354977,2734398414
2024-11-04 12:02:16.978157,66,2.20.68.68,80,10.5.1.30,40264,TCP,271,76,2734398446,797354977
2024-11-04 12:02:16.978315,66,10.5.1.30,40264,2.20.68.68,80,TCP,76,272,797355006,2734398446
2024-11-04 12:02:16.990807,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2475495078,360320494
2024-11-04 12:02:23.684921,74,10.5.1.30,57876,10.5.1.11,80,TCP,0,0,3960119294,0
2024-11-04 12:02:23.685119,74,10.5.1.11,80,10.5.1.30,57876,TCP,0,1,3133066919,3960119294
2024-11-04 12:02:23.685178,66,10.5.1.30,57876,10.5.1.11,80,TCP,1,1,3960119294,3133066919
2024-11-04 12:02:23.685286,361,10.5.1.30,57876,10.5.1.11,80,TCP,1,1,3960119294,3133066919
2024-11-04 12:02:23.685365,66,10.5.1.11,80,10.5.1.30,57876,TCP,1,296,3133066919,3960119294
2024-11-04 12:02:23.685531,1676,10.5.1.11,80,10.5.1.30,57876,TCP,1,296,3133066919,3960119294
2024-11-04 12:02:23.685689,66,10.5.1.30,57876,10.5.1.11,80,TCP,296,1611,3960119295,3133066919
2024-11-04 12:02:23.685762,66,10.5.1.11,80,10.5.1.30,57876,TCP,1611,296,3133066920,3960119295
2024-11-04 12:02:23.686772,66,10.5.1.30,57876,10.5.1.11,80,TCP,296,1612,3960119296,3133066920
2024-11-04 12:02:23.686862,66,10.5.1.11,80,10.5.1.30,57876,TCP,1612,297,3133066921,3960119296
2024-11-04 12:02:24.687691,74,10.5.1.30,47078,10.5.1.10,80,TCP,0,0,2475502775,0
2024-11-04 12:02:24.687997,74,10.5.1.10,80,10.5.1.30,47078,TCP,0,1,360328233,2475502775
2024-11-04 12:02:24.688113,66,10.5.1.30,47078,10.5.1.10,80,TCP,1,1,2475502775,360328233
