Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:48:12.125832,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359475671,2474639862
2024-11-04 11:48:12.125886,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474650213,359475671
2024-11-04 11:48:12.126037,74,10.5.1.30,46618,2.20.68.71,80,TCP,0,0,2771360105,0
2024-11-04 11:48:12.160484,74,2.20.68.71,80,10.5.1.30,46618,TCP,0,1,186834679,2771360105
2024-11-04 11:48:12.160563,66,10.5.1.30,46618,2.20.68.71,80,TCP,1,1,2771360140,186834679
2024-11-04 11:48:12.160724,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474650248,359475671
2024-11-04 11:48:12.164793,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359475710,2474650248
2024-11-04 11:48:12.164880,138,10.5.1.30,46618,2.20.68.71,80,TCP,1,1,2771360144,186834679
2024-11-04 11:48:12.197809,66,2.20.68.71,80,10.5.1.30,46618,TCP,1,73,186834717,2771360144
2024-11-04 11:48:12.207544,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474650295,359475710
2024-11-04 11:48:12.207579,334,2.20.68.71,80,10.5.1.30,46618,TCP,1,73,186834722,2771360144
2024-11-04 11:48:12.207640,66,10.5.1.30,46618,2.20.68.71,80,TCP,73,269,2771360187,186834722
2024-11-04 11:48:12.207767,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474650295,359475710
2024-11-04 11:48:12.211716,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,359475757,2474650295
2024-11-04 11:48:12.211780,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2123,2474650299,359475757
2024-11-04 11:48:12.211850,66,10.5.1.30,46618,2.20.68.71,80,TCP,73,269,2771360191,186834722
2024-11-04 11:48:12.247504,66,2.20.68.71,80,10.5.1.30,46618,TCP,269,74,186834764,2771360191
2024-11-04 11:48:12.247560,66,10.5.1.30,46618,2.20.68.71,80,TCP,74,270,2771360227,186834764
2024-11-04 11:48:15.304016,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2123,1073,359478849,2474650299
2024-11-04 11:48:15.304086,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2659,2474653391,359478849
2024-11-04 11:48:15.304194,602,10.5.1.30,35992,10.5.1.31,9001,TCP,1,1,2685664390,4114075412
2024-11-04 11:48:15.304265,66,10.5.1.31,9001,10.5.1.30,35992,TCP,1,537,4114104971,2685664390
2024-11-04 11:48:16.709896,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4284795660,583879423
2024-11-04 11:48:16.709979,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,583940899,4284795660
2024-11-04 11:48:16.710504,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,583940899,4284795660
2024-11-04 11:48:16.754248,66,10.5.1.21,39736,10.5.1.30,9001,TCP,537,537,4284795704,583940899
