Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:27:44.174141,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173332587,2852026706
2024-11-04 17:27:44.174213,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852030807,173332587
2024-11-04 17:27:44.174385,74,10.5.1.30,60014,104.22.69.190,80,TCP,0,0,1937432963,0
2024-11-04 17:27:44.222585,74,104.22.69.190,80,10.5.1.30,60014,TCP,0,1,2731912783,1937432963
2024-11-04 17:27:44.222638,66,10.5.1.30,60014,104.22.69.190,80,TCP,1,1,1937433011,2731912783
2024-11-04 17:27:44.222798,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852030855,173332587
2024-11-04 17:27:44.222966,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173332636,2852030855
2024-11-04 17:27:44.226943,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173332640,2852030855
2024-11-04 17:27:44.226999,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852030860,173332640
2024-11-04 17:27:44.227095,144,10.5.1.30,60014,104.22.69.190,80,TCP,1,1,1937433016,2731912783
2024-11-04 17:27:44.272037,66,104.22.69.190,80,10.5.1.30,60014,TCP,1,79,2731912839,1937433016
2024-11-04 17:27:44.288997,558,104.22.69.190,80,10.5.1.30,60014,TCP,1,79,2731912855,1937433016
2024-11-04 17:27:44.289039,66,10.5.1.30,60014,104.22.69.190,80,TCP,79,493,1937433078,2731912855
2024-11-04 17:27:44.289244,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852030922,173332640
