Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:26:39.430928,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173267844,2851962509
2024-11-04 17:26:39.430997,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851966064,173267844
2024-11-04 17:26:39.431096,74,10.5.1.30,46882,106.75.85.44,80,TCP,0,0,3184053303,0
2024-11-04 17:26:39.621519,74,106.75.85.44,80,10.5.1.30,46882,TCP,0,1,4273243539,3184053303
2024-11-04 17:26:39.621599,66,10.5.1.30,46882,106.75.85.44,80,TCP,1,1,3184053493,4273243539
2024-11-04 17:26:39.621744,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851966254,173267844
2024-11-04 17:26:39.623438,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173268036,2851966254
2024-11-04 17:26:39.623473,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851966256,173268036
2024-11-04 17:26:39.623518,141,10.5.1.30,46882,106.75.85.44,80,TCP,1,1,3184053495,4273243539
2024-11-04 17:26:39.813835,66,106.75.85.44,80,10.5.1.30,46882,TCP,1,76,4273243731,3184053495
2024-11-04 17:26:39.979295,1466,106.75.85.44,80,10.5.1.30,46882,TCP,1,76,4273243898,3184053495
2024-11-04 17:26:39.979378,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,1401,3184053851,4273243898
2024-11-04 17:26:39.979442,1466,106.75.85.44,80,10.5.1.30,46882,TCP,1401,76,4273243898,3184053495
2024-11-04 17:26:39.979479,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,2801,3184053851,4273243898
2024-11-04 17:26:39.979514,1466,106.75.85.44,80,10.5.1.30,46882,TCP,2801,76,4273243898,3184053495
2024-11-04 17:26:39.979545,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,4201,3184053851,4273243898
2024-11-04 17:26:39.979627,1466,106.75.85.44,80,10.5.1.30,46882,TCP,4201,76,4273243898,3184053495
2024-11-04 17:26:39.979659,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,5601,3184053851,4273243898
2024-11-04 17:26:39.979746,1466,106.75.85.44,80,10.5.1.30,46882,TCP,5601,76,4273243898,3184053495
2024-11-04 17:26:39.979779,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,7001,3184053851,4273243898
2024-11-04 17:26:39.979844,4136,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851966613,173268036
2024-11-04 17:26:39.979905,1466,106.75.85.44,80,10.5.1.30,46882,TCP,7001,76,4273243898,3184053495
2024-11-04 17:26:39.979935,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,8401,3184053852,4273243898
2024-11-04 17:26:39.979952,152,106.75.85.44,80,10.5.1.30,46882,TCP,9801,76,4273243898,3184053495
2024-11-04 17:26:39.979972,78,10.5.1.30,46882,106.75.85.44,80,TCP,76,8401,3184053852,4273243898
2024-11-04 17:26:39.980016,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,4607,173268393,2851966613
2024-11-04 17:26:39.980052,666,10.5.1.30,9001,10.5.1.12,55266,TCP,4607,1073,2851966613,173268393
2024-11-04 17:26:39.980091,1466,106.75.85.44,80,10.5.1.30,46882,TCP,8401,76,4273243898,3184053495
2024-11-04 17:26:39.980129,66,10.5.1.30,46882,106.75.85.44,80,TCP,76,9887,3184053852,4273243898
2024-11-04 17:26:39.983452,2962,10.5.1.30,9001,10.5.1.12,55266,TCP,5207,1073,2851966616,173268393
2024-11-04 17:26:39.983555,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,8103,173268396,2851966613
2024-11-04 17:26:39.983585,1240,10.5.1.30,9001,10.5.1.12,55266,TCP,8103,1073,2851966616,173268396
2024-11-04 17:26:39.983629,1514,10.5.1.30,9001,10.5.1.12,55266,TCP,9277,1073,2851966616,173268396
