Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:56:46.204398,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3450100768,4092814953
2024-11-04 18:56:46.205057,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092825373,3450100768
2024-11-04 18:56:46.205462,74,10.5.1.30,59454,172.67.40.196,80,TCP,0,0,4178014451,0
2024-11-04 18:56:46.236836,74,172.67.40.196,80,10.5.1.30,59454,TCP,0,1,616616105,4178014451
2024-11-04 18:56:46.237453,66,10.5.1.30,59454,172.67.40.196,80,TCP,1,1,4178014483,616616105
2024-11-04 18:56:46.237608,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092825405,3450100768
2024-11-04 18:56:46.243421,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3450100807,4092825405
2024-11-04 18:56:46.243966,144,10.5.1.30,59454,172.67.40.196,80,TCP,1,1,4178014490,616616105
2024-11-04 18:56:46.274301,66,172.67.40.196,80,10.5.1.30,59454,TCP,1,79,616616142,4178014490
2024-11-04 18:56:46.285859,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4092825454,3450100807
2024-11-04 18:56:46.339407,532,172.67.40.196,80,10.5.1.30,59454,TCP,1,79,616616206,4178014490
2024-11-04 18:56:46.339809,66,10.5.1.30,59454,172.67.40.196,80,TCP,79,467,4178014586,616616206
2024-11-04 18:56:46.340056,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4092825508,3450100807
2024-11-04 18:56:46.342886,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3450100907,4092825508
2024-11-04 18:56:46.343736,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4092825511,3450100907
2024-11-04 18:56:46.344310,66,10.5.1.30,59454,172.67.40.196,80,TCP,79,467,4178014590,616616206
2024-11-04 18:56:46.376840,66,172.67.40.196,80,10.5.1.30,59454,TCP,467,80,616616243,4178014590
2024-11-04 18:56:46.377217,66,10.5.1.30,59454,172.67.40.196,80,TCP,80,468,4178014623,616616243
2024-11-04 18:56:49.634308,74,10.5.1.30,39270,10.5.1.11,80,TCP,0,0,3030347541,0
2024-11-04 18:56:49.634685,74,10.5.1.11,80,10.5.1.30,39270,TCP,0,1,138431305,3030347541
2024-11-04 18:56:49.634834,66,10.5.1.30,39270,10.5.1.11,80,TCP,1,1,3030347542,138431305
2024-11-04 18:56:49.635019,361,10.5.1.30,39270,10.5.1.11,80,TCP,1,1,3030347542,138431305
2024-11-04 18:56:49.635205,66,10.5.1.11,80,10.5.1.30,39270,TCP,1,296,138431306,3030347542
2024-11-04 18:56:49.635323,132,10.5.1.11,80,10.5.1.30,39270,TCP,1,296,138431306,3030347542
2024-11-04 18:56:49.635851,66,10.5.1.30,39270,10.5.1.11,80,TCP,296,67,3030347543,138431306
2024-11-04 18:56:49.636208,66,10.5.1.11,80,10.5.1.30,39270,TCP,67,296,138431307,3030347543
2024-11-04 18:56:49.636540,66,10.5.1.30,39270,10.5.1.11,80,TCP,296,68,3030347543,138431307
2024-11-04 18:56:49.636710,66,10.5.1.11,80,10.5.1.30,39270,TCP,68,297,138431307,3030347543
2024-11-04 18:56:52.637620,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3030350544,138423310
2024-11-04 18:56:52.638648,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,537,138434309,3030350544
2024-11-04 18:56:52.639431,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3030350546,138434309
2024-11-04 18:56:52.639993,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3030350547,138434309
