Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:07:48.465053,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228597456,3159658163
2024-11-04 20:07:48.465281,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1849250154,3526099718
2024-11-04 20:07:48.466150,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159658834,2228597456
2024-11-04 20:07:48.466736,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3526100962,1849250154
2024-11-04 20:07:48.472548,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2228597463,3159658834
2024-11-04 20:07:48.473578,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159658841,2228597463
2024-11-04 20:07:48.475377,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,142690146,3034605630
2024-11-04 20:07:48.476684,1630,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2228597467,3159658841
2024-11-04 20:07:48.476765,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3034606383,142690146
2024-11-04 20:07:48.478316,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2637,3159658846,2228597467
2024-11-04 20:07:48.479915,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3454363044,4097086981
2024-11-04 20:07:48.479915,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182936893,2861633998
2024-11-04 20:07:48.480712,3172,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2861635113,182935732
2024-11-04 20:07:48.480957,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4097087649,3454363044
2024-11-04 20:07:48.482513,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2637,1,2228597473,3159658846
2024-11-04 20:07:48.482711,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,3107,182936895,2861635113
2024-11-04 20:07:48.483028,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,142690154,3034606383
2024-11-04 20:07:48.483064,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,3173,3159658851,2228597473
2024-11-04 20:07:48.483563,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3107,537,2861635116,182936893
2024-11-04 20:07:48.483568,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3034606390,142690154
2024-11-04 20:07:48.484366,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,3107,182936897,2861635116
2024-11-04 20:07:48.485269,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3107,1073,2861635118,182936897
2024-11-04 20:07:48.486225,3172,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3034606393,142690154
2024-11-04 20:07:48.486489,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,3107,182936899,2861635118
2024-11-04 20:07:48.487711,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,3107,142690158,3034606393
2024-11-04 20:07:48.487720,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3107,2123,2861635120,182936899
2024-11-04 20:07:48.488026,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,3107,142690159,3034606393
2024-11-04 20:07:48.490883,1630,10.5.1.30,9001,10.5.1.12,55266,TCP,3107,2123,2861635124,182936899
2024-11-04 20:07:48.491977,602,10.5.1.30,9001,10.5.1.11,42168,TCP,3107,1609,3034606399,142690159
2024-11-04 20:07:48.491993,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2123,4671,182936905,2861635124
2024-11-04 20:07:48.492842,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,3643,142690164,3034606399
2024-11-04 20:07:48.494056,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1,3173,3159658862,2228597473
2024-11-04 20:07:48.496339,1630,10.5.1.12,55266,10.5.1.30,9001,TCP,2123,4671,182936909,2861635124
2024-11-04 20:07:48.497209,66,10.5.1.30,9001,10.5.1.12,55266,TCP,4671,3687,2861635130,182936909
2024-11-04 20:07:48.498821,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,3173,1051,2228597490,3159658862
2024-11-04 20:07:48.499841,2144,10.5.1.30,9001,10.5.1.12,55266,TCP,4671,3687,2861635133,182936909
2024-11-04 20:07:48.500917,1630,10.5.1.30,9001,10.5.1.11,42168,TCP,3643,2659,3034606408,142690164
2024-11-04 20:07:48.500921,66,10.5.1.12,55266,10.5.1.30,9001,TCP,3687,6749,182936914,2861635133
2024-11-04 20:07:48.501932,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2659,5207,142690173,3034606408
2024-11-04 20:07:48.501954,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4097087670,3454363044
2024-11-04 20:07:48.502973,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1051,4223,3159658871,2228597490
2024-11-04 20:07:48.503330,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1849250192,3526100962
2024-11-04 20:07:48.503806,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3687,6749,182936917,2861635133
2024-11-04 20:07:48.503926,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3526101000,1849250192
2024-11-04 20:07:48.504659,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2659,5207,142690175,3034606408
2024-11-04 20:07:48.505600,602,10.5.1.30,9001,10.5.1.12,55266,TCP,6749,4223,2861635138,182936917
2024-11-04 20:07:48.506009,602,10.5.1.30,9001,10.5.1.11,42168,TCP,5207,3195,3034606413,142690175
2024-11-04 20:07:48.506616,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3195,5743,142690177,3034606413
2024-11-04 20:07:48.507718,602,10.5.1.30,9001,10.5.1.11,42168,TCP,5743,3731,3034606414,142690177
2024-11-04 20:07:48.509384,1630,10.5.1.12,55266,10.5.1.30,9001,TCP,4223,7285,182936922,2861635138
2024-11-04 20:07:48.509766,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4223,1587,2228597500,3159658871
2024-11-04 20:07:48.509957,66,10.5.1.30,9001,10.5.1.12,55266,TCP,7285,5787,2861635143,182936922
2024-11-04 20:07:48.510418,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1587,4759,3159658878,2228597500
2024-11-04 20:07:48.510480,1630,10.5.1.30,9001,10.5.1.12,55266,TCP,7285,5787,2861635143,182936922
2024-11-04 20:07:48.511115,66,10.5.1.12,55266,10.5.1.30,9001,TCP,5787,8849,182936924,2861635143
2024-11-04 20:07:48.512584,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3454363076,4097087670
2024-11-04 20:07:48.512766,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,3731,6279,142690183,3034606414
2024-11-04 20:07:48.513598,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,6279,4781,3034606420,142690183
