Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:12:43.246784,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133686481,3960728518
2024-11-04 12:12:43.246992,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960738856,3133686481
2024-11-04 12:12:43.247143,74,10.5.1.30,43756,219.85.79.131,80,TCP,0,0,3422994044,0
2024-11-04 12:12:43.562679,74,219.85.79.131,80,10.5.1.30,43756,TCP,0,1,4141910391,3422994044
2024-11-04 12:12:43.562882,66,10.5.1.30,43756,219.85.79.131,80,TCP,1,1,3422994360,4141910391
2024-11-04 12:12:43.563087,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960739172,3133686481
2024-11-04 12:12:43.567804,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3133686802,3960739172
2024-11-04 12:12:43.567931,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960739177,3133686802
2024-11-04 12:12:43.568056,141,10.5.1.30,43756,219.85.79.131,80,TCP,1,1,3422994365,4141910391
2024-11-04 12:12:43.880535,194,219.85.79.131,80,10.5.1.30,43756,TCP,1,76,4141910709,3422994365
2024-11-04 12:12:43.880773,66,10.5.1.30,43756,219.85.79.131,80,TCP,76,129,3422994678,4141910709
2024-11-04 12:12:43.880972,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960739490,3133686802
2024-11-04 12:12:43.884913,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1073,3133687119,3960739490
2024-11-04 12:12:43.885175,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1609,3960739494,3133687119
2024-11-04 12:12:43.885348,66,10.5.1.30,43756,219.85.79.131,80,TCP,76,129,3422994682,4141910709
2024-11-04 12:12:44.195179,66,219.85.79.131,80,10.5.1.30,43756,TCP,129,77,4141911024,3422994682
2024-11-04 12:12:44.195402,66,10.5.1.30,43756,219.85.79.131,80,TCP,77,130,3422994992,4141911024
2024-11-04 12:12:44.613312,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1,585408802,4286149622
2024-11-04 12:12:44.613537,66,10.5.1.21,39736,10.5.1.30,9001,TCP,1,537,4286263564,585408802
2024-11-04 12:12:47.616309,74,10.5.1.30,35690,10.5.1.11,80,TCP,0,0,3960743225,0
2024-11-04 12:12:47.616536,74,10.5.1.11,80,10.5.1.30,35690,TCP,0,1,3133690851,3960743225
2024-11-04 12:12:47.616614,66,10.5.1.30,35690,10.5.1.11,80,TCP,1,1,3960743226,3133690851
2024-11-04 12:12:47.616752,74,10.5.1.30,35694,10.5.1.11,80,TCP,0,0,3960743226,0
2024-11-04 12:12:47.616863,74,10.5.1.11,80,10.5.1.30,35694,TCP,0,1,3133690851,3960743226
2024-11-04 12:12:47.616953,66,10.5.1.30,35694,10.5.1.11,80,TCP,1,1,3960743226,3133690851
2024-11-04 12:12:47.617074,361,10.5.1.30,35690,10.5.1.11,80,TCP,1,1,3960743226,3133690851
2024-11-04 12:12:47.617193,66,10.5.1.11,80,10.5.1.30,35690,TCP,1,296,3133690851,3960743226
2024-11-04 12:12:47.617257,1669,10.5.1.11,80,10.5.1.30,35690,TCP,1,296,3133690851,3960743226
2024-11-04 12:12:47.617298,371,10.5.1.30,35694,10.5.1.11,80,TCP,1,1,3960743226,3133690851
2024-11-04 12:12:47.617429,66,10.5.1.30,35690,10.5.1.11,80,TCP,296,1604,3960743226,3133690851
