Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:31:44.087484,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140525758,3032436127
2024-11-04 19:31:44.088130,74,10.5.1.30,39614,147.67.34.45,80,TCP,0,0,242618921,0
2024-11-04 19:31:44.128955,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032442036,140525758
2024-11-04 19:31:44.131048,74,147.67.34.45,80,10.5.1.30,39614,TCP,0,1,4168251115,242618921
2024-11-04 19:31:44.131453,66,10.5.1.30,39614,147.67.34.45,80,TCP,1,1,242618964,4168251115
2024-11-04 19:31:44.131502,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032442038,140525758
2024-11-04 19:31:44.131811,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140525803,3032442038
2024-11-04 19:31:44.136518,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140525807,3032442038
2024-11-04 19:31:44.136809,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032442044,140525807
2024-11-04 19:31:44.137018,139,10.5.1.30,39614,147.67.34.45,80,TCP,1,1,242618970,4168251115
2024-11-04 19:31:44.183402,66,147.67.34.45,80,10.5.1.30,39614,TCP,1,74,4168251170,242618970
2024-11-04 19:31:44.196245,958,147.67.34.45,80,10.5.1.30,39614,TCP,1,74,4168251175,242618970
2024-11-04 19:31:44.196835,66,10.5.1.30,39614,147.67.34.45,80,TCP,74,893,242619030,4168251175
2024-11-04 19:31:44.197203,66,147.67.34.45,80,10.5.1.30,39614,TCP,893,74,4168251175,242618970
