Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:51:03.872699,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1841045561,3517886022
2024-11-04 17:51:03.872943,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517896369,1841045561
2024-11-04 17:51:03.873136,74,10.5.1.30,60762,23.37.55.159,80,TCP,0,0,1565522835,0
2024-11-04 17:51:03.910704,74,23.37.55.159,80,10.5.1.30,60762,TCP,0,1,1888072160,1565522835
2024-11-04 17:51:03.911036,66,10.5.1.30,60762,23.37.55.159,80,TCP,1,1,1565522873,1888072160
2024-11-04 17:51:03.911276,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517896407,1841045561
2024-11-04 17:51:03.913912,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1841045603,3517896407
2024-11-04 17:51:03.914182,141,10.5.1.30,60762,23.37.55.159,80,TCP,1,1,1565522876,1888072160
2024-11-04 17:51:03.952870,66,23.37.55.159,80,10.5.1.30,60762,TCP,1,76,1888072205,1565522876
2024-11-04 17:51:03.957924,237,23.37.55.159,80,10.5.1.30,60762,TCP,1,76,1888072207,1565522876
2024-11-04 17:51:03.958043,66,10.5.1.30,60762,23.37.55.159,80,TCP,76,172,1565522920,1888072207
2024-11-04 17:51:03.958253,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517896454,1841045603
2024-11-04 17:51:03.963132,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1073,1841045652,3517896454
2024-11-04 17:51:03.963548,66,10.5.1.30,60762,23.37.55.159,80,TCP,76,172,1565522925,1888072207
2024-11-04 17:51:04.000319,66,23.37.55.159,80,10.5.1.30,60762,TCP,172,77,1888072251,1565522925
2024-11-04 17:51:04.000537,66,10.5.1.30,60762,23.37.55.159,80,TCP,77,173,1565522962,1888072251
2024-11-04 17:51:04.006237,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,1609,3517896502,1841045652
2024-11-04 17:51:06.117243,74,10.5.1.30,45098,10.5.1.10,80,TCP,0,0,4088885285,0
2024-11-04 17:51:06.117491,74,10.5.1.10,80,10.5.1.30,45098,TCP,0,1,3446160681,4088885285
2024-11-04 17:51:06.117573,66,10.5.1.30,45098,10.5.1.10,80,TCP,1,1,4088885285,3446160681
2024-11-04 17:51:06.117697,361,10.5.1.30,45098,10.5.1.10,80,TCP,1,1,4088885285,3446160681
2024-11-04 17:51:06.117803,66,10.5.1.10,80,10.5.1.30,45098,TCP,1,296,3446160682,4088885285
2024-11-04 17:51:06.117929,1672,10.5.1.10,80,10.5.1.30,45098,TCP,1,296,3446160682,4088885285
2024-11-04 17:51:06.118167,66,10.5.1.30,45098,10.5.1.10,80,TCP,296,1607,4088885286,3446160682
2024-11-04 17:51:06.118365,66,10.5.1.10,80,10.5.1.30,45098,TCP,1607,296,3446160682,4088885286
2024-11-04 17:51:06.120180,66,10.5.1.30,45098,10.5.1.10,80,TCP,296,1608,4088885288,3446160682
2024-11-04 17:51:06.120424,66,10.5.1.10,80,10.5.1.30,45098,TCP,1608,297,3446160684,4088885288
2024-11-04 17:51:07.119719,74,10.5.1.30,48802,10.5.1.11,80,TCP,0,0,3026405026,0
2024-11-04 17:51:07.119989,74,10.5.1.11,80,10.5.1.30,48802,TCP,0,1,134488791,3026405026
2024-11-04 17:51:07.120098,66,10.5.1.30,48802,10.5.1.11,80,TCP,1,1,3026405027,134488791
2024-11-04 17:51:07.120267,361,10.5.1.30,48802,10.5.1.11,80,TCP,1,1,3026405027,134488791
2024-11-04 17:51:07.120405,66,10.5.1.11,80,10.5.1.30,48802,TCP,1,296,134488791,3026405027
2024-11-04 17:51:07.120451,132,10.5.1.11,80,10.5.1.30,48802,TCP,1,296,134488791,3026405027
2024-11-04 17:51:07.120548,66,10.5.1.30,48802,10.5.1.11,80,TCP,296,67,3026405027,134488791
2024-11-04 17:51:07.120645,66,10.5.1.11,80,10.5.1.30,48802,TCP,67,296,134488791,3026405027
