Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:17:29.070259,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139670741,3031576632
2024-11-04 19:17:29.070677,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031586977,139670741
2024-11-04 19:17:29.070939,74,10.5.1.30,42778,172.67.185.214,80,TCP,0,0,3949780448,0
2024-11-04 19:17:29.118297,74,172.67.185.214,80,10.5.1.30,42778,TCP,0,1,878642495,3949780448
2024-11-04 19:17:29.119094,66,10.5.1.30,42778,172.67.185.214,80,TCP,1,1,3949780496,878642495
2024-11-04 19:17:29.119159,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031587026,139670741
2024-11-04 19:17:29.123474,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139670794,3031587026
2024-11-04 19:17:29.123974,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031587031,139670794
2024-11-04 19:17:29.124387,142,10.5.1.30,42778,172.67.185.214,80,TCP,1,1,3949780501,878642495
2024-11-04 19:17:29.165637,66,172.67.185.214,80,10.5.1.30,42778,TCP,1,77,878642548,3949780501
2024-11-04 19:17:29.203414,1052,172.67.185.214,80,10.5.1.30,42778,TCP,1,77,878642587,3949780501
2024-11-04 19:17:29.203796,66,10.5.1.30,42778,172.67.185.214,80,TCP,77,987,3949780581,878642587
2024-11-04 19:17:29.204141,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031587111,139670794
2024-11-04 19:17:29.207600,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1587,139670878,3031587111
2024-11-04 19:17:29.208190,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,1609,3031587115,139670878
2024-11-04 19:17:29.208713,66,10.5.1.30,42778,172.67.185.214,80,TCP,77,987,3949780585,878642587
2024-11-04 19:17:29.248077,66,172.67.185.214,80,10.5.1.30,42778,TCP,987,78,878642633,3949780585
