Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:05:39.160081,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182807573,2861495450
2024-11-04 20:05:39.160737,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861505793,182807573
2024-11-04 20:05:39.161195,74,10.5.1.30,45400,2.17.188.84,80,TCP,0,0,2149335083,0
2024-11-04 20:05:39.210467,74,2.17.188.84,80,10.5.1.30,45400,TCP,0,1,3840682266,2149335083
2024-11-04 20:05:39.211136,66,10.5.1.30,45400,2.17.188.84,80,TCP,1,1,2149335133,3840682266
2024-11-04 20:05:39.211253,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861505844,182807573
2024-11-04 20:05:39.216058,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,182807629,2861505844
2024-11-04 20:05:39.216726,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861505849,182807629
2024-11-04 20:05:39.217130,142,10.5.1.30,45400,2.17.188.84,80,TCP,1,1,2149335139,3840682266
2024-11-04 20:05:39.257945,66,2.17.188.84,80,10.5.1.30,45400,TCP,1,77,3840682323,2149335139
2024-11-04 20:05:39.258592,627,2.17.188.84,80,10.5.1.30,45400,TCP,1,77,3840682326,2149335139
2024-11-04 20:05:39.258979,66,10.5.1.30,45400,2.17.188.84,80,TCP,77,562,2149335181,3840682326
2024-11-04 20:05:39.259318,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861505892,182807629
2024-11-04 20:05:39.262351,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1587,182807675,2861505892
2024-11-04 20:05:39.263078,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,1609,2861505896,182807675
2024-11-04 20:05:39.263552,66,10.5.1.30,45400,2.17.188.84,80,TCP,77,562,2149335185,3840682326
2024-11-04 20:05:39.305536,66,2.17.188.84,80,10.5.1.30,45400,TCP,562,78,3840682366,2149335185
2024-11-04 20:05:39.306728,66,10.5.1.30,45400,2.17.188.84,80,TCP,78,563,2149335228,3840682366
2024-11-04 20:05:41.344189,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228470335,3159503863
2024-11-04 20:05:41.344269,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1587,182809757,2861505896
2024-11-04 20:05:41.344598,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1849123033,3525945898
2024-11-04 20:05:41.345772,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,2145,2861507978,182809757
2024-11-04 20:05:41.345774,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525973841,1849123033
2024-11-04 20:05:41.345776,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159531713,2228470335
2024-11-04 20:05:41.346601,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1587,182809759,2861507978
2024-11-04 20:05:41.346860,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2228470338,3159531713
2024-11-04 20:05:41.347597,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,2681,2861507980,182809759
2024-11-04 20:05:41.347645,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159531715,2228470338
2024-11-04 20:05:41.352433,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1849123041,3525973841
2024-11-04 20:05:41.352929,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3525973849,1849123041
2024-11-04 20:05:41.355992,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2228470347,3159531715
2024-11-04 20:05:41.356977,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3159531725,2228470347
2024-11-04 20:05:41.358292,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3159531726,2228470347
2024-11-04 20:05:41.359138,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1849123048,3525973849
2024-11-04 20:05:41.359639,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2123,3525973855,1849123048
2024-11-04 20:05:41.360174,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2123,3525973856,1849123048
2024-11-04 20:05:41.366619,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1587,182809779,2861507980
2024-11-04 20:05:41.367331,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,3217,2861508000,182809779
2024-11-04 20:05:41.368397,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,3217,2861508001,182809779
2024-11-04 20:05:41.369257,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2123,537,1849123058,3525973856
2024-11-04 20:05:41.369762,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2659,3525973865,1849123058
2024-11-04 20:05:41.372411,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,537,2228470363,3159531726
2024-11-04 20:05:41.372894,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2145,3159531741,2228470363
2024-11-04 20:05:41.379507,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2659,1073,1849123068,3525973865
2024-11-04 20:05:41.379928,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3195,3525973876,1849123068
2024-11-04 20:05:41.382796,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,2123,182809795,2861508001
2024-11-04 20:05:41.383600,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2123,3753,2861508016,182809795
2024-11-04 20:05:41.386528,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2228470377,3159531741
2024-11-04 20:05:41.386603,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3195,1609,1849123075,3525973876
2024-11-04 20:05:41.387233,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,3731,3525973883,1849123075
2024-11-04 20:05:41.392492,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3731,2145,1849123081,3525973883
2024-11-04 20:05:41.395992,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3753,2659,182809809,2861508016
2024-11-04 20:05:41.428805,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3159531797,2228470377
2024-11-04 20:05:41.435462,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,4267,3525973931,1849123081
2024-11-04 20:05:41.438786,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2659,4289,2861508071,182809809
2024-11-04 20:05:41.827283,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4267,2145,1849123516,3525973931
2024-11-04 20:05:41.827438,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4289,2659,182810240,2861508071
2024-11-04 20:05:41.827707,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3454236391,4096932496
2024-11-04 20:05:41.828709,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096960996,3454236391
2024-11-04 20:05:41.828710,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,4803,3525974324,1849123516
2024-11-04 20:05:41.828711,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2659,4825,2861508461,182810240
2024-11-04 20:05:41.829832,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3454236394,4096960996
2024-11-04 20:05:41.829993,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4825,2659,182810243,2861508461
2024-11-04 20:05:41.830738,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4096960998,3454236394
2024-11-04 20:05:41.830943,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2659,5361,2861508464,182810243
2024-11-04 20:05:41.832518,602,10.5.1.12,55266,10.5.1.30,9001,TCP,5361,2659,182810245,2861508464
2024-11-04 20:05:41.833543,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2659,5897,2861508466,182810245
2024-11-04 20:05:41.834834,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,1073,2228470826,3159531797
2024-11-04 20:05:41.835785,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3159532203,2228470826
2024-11-04 20:05:41.837116,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3159532205,2228470826
2024-11-04 20:05:41.839505,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4803,2145,1849123528,3525974324
2024-11-04 20:05:41.839513,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,5897,2659,182810252,2861508466
