Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:16:34.870514,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139616541,3031522420
2024-11-04 19:16:34.871095,74,10.5.1.30,35834,124.70.121.4,80,TCP,0,0,1765554346,0
2024-11-04 19:16:34.912388,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031532819,139616541
2024-11-04 19:16:35.135820,74,124.70.121.4,80,10.5.1.30,35834,TCP,0,1,128361873,1765554346
2024-11-04 19:16:35.136443,66,10.5.1.30,35834,124.70.121.4,80,TCP,1,1,1765554611,128361873
2024-11-04 19:16:35.136578,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031533043,139616541
2024-11-04 19:16:35.137090,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139616808,3031533043
2024-11-04 19:16:35.143118,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139616814,3031533043
2024-11-04 19:16:35.143982,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031533051,139616814
2024-11-04 19:16:35.144669,139,10.5.1.30,35834,124.70.121.4,80,TCP,1,1,1765554619,128361873
2024-11-04 19:16:35.405788,226,124.70.121.4,80,10.5.1.30,35834,TCP,1,74,128362145,1765554619
2024-11-04 19:16:35.406728,66,10.5.1.30,35834,124.70.121.4,80,TCP,74,162,1765554881,128362145
2024-11-04 19:16:35.407208,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031533314,139616814
2024-11-04 19:16:35.452402,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1587,139617123,3031533314
2024-11-04 19:16:35.668211,66,124.70.121.4,80,10.5.1.30,35834,TCP,162,75,128362407,1765554881
2024-11-04 19:16:36.221021,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225525212,3156559580
