Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:44:16.442159,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362839987,2478004195
2024-11-04 12:44:16.442534,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478014530,362839987
2024-11-04 12:44:16.442789,74,10.5.1.30,55946,157.240.231.35,80,TCP,0,0,3887728967,0
2024-11-04 12:44:16.461881,74,157.240.231.35,80,10.5.1.30,55946,TCP,0,1,3781135915,3887728967
2024-11-04 12:44:16.462184,66,10.5.1.30,55946,157.240.231.35,80,TCP,1,1,3887728986,3781135915
2024-11-04 12:44:16.462234,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478014549,362839987
2024-11-04 12:44:16.464894,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362840010,2478014549
2024-11-04 12:44:16.465434,139,10.5.1.30,55946,157.240.231.35,80,TCP,1,1,3887728989,3781135915
2024-11-04 12:44:16.484227,66,157.240.231.35,80,10.5.1.30,55946,TCP,1,74,3781135938,3887728989
2024-11-04 12:44:16.484551,259,157.240.231.35,80,10.5.1.30,55946,TCP,1,74,3781135938,3887728989
2024-11-04 12:44:16.484714,66,10.5.1.30,55946,157.240.231.35,80,TCP,74,194,3887729009,3781135938
2024-11-04 12:44:16.484906,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2478014572,362840010
2024-11-04 12:44:16.487541,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,362840033,2478014572
